Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1981-07-27,0.11,1982-11-22,0.13,336,12.50
1981-10-07,0.08,1982-11-22,0.13,285,57.34
1982-01-21,0.09,1982-11-22,0.13,212,36.36
1982-03-22,0.08,1982-11-22,0.13,171,57.34
1982-05-06,0.07,1982-11-22,0.13,139,75.78
1982-06-23,0.06,1982-11-22,0.13,106,104.55
1982-07-15,0.06,1982-11-22,0.13,91,120.59
1983-01-12,0.14,1989-06-16,0.40,1625,189.43
1983-04-12,0.19,1989-06-16,0.40,1563,109.41
1983-08-31,0.17,1989-06-16,0.40,1464,138.93
1983-10-31,0.10,1984-05-16,0.14,137,34.81
1983-11-21,0.10,1984-05-16,0.14,122,41.86
1984-02-21,0.12,1984-05-16,0.14,60,16.75
1984-04-12,0.11,1984-05-16,0.14,23,18.45
1984-07-24,0.12,1989-06-16,0.40,1238,234.27
1984-08-03,0.12,1989-06-16,0.40,1230,225.11
1984-10-18,0.11,1989-06-16,0.40,1177,247.32
1984-11-27,0.11,1989-06-16,0.40,1150,261.42
1985-04-16,0.10,1989-06-16,0.40,1054,311.56
1985-05-16,0.10,1989-06-16,0.40,1032,316.37
1985-06-24,0.08,1989-06-16,0.40,1006,415.94
1985-08-27,0.07,1989-06-16,0.40,961,483.61
1985-09-06,0.07,1989-06-16,0.40,954,493.34
1986-08-11,0.15,1989-06-16,0.40,721,165.67
1986-09-22,0.16,1989-06-16,0.40,692,152.48
1987-07-13,0.36,1989-06-16,0.40,489,9.88
1987-11-12,0.35,1989-06-16,0.40,402,14.84
1987-11-18,0.32,1989-06-16,0.40,398,22.76
1987-11-24,0.33,1989-06-16,0.40,394,20.27
1987-12-09,0.31,1989-06-16,0.40,384,27.14
1988-04-25,0.36,1989-06-16,0.40,290,8.87
1988-05-16,0.37,1989-06-16,0.40,275,7.88
1988-05-31,0.37,1989-06-16,0.40,265,7.23
1988-08-01,0.40,1991-02-28,0.51,652,27.22
1988-09-09,0.36,1989-06-16,0.40,194,9.88
1988-10-20,0.37,1989-06-16,0.40,165,7.23
1988-11-09,0.35,1989-06-16,0.40,151,13.38
1988-12-01,0.35,1989-06-16,0.40,136,14.84
1989-03-31,0.32,1989-06-16,0.40,54,24.91
1989-08-02,0.36,1991-02-28,0.51,398,41.36
1989-11-10,0.42,1991-02-28,0.51,327,22.46
1990-01-03,0.33,1990-04-06,0.36,66,6.33
1990-02-05,0.31,1990-04-06,0.36,43,13.93
1990-06-21,0.37,1991-02-28,0.51,174,36.72
1990-10-18,0.25,1991-02-28,0.51,91,100.88
1991-06-03,0.44,1999-09-21,0.62,2098,40.61
1991-07-03,0.39,1999-09-21,0.62,2076,60.58
1991-07-18,0.40,1999-09-21,0.62,2066,54.32
1991-10-01,0.45,1999-09-21,0.62,2014,36.45
1991-11-08,0.48,1999-09-21,0.62,1986,30.05
1992-04-15,0.54,1999-09-21,0.62,1877,14.46
1992-04-30,0.54,1999-09-21,0.62,1867,15.18
1992-07-13,0.42,1999-09-21,0.62,1817,47.34
1992-07-28,0.42,1999-09-21,0.62,1806,48.92
1992-08-28,0.40,1999-09-21,0.62,1783,53.89
1992-10-13,0.41,1999-09-21,0.62,1752,52.62
1993-03-04,0.49,1999-09-21,0.62,1654,25.91
1993-04-27,0.45,1999-09-21,0.62,1617,37.81
1993-08-04,0.27,1999-09-21,0.62,1548,128.93
1993-08-09,0.27,1999-09-21,0.62,1545,132.77
1993-08-17,0.25,1999-09-21,0.62,1539,144.05
1993-08-23,0.25,1999-09-21,0.62,1535,144.05
1993-10-15,0.25,1999-09-21,0.62,1497,145.13
1993-12-30,0.27,1999-09-21,0.62,1445,132.77
1994-05-04,0.29,1999-09-21,0.62,1359,109.85
1994-05-18,0.27,1999-09-21,0.62,1349,126.12
1994-07-05,0.24,1999-09-21,0.62,1317,161.32
1994-10-05,0.34,1999-09-21,0.62,1252,82.84
1994-12-14,0.34,1999-09-21,0.62,1203,82.84
1995-04-06,0.33,1999-09-21,0.62,1125,88.44
1995-08-16,0.40,1999-09-21,0.62,1034,55.62
1995-10-17,0.33,1999-09-21,0.62,991,89.08
1995-10-31,0.32,1999-09-21,0.62,981,90.71
1996-01-08,0.31,1999-09-21,0.62,935,100.00
