Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-10-07,1.20,1981-05-05,1.48,144,23.20
1980-12-19,1.16,1981-05-05,1.48,93,27.81
1981-07-20,1.41,1985-02-25,2.18,912,55.07
1981-09-14,1.38,1985-02-25,2.18,873,58.56
1981-10-02,1.29,1985-02-25,2.18,859,68.42
1982-01-08,1.31,1985-02-25,2.18,792,66.82
1982-01-29,1.26,1985-02-25,2.18,777,73.40
1982-05-06,1.30,1985-02-25,2.18,710,67.62
1982-06-11,1.24,1985-02-25,2.18,685,76.00
1982-06-28,1.21,1985-02-25,2.18,674,79.59
1982-07-12,1.24,1985-02-25,2.18,665,76.00
1982-08-23,1.13,1985-02-25,2.18,635,93.41
1983-02-14,1.80,1985-02-25,2.18,513,20.96
1983-04-14,1.82,1985-02-25,2.18,472,19.73
1983-09-02,1.81,1985-02-25,2.18,373,20.55
1983-10-06,1.91,1985-02-25,2.18,350,13.92
1983-11-23,1.76,1985-02-25,2.18,316,23.94
1983-12-30,1.76,1985-02-25,2.18,291,23.94
1984-03-12,1.62,1985-02-25,2.18,242,34.35
1984-03-28,1.62,1985-02-25,2.18,230,34.35
1984-04-25,1.58,1985-02-25,2.18,211,38.04
1984-10-18,1.86,1985-02-25,2.18,88,16.94
1984-12-14,1.78,1985-02-25,2.18,48,22.22
1985-03-27,2.15,1985-07-24,2.55,82,18.73
1985-05-03,2.14,1985-07-24,2.55,56,19.08
1985-08-21,2.52,1986-03-19,3.27,144,30.05
1985-09-18,2.55,1986-03-19,3.27,125,28.47
1985-10-14,2.50,1986-03-19,3.27,108,31.02
1986-01-15,2.91,1986-03-19,3.27,44,12.34
1986-04-11,3.36,1987-02-06,4.32,209,28.78
1986-08-12,3.23,1987-02-06,4.32,124,33.72
1986-10-02,3.30,1987-02-06,4.32,88,31.20
1986-11-21,3.66,1987-02-06,4.32,52,18.31
1987-01-05,3.63,1987-02-06,4.32,24,19.11
1987-05-28,4.57,1991-02-22,6.06,946,32.52
1987-07-15,4.81,1991-02-22,6.06,913,26.03
1987-07-28,4.71,1991-02-22,6.06,904,28.68
1987-11-02,4.21,1991-02-22,6.06,836,43.82
1988-01-25,4.24,1991-02-22,6.06,779,42.98
1988-04-08,4.37,1991-02-22,6.06,727,38.53
1988-05-31,3.84,1991-02-22,6.06,691,57.74
1988-07-29,3.90,1991-02-22,6.06,649,55.24
1988-08-29,3.82,1989-05-02,3.82,170,0.00
1988-09-12,3.69,1989-05-02,3.82,161,3.36
1988-11-29,3.72,1989-05-02,3.82,106,2.67
1989-03-27,3.64,1989-05-02,3.82,26,4.76
1989-11-16,4.67,1991-02-22,6.06,319,29.71
1989-12-18,4.72,1991-02-22,6.06,298,28.35
1990-05-04,5.23,1991-02-22,6.06,203,15.88
1990-08-27,5.01,1991-02-22,6.06,124,21.04
1990-09-25,4.93,1991-02-22,6.06,104,22.86
1990-10-17,4.85,1991-02-22,6.06,88,25.06
1991-01-17,5.40,1991-02-22,6.06,25,12.16
