Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1985-10-23,0.59,1986-01-09,0.99,53,66.67
1986-01-28,0.99,1986-02-07,0.97,8,-2.11
1986-04-09,1.08,1986-05-16,1.27,27,17.31
1986-08-11,1.20,1986-09-08,1.40,19,16.52
1986-09-23,1.36,1986-11-18,1.53,40,12.21
1987-06-17,3.16,1987-07-06,2.59,12,-17.82
1987-07-30,2.94,1987-09-01,3.47,23,18.09
1987-11-24,2.19,1988-01-08,2.47,30,12.86
1988-02-11,2.28,1988-03-24,2.97,29,30.14
1988-08-24,3.19,1988-10-05,3.47,29,8.82
1988-10-20,3.50,1988-10-26,3.11,4,-11.16
1988-11-10,3.22,1989-01-18,3.59,46,11.65
1988-11-23,3.09,1989-01-18,3.59,37,16.16
1989-03-15,3.75,1989-03-22,3.44,5,-8.33
1989-03-29,3.66,1989-06-05,4.59,47,25.64
1989-07-07,4.61,1989-08-17,4.59,29,-0.34
1989-07-27,4.53,1989-08-17,4.59,15,1.38
1989-11-15,4.88,1989-12-01,4.34,11,-10.90
1989-12-21,4.53,1990-01-17,4.78,17,5.52
1990-05-07,5.91,1990-06-01,6.19,18,4.76
1990-08-27,6.16,1990-09-21,5.16,18,-16.24
1990-09-17,6.16,1990-09-20,5.41,3,-12.18
1990-10-18,5.03,1991-01-03,6.09,52,21.12
1991-01-17,6.23,1991-01-25,5.03,6,-19.30
1991-02-08,5.94,1991-03-12,6.09,21,2.63
1991-07-11,6.70,1991-09-06,5.66,40,-15.62
1991-09-17,5.91,1991-10-03,5.94,12,0.53
1991-12-13,4.28,1992-01-22,4.42,26,3.28
1991-12-24,4.03,1992-01-22,4.42,19,9.69
1992-02-28,3.34,1992-04-07,3.81,27,14.02
1992-04-29,4.06,1992-05-12,3.95,9,-2.69
1992-10-06,5.95,1992-11-03,6.23,20,4.72
1993-01-05,5.94,1993-01-20,6.05,11,1.84
1993-02-19,5.81,1993-03-22,5.17,21,-11.02
1993-02-25,5.91,1993-03-22,5.17,17,-12.43
1993-04-01,5.47,1993-06-08,6.25,46,14.29
1993-04-22,5.31,1993-06-08,6.25,32,17.65
1993-08-04,5.69,1993-09-14,5.70,28,0.27
1993-08-23,5.69,1993-09-14,5.70,15,0.27
1993-10-12,5.94,1993-11-02,5.25,15,-11.58
1993-11-19,5.44,1994-01-11,5.47,35,0.57
1993-12-17,5.56,1994-01-11,5.47,16,-1.69
1994-04-07,7.55,1994-04-12,7.28,3,-3.52
1994-05-19,6.62,1994-06-16,6.00,19,-9.43
1994-06-22,6.34,1994-07-06,5.88,9,-7.39
1994-07-08,6.19,1994-08-03,6.55,18,5.81
1995-02-06,9.00,1995-04-04,10.19,40,13.19
1995-05-12,9.28,1995-07-20,10.91,47,17.51
1995-11-09,9.25,1996-01-10,7.31,41,-20.95
1996-02-01,7.56,1996-03-01,8.81,20,16.53
1996-08-26,5.41,1996-10-03,5.84,27,8.09
1996-11-15,5.84,1996-12-13,6.59,19,12.83
1997-04-03,8.19,1997-04-10,8.06,5,-1.53
1997-04-14,8.22,1997-05-22,8.75,28,6.46
1997-11-20,9.72,1998-01-28,9.20,45,-5.31
1997-12-31,9.25,1998-01-28,9.20,18,-0.51
1998-04-16,11.22,1998-05-15,11.50,21,2.51
1998-06-17,10.67,1998-06-22,10.19,3,-4.54
1998-08-03,8.39,1998-08-21,6.86,14,-18.25
1998-08-06,8.44,1998-08-21,6.86,11,-18.70
1998-08-17,8.38,1998-08-21,6.86,4,-18.10
1998-09-15,6.66,1998-10-14,5.55,21,-16.67
1998-10-19,6.34,1998-11-17,7.25,21,14.29
1999-04-29,7.58,1999-07-13,6.73,51,-11.13
1999-05-18,6.75,1999-07-13,6.73,38,-0.23
1999-06-16,6.56,1999-07-13,6.73,18,2.62
1999-08-26,6.20,1999-09-29,5.42,23,-12.59
1999-11-03,4.77,1999-12-27,7.78,36,63.28
1999-11-08,4.91,1999-12-27,7.78,33,58.60
2000-05-01,10.06,2000-05-10,8.31,7,-17.39
2000-05-15,9.47,2000-07-06,8.23,36,-13.04
2000-06-21,9.27,2000-06-27,8.43,4,-8.98
2000-08-07,5.78,2000-09-18,6.78,29,17.30
2000-10-27,5.64,2000-12-19,6.66,36,18.01
2000-11-03,5.34,2000-11-10,5.17,5,-3.22
2000-11-14,5.44,2000-12-19,6.66,24,22.41
2001-01-03,6.83,2001-02-02,8.80,21,28.83
2001-04-12,7.80,2001-05-11,8.81,20,12.84
2001-06-07,8.68,2001-07-06,8.45,20,-2.65
2001-10-03,8.74,2001-10-29,8.70,18,-0.46
2002-02-22,10.32,2002-04-02,11.34,26,9.88
2002-06-17,6.80,2002-07-01,6.11,10,-10.08
2002-07-16,6.55,2002-07-23,5.51,5,-15.89
2002-07-29,6.33,2002-09-03,6.30,25,-0.39
2002-08-08,6.15,2002-08-13,5.45,3,-11.38
2002-08-16,6.34,2002-09-03,6.30,11,-0.55
2002-10-11,6.41,2002-12-09,7.18,40,11.93
2002-11-01,6.26,2002-12-09,7.18,25,14.79
2003-02-28,7.24,2003-04-11,7.85,30,8.35
2003-06-09,7.81,2003-06-23,7.89,10,1.09
2003-08-13,7.55,2003-09-22,8.81,27,16.75
2004-05-25,17.41,2004-07-08,19.26,29,10.63
2004-08-20,21.03,2004-10-08,24.02,34,14.22
2005-02-04,31.36,2005-04-26,31.92,55,1.79
2005-02-22,29.91,2005-04-26,31.92,44,6.72
2005-03-30,29.56,2005-04-26,31.92,19,7.98
2005-07-12,35.29,2005-07-27,34.29,11,-2.83
2005-12-06,43.62,2006-02-02,37.07,39,-15.02
2006-01-06,44.29,2006-01-26,41.09,13,-7.23
2006-02-24,37.49,2006-03-09,38.00,9,1.36
2006-03-31,38.52,2006-05-01,41.47,20,7.66
2006-06-15,36.69,2006-06-27,32.88,8,-10.38
2006-07-25,32.49,2006-08-24,33.25,22,2.34
2006-09-12,34.30,2006-09-27,34.71,11,1.20
2007-03-21,39.69,2007-03-29,37.15,6,-6.40
2007-04-02,38.25,2007-06-07,43.67,46,14.17
2007-08-13,44.62,2007-10-15,49.85,44,11.72
2007-10-31,48.90,2007-11-12,44.84,8,-8.30
2007-11-13,47.99,2007-11-26,44.56,8,-7.15
2007-11-29,47.46,2008-01-02,48.24,22,1.64
2008-03-25,33.12,2008-05-23,38.75,43,17.00
2008-04-01,32.83,2008-05-23,38.75,38,18.03
2008-04-16,32.60,2008-05-23,38.75,27,18.87
2008-07-16,35.25,2008-08-29,35.53,32,0.79
2008-08-05,33.72,2008-08-29,35.53,18,5.37
2008-09-19,35.71,2008-10-02,30.45,9,-14.73
2008-12-08,18.35,2009-01-09,18.47,22,0.65
2009-02-04,17.41,2009-02-23,14.39,12,-17.35
2009-03-18,14.00,2009-05-13,18.50,39,32.14
2009-07-17,18.77,2009-08-31,23.43,31,24.83
2009-12-14,24.56,2010-01-21,25.69,25,4.60
2010-02-16,25.24,2010-04-01,29.16,32,15.53
2010-06-15,28.54,2010-06-29,24.58,10,-13.88
2010-07-14,26.48,2010-08-11,27.92,20,5.44
2011-02-25,42.75,2011-03-15,39.25,12,-8.19
2011-03-21,40.97,2011-04-12,42.36,16,3.39
2011-06-28,38.18,2011-07-12,37.23,9,-2.49
2011-08-31,28.20,2011-11-09,32.54,49,15.39
2011-09-13,27.69,2011-11-09,32.54,41,17.52
2011-10-06,27.99,2011-11-09,32.54,24,16.26
2011-11-30,34.07,2012-02-24,37.62,58,10.42
2012-01-10,32.53,2012-02-24,37.62,31,15.65
2012-03-13,38.67,2012-04-09,40.54,18,4.84
2012-05-01,40.73,2012-05-04,37.46,3,-8.03
2012-06-15,33.37,2012-08-20,33.96,45,1.77
2012-07-19,33.45,2012-08-20,33.96,22,1.52
2012-09-13,32.74,2013-02-21,37.97,108,15.97
2012-10-26,32.31,2013-02-21,37.97,77,17.52
2012-11-16,31.48,2013-02-21,37.97,64,20.62
2013-03-04,38.65,2013-04-01,39.93,19,3.31
2013-04-29,38.21,2013-06-11,35.33,30,-7.54
2013-07-11,35.40,2013-07-31,35.39,14,-0.03
2013-08-12,35.95,2013-10-08,40.39,40,12.35
2014-04-17,48.49,2014-07-08,55.64,55,14.75
2014-08-13,55.79,2014-08-15,52.66,2,-5.61
2014-08-26,54.24,2014-09-26,54.28,22,0.07
2014-10-24,54.45,2014-12-08,60.10,30,10.38
2014-12-22,60.19,2015-01-15,55.71,16,-7.44
2015-02-06,57.07,2015-03-10,59.64,21,4.50
2015-04-07,60.69,2015-04-17,60.35,8,-0.56
2015-06-22,54.55,2015-06-26,52.20,4,-4.31
2015-07-07,53.29,2015-08-20,53.10,32,-0.36
2015-08-03,53.30,2015-08-20,53.10,13,-0.38
2015-09-21,47.41,2015-09-30,44.14,7,-6.90
2015-10-08,47.31,2015-12-11,61.10,45,29.15
2016-02-17,46.67,2016-04-05,57.11,33,22.37
2016-05-25,58.91,2016-06-24,54.04,21,-8.27
2016-06-21,58.07,2016-06-24,54.04,3,-6.94
2016-07-08,55.14,2016-09-13,65.78,46,19.30
2016-11-07,72.00,2016-11-30,72.61,16,0.85
2016-12-06,76.32,2016-12-19,75.70,9,-0.81
2017-07-12,106.68,2017-08-03,107.88,16,1.12
2017-10-03,113.63,2017-11-29,109.34,40,-3.78
2018-01-02,107.12,2018-02-02,111.64,22,4.22
2018-02-15,113.52,2018-03-23,128.02,25,12.77
2018-07-06,135.11,2018-09-17,146.72,50,8.59
2018-08-06,134.35,2018-09-17,146.72,29,9.21
2018-11-01,135.23,2018-12-07,132.57,24,-1.97
2018-11-21,135.04,2018-12-07,132.57,10,-1.83
2019-01-07,132.72,2019-03-04,157.79,38,18.89
2019-06-19,165.63,2019-07-19,169.31,21,2.22
2019-08-27,150.21,2019-08-28,140.08,1,-6.74
2019-09-05,148.22,2020-02-21,201.91,116,36.22
2019-10-11,150.32,2019-10-18,139.67,5,-7.08
2019-10-25,145.54,2020-02-21,201.91,80,38.73
2020-04-06,152.32,2020-05-13,176.86,26,16.11
2020-09-29,232.92,2020-10-28,237.62,21,2.02
2021-02-05,305.86,2021-03-03,269.30,17,-11.95
2021-03-26,269.01,2021-04-30,291.91,24,8.51
2021-05-24,287.48,2021-07-19,287.31,38,-0.06
2021-09-24,294.67,2021-10-04,272.93,6,-7.38
2021-10-14,289.17,2021-11-22,310.48,27,7.37
2021-12-17,277.65,2022-01-21,239.19,23,-13.85
2022-02-09,251.34,2022-02-17,223.39,6,-11.12
2022-03-17,211.65,2022-04-26,185.59,27,-12.31
2022-05-04,203.75,2022-05-24,179.55,14,-11.88
2022-05-13,197.07,2022-06-09,195.06,18,-1.02
2022-06-24,192.48,2022-08-22,216.40,40,12.43
2022-09-12,215.16,2022-09-16,194.97,4,-9.38
2022-10-04,199.99,2022-11-02,199.38,21,-0.31
2023-01-09,192.47,2023-02-21,215.55,29,11.99
2023-03-21,207.15,2023-04-25,190.21,24,-8.18
2023-05-01,196.47,2023-05-30,195.04,20,-0.73
2023-08-14,211.48,2023-08-17,198.70,3,-6.04
2023-08-24,208.60,2023-09-12,211.80,12,1.53
2023-10-06,210.04,2023-10-23,199.72,11,-4.91
2023-11-07,205.31,2023-11-22,202.66,11,-1.29
2024-05-09,218.63,2024-05-30,199.93,14,-8.55
2024-06-05,216.28,2024-07-18,242.81,29,12.27
