Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1981-03-02,4.08,1981-04-02,4.12,23,1.02
1981-08-14,3.48,1981-08-24,3.15,6,-9.58
1981-10-02,2.98,1981-10-23,2.98,15,0.00
1982-01-21,2.83,1982-02-09,2.96,13,4.41
1982-08-23,4.27,1982-09-17,4.65,18,8.78
1984-02-24,14.88,1984-03-21,14.44,18,-2.94
1984-06-20,16.00,1984-06-26,15.06,4,-5.86
1984-07-27,14.75,1984-09-07,19.06,29,29.24
1984-10-15,17.81,1984-10-25,16.56,8,-7.02
1984-12-18,14.19,1985-01-08,13.44,13,-5.29
1985-05-09,14.69,1985-05-13,14.25,2,-2.98
1985-06-24,13.00,1985-07-09,12.44,10,-4.33
1985-10-24,12.50,1985-12-23,14.12,41,13.00
1986-05-29,13.44,1986-06-06,12.00,6,-10.70
1986-08-08,7.81,1986-09-11,9.00,23,15.20
1986-10-24,7.19,1986-11-18,7.44,17,3.48
1987-01-07,7.25,1987-03-02,10.56,37,45.69
1987-07-31,9.06,1987-09-02,10.31,23,13.79
1987-12-14,5.00,1988-01-11,5.00,18,0.00
1988-09-09,5.81,1988-09-30,4.62,15,-20.43
1988-10-13,5.25,1988-11-10,4.12,20,-21.43
1988-12-01,4.00,1989-01-16,4.38,30,9.38
1989-08-23,4.31,1989-09-19,4.25,18,-1.45
1989-11-17,3.88,1989-12-19,3.81,21,-1.61
1990-09-04,2.81,1990-09-18,2.81,10,0.00
1990-11-12,2.31,1990-11-23,2.00,8,-13.51
1991-10-10,5.00,1992-01-16,8.88,67,77.50
1992-03-18,9.38,1992-03-27,8.75,7,-6.67
1992-04-30,8.94,1992-05-14,7.81,10,-12.59
1992-07-16,4.44,1992-09-25,5.75,50,29.58
1993-06-29,12.00,1993-07-16,11.50,12,-4.17
1993-11-01,10.19,1993-12-06,8.88,24,-12.88
1993-11-11,10.00,1993-11-18,9.12,5,-8.75
1994-05-02,13.38,1994-06-09,13.06,27,-2.34
1994-10-27,12.94,1994-11-10,12.38,10,-4.35
1994-12-27,12.00,1995-01-30,14.88,23,23.96
1995-08-09,16.50,1995-08-25,16.44,12,-0.38
1996-01-05,9.06,1996-02-15,10.00,29,10.34
1996-04-01,8.81,1996-05-10,9.12,28,3.55
1996-07-26,6.19,1996-08-23,6.31,20,2.02
1997-11-20,11.41,1997-12-12,9.09,15,-20.27
1998-01-02,9.66,1998-01-14,9.22,8,-4.53
1998-06-24,9.12,1998-07-09,7.94,10,-13.01
1998-07-07,9.00,1998-07-09,7.94,2,-11.81
1998-07-15,8.69,1998-08-24,8.66,28,-0.36
1998-09-11,8.62,1998-10-07,7.88,18,-8.70
1999-02-01,12.44,1999-02-04,9.47,3,-23.87
1999-03-02,9.25,1999-03-15,8.16,9,-11.82
