Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1995-10-17,4.21,1997-02-11,6.19,334,47.08
1996-01-04,3.50,1997-02-11,6.19,280,76.59
1996-08-01,3.64,1997-02-11,6.19,134,69.77
1996-09-18,3.43,1997-02-11,6.19,101,80.20
1997-12-05,13.42,1999-02-17,16.50,300,22.97
1998-07-07,11.74,1999-02-17,16.50,155,40.52
1998-08-07,11.16,1999-02-17,16.50,132,47.90
1998-10-14,6.33,1999-02-17,16.50,85,160.74
1999-05-14,16.20,1999-07-21,22.50,46,38.93
2000-04-06,49.03,2006-01-17,23.22,1451,-52.64
2000-08-17,44.23,2006-01-17,23.22,1359,-47.50
2000-10-31,31.29,2006-01-17,23.22,1307,-25.79
2000-12-05,26.72,2006-01-17,23.22,1283,-13.09
2001-07-12,24.56,2006-01-17,23.22,1133,-5.45
2001-07-31,23.03,2006-01-17,23.22,1120,0.83
2001-10-05,14.49,2006-01-17,23.22,1077,60.25
2002-05-16,24.59,2006-01-17,23.22,924,-5.58
2002-07-05,17.36,2006-01-17,23.22,890,33.77
2002-08-16,12.94,2006-01-17,23.22,860,79.48
2002-10-11,7.30,2006-01-17,23.22,821,218.03
2003-02-18,8.77,2006-01-17,23.22,734,164.62
2003-03-17,8.32,2006-01-17,23.22,715,178.92
2004-02-17,23.34,2006-01-17,23.22,483,-0.53
2004-03-25,20.31,2006-01-17,23.22,456,14.35
2004-05-21,17.85,2006-01-17,23.22,416,30.06
2004-08-18,15.42,2006-01-17,23.22,356,50.55
2004-09-10,15.48,2006-01-17,23.22,340,50.00
2005-01-14,17.38,2006-01-17,23.22,252,33.59
2005-05-09,17.13,2006-01-17,23.22,174,35.52
2005-10-06,18.82,2006-01-17,23.22,69,23.37
2006-03-15,23.64,2013-02-15,72.64,1743,207.32
2006-03-31,22.92,2013-02-15,72.64,1731,216.98
2006-06-01,23.43,2013-02-15,72.64,1689,209.98
2007-03-20,27.01,2013-02-15,72.64,1489,168.92
2007-06-01,29.54,2013-02-15,72.64,1438,145.88
2007-08-24,32.48,2013-02-15,72.64,1379,123.65
2007-10-17,34.81,2013-02-15,72.64,1342,108.68
2008-01-24,28.72,2013-02-15,72.64,1275,152.92
2008-02-27,25.53,2013-02-15,72.64,1252,184.53
2008-03-25,23.99,2013-02-15,72.64,1234,202.79
2008-07-21,23.73,2013-02-15,72.64,1152,206.11
2008-07-30,23.53,2013-02-15,72.64,1145,208.71
2008-10-20,17.05,2013-02-15,72.64,1088,326.04
2008-11-26,15.68,2013-02-15,72.64,1061,363.27
2010-06-03,29.74,2013-02-15,72.64,681,144.25
2010-09-13,27.56,2013-02-15,72.64,611,163.57
2011-03-23,42.80,2013-02-15,72.64,478,69.72
2011-04-29,41.76,2013-02-15,72.64,452,73.95
2011-06-30,36.96,2013-02-15,72.64,409,96.54
2011-08-12,35.46,2013-02-15,72.64,379,104.85
2012-06-06,47.34,2013-02-15,72.64,174,53.44
2012-10-04,55.65,2013-02-15,72.64,90,30.53
2012-10-24,53.88,2013-02-15,72.64,76,34.82
2013-04-10,68.66,2014-07-10,92.88,315,35.28
2013-11-22,91.72,2014-07-10,92.88,156,1.26
2013-12-20,91.48,2014-07-10,92.88,137,1.53
2014-01-22,91.29,2014-07-10,92.88,117,1.74
2014-05-12,82.16,2014-07-10,92.88,41,13.05
2014-07-30,95.14,2017-02-22,123.83,646,30.16
2014-10-24,95.06,2017-02-22,123.83,585,30.27
2015-01-21,106.59,2017-02-22,123.83,526,16.17
2015-04-22,107.81,2017-02-22,123.83,463,14.86
2015-07-15,106.68,2017-02-22,123.83,405,16.08
2015-09-03,92.68,2017-02-22,123.83,369,33.61
2015-10-05,89.39,2017-02-22,123.83,348,38.53
2015-12-22,90.40,2017-02-22,123.83,293,36.98
2016-01-21,87.36,2017-02-22,123.83,274,41.75
2016-05-16,95.83,2017-02-22,123.83,194,29.22
2016-09-21,106.71,2017-02-22,123.83,105,16.04
2016-10-28,105.46,2017-02-22,123.83,78,17.42
2016-11-18,104.59,2017-02-22,123.83,63,18.40
2018-08-27,208.59,2021-02-25,559.77,628,168.36
2018-10-01,190.08,2021-02-25,559.77,604,194.49
2018-10-17,185.01,2021-02-25,559.77,592,202.56
2018-11-01,175.72,2021-02-25,559.77,581,218.56
2019-01-07,157.59,2021-02-25,559.77,538,255.21
2019-06-07,196.62,2021-02-25,559.77,433,184.70
2020-03-24,260.21,2021-02-25,559.77,233,115.12
2021-10-15,789.40,2024-03-14,959.78,605,21.58
2022-02-16,663.86,2024-03-14,959.78,520,44.58
2022-03-16,650.63,2024-03-14,959.78,501,47.52
2022-05-23,554.61,2024-03-14,959.78,454,73.05
2022-07-15,475.63,2024-03-14,959.78,418,101.79
2022-10-04,465.11,2024-03-14,959.78,362,106.36
2022-10-20,437.27,2024-03-14,959.78,350,119.49
2023-08-29,667.51,2024-03-14,959.78,136,43.79
2023-10-06,597.36,2024-03-14,959.78,109,60.67
