Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2018-12-13,19.77,2018-12-21,19.37,6,-2.05
2018-12-24,19.75,2018-12-24,19.75,0,0.00
2020-03-27,20.72,2020-05-14,21.58,31,4.14
2020-10-01,24.04,2020-10-28,24.00,19,-0.19
2021-10-14,26.39,2021-10-18,26.33,2,-0.23
2021-11-04,26.34,2021-11-10,26.29,4,-0.18
2021-12-06,26.18,2022-01-06,26.13,20,-0.20
2022-03-16,24.97,2022-04-11,24.91,18,-0.24
2022-05-25,24.05,2022-06-09,24.17,9,0.49
2022-07-08,23.33,2022-08-15,23.70,26,1.61
2022-07-19,23.33,2022-08-15,23.70,19,1.59
2022-10-21,21.84,2022-12-20,23.56,42,7.85
2023-04-11,21.50,2023-06-21,21.95,48,2.08
2023-05-17,21.55,2023-06-21,21.95,24,1.83
2023-10-24,22.32,2024-01-05,23.98,50,7.46
2024-04-29,24.72,2024-06-10,25.17,28,1.79
