Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2010-09-20,20.63,2010-10-20,22.10,22,7.13
2011-08-24,32.27,2011-09-28,33.01,24,2.29
2011-12-07,31.22,2011-12-19,27.55,8,-11.76
2012-01-09,30.22,2012-03-05,35.45,38,17.31
2012-05-23,33.52,2012-06-01,30.98,6,-7.58
2013-01-03,32.71,2013-02-20,34.67,32,5.99
2013-05-08,33.50,2013-06-24,36.69,32,9.52
2014-10-21,82.38,2015-01-02,100.09,50,21.50
2015-07-20,134.64,2015-08-04,123.47,11,-8.30
2015-08-27,126.26,2015-09-01,119.37,3,-5.46
2016-01-29,133.71,2016-02-08,121.86,6,-8.86
2016-07-08,155.14,2016-09-02,173.11,40,11.58
2016-09-15,172.72,2016-10-12,170.47,19,-1.30
2017-04-20,218.21,2017-06-01,234.59,29,7.51
2018-02-14,247.66,2018-03-19,244.95,22,-1.09
2018-07-30,225.19,2018-10-08,241.37,49,7.19
2018-08-27,212.97,2018-10-08,241.37,29,13.34
2018-11-01,229.88,2018-11-12,223.63,7,-2.72
2019-06-07,274.87,2019-07-08,274.96,20,0.03
2020-03-26,243.17,2020-05-01,259.70,25,6.80
2021-05-20,455.00,2021-06-18,463.50,20,1.87
2022-02-01,592.72,2022-02-11,573.42,8,-3.26
2022-07-15,494.46,2022-08-22,528.75,26,6.93
2022-10-24,456.52,2022-11-03,444.12,8,-2.72
