Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2011-06-17,18.16,2011-07-15,18.75,19,3.25
2011-08-26,16.91,2011-08-30,15.88,2,-6.09
2011-09-29,14.73,2011-10-31,15.81,22,7.33
2011-12-02,15.34,2012-01-06,17.07,23,11.28
2012-04-20,17.10,2012-05-03,16.80,9,-1.75
2012-05-30,16.86,2012-06-07,15.56,6,-7.71
2012-09-27,13.84,2012-12-14,14.10,53,1.88
2012-10-31,13.38,2012-12-14,14.10,31,5.38
2013-03-15,13.21,2013-04-03,12.90,12,-2.35
2013-10-16,19.24,2013-11-04,18.93,13,-1.61
2013-12-02,17.72,2014-01-17,18.81,32,6.15
2015-06-16,25.79,2015-06-29,25.29,9,-1.94
2016-02-22,27.22,2016-04-11,29.29,34,7.60
2017-02-16,34.76,2017-03-23,36.59,24,5.26
2017-04-20,35.73,2017-05-17,35.63,19,-0.28
2017-07-12,33.86,2017-08-07,33.39,18,-1.39
2018-02-23,38.50,2018-03-19,38.80,16,0.78
2018-10-16,49.31,2018-10-17,49.16,1,-0.30
2019-01-11,46.70,2019-02-27,52.73,31,12.91
2020-03-04,77.03,2020-03-09,72.53,3,-5.84
2020-03-30,71.28,2020-04-30,73.44,22,3.03
2020-11-02,81.19,2020-11-30,86.79,19,6.90
2021-03-15,80.63,2021-04-26,82.70,29,2.57
2021-08-30,81.76,2021-09-10,81.49,8,-0.33
2022-02-25,76.39,2022-04-18,87.01,35,13.90
2023-02-03,96.84,2023-02-24,95.70,14,-1.18
2023-03-29,92.41,2023-04-26,94.09,19,1.82
2023-10-02,113.57,2023-10-24,119.73,16,5.42
