Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1973-08-28,2.29,1973-11-02,2.50,47,9.33
1973-12-27,2.29,1974-01-07,2.16,6,-5.65
1974-05-01,2.24,1974-06-17,2.26,32,0.68
1974-08-28,1.55,1974-11-15,1.72,56,11.33
1975-06-23,2.11,1975-07-18,2.17,18,2.89
1975-08-29,2.04,1975-09-09,1.91,6,-6.72
1975-09-19,2.01,1975-10-01,1.97,8,-2.27
1976-03-24,2.32,1976-05-13,2.36,35,1.64
1976-06-10,2.24,1976-07-01,2.28,15,1.70
1976-10-29,2.18,1976-11-08,2.09,5,-4.20
1976-11-22,2.13,1976-12-01,2.10,6,-1.79
1977-02-07,2.00,1977-02-11,1.96,4,-1.91
1977-05-24,1.64,1977-07-06,1.74,29,6.05
1978-11-20,2.04,1978-12-21,1.85,22,-9.33
1979-01-04,1.98,1979-01-26,2.04,16,3.08
1979-03-13,2.00,1979-04-18,2.05,25,2.28
1979-11-12,1.79,1979-12-19,1.96,26,9.36
1980-04-01,1.84,1980-05-12,2.06,28,11.57
1981-05-26,2.87,1981-06-18,2.91,17,1.60
1981-07-16,2.84,1981-08-10,2.80,17,-1.34
1981-09-22,2.50,1981-09-25,2.34,3,-6.40
1981-10-02,2.42,1981-12-07,2.82,45,16.35
1982-04-01,2.62,1982-05-03,2.68,21,2.33
1982-06-16,2.52,1982-06-18,2.43,2,-3.63
1982-06-28,2.50,1982-07-07,2.47,6,-1.22
1982-08-18,2.35,1982-09-20,2.48,22,5.84
1983-03-01,2.62,1983-03-22,2.66,15,1.45
1983-08-25,2.49,1983-10-18,2.52,37,0.92
1983-12-22,2.21,1984-01-25,2.27,22,2.76
1984-03-01,2.16,1984-03-21,2.07,14,-4.58
1984-06-15,2.04,1984-07-25,1.95,27,-4.48
1984-08-01,2.02,1984-09-07,2.24,26,10.94
1985-09-23,3.43,1985-10-04,3.39,8,-1.11
1986-10-03,6.01,1986-11-12,6.31,28,5.08
1986-12-18,5.93,1987-02-06,6.75,34,13.88
1987-05-22,6.88,1987-07-09,7.55,32,9.76
1987-11-06,6.34,1988-03-15,7.29,88,14.90
1987-12-16,6.07,1988-03-15,7.29,61,20.10
1988-05-03,6.81,1988-05-05,6.52,2,-4.25
1988-05-31,6.19,1988-06-22,6.34,16,2.46
1988-11-28,6.39,1988-12-19,6.48,15,1.43
1989-04-04,6.23,1989-05-24,6.65,36,6.60
1989-08-07,6.71,1989-08-22,6.62,11,-1.36
1990-02-07,7.16,1990-03-01,7.16,15,0.00
1990-08-30,8.02,1990-10-11,8.05,29,0.38
1991-01-17,9.02,1991-01-21,8.41,2,-6.76
1991-08-06,8.16,1991-08-20,8.14,10,-0.19
1991-12-13,7.45,1992-02-07,8.45,38,13.29
1992-10-12,9.25,1992-11-05,9.28,18,0.33
1993-01-25,9.51,1993-01-28,9.48,3,-0.32
1993-03-10,9.05,1993-04-06,8.20,19,-9.43
1993-04-27,8.51,1993-06-04,9.02,27,6.09
1993-08-17,8.93,1993-09-08,8.69,15,-2.73
1993-12-14,8.66,1994-01-04,8.66,14,0.00
1994-04-21,9.09,1994-05-11,8.90,13,-2.01
1996-04-19,19.76,1996-05-07,18.63,12,-5.71
1996-05-13,19.51,1996-06-11,20.40,20,4.53
1996-08-01,18.96,1996-08-29,20.18,20,6.43
1996-11-27,20.49,1997-02-26,24.09,61,17.56
1997-04-23,22.80,1997-04-25,21.71,2,-4.81
1997-09-03,24.18,1997-10-10,23.66,27,-2.14
1997-11-17,22.65,1997-12-16,25.06,20,10.63
1998-09-08,40.18,1998-09-17,39.02,7,-2.88
1999-03-02,34.15,1999-03-19,34.45,13,0.89
1999-07-13,29.02,1999-07-22,26.59,7,-8.40
1999-08-20,26.46,1999-09-16,25.79,18,-2.53
1999-12-23,26.46,2000-01-03,25.55,6,-3.46
2000-08-14,25.43,2000-09-14,27.38,22,7.67
2000-10-04,26.34,2000-11-13,30.43,28,15.51
2001-03-29,33.53,2001-05-10,29.85,29,-10.97
2001-11-30,33.04,2002-02-28,35.80,60,8.33
2002-07-31,28.35,2002-09-03,28.68,23,1.17
2004-08-03,46.90,2004-10-07,50.07,46,6.76
