Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1997-09-16,29.48,1997-10-10,29.84,18,1.22
1998-08-18,48.06,1998-08-21,46.32,3,-3.62
1998-09-24,40.58,1998-10-27,41.50,23,2.27
1998-12-24,45.06,1999-01-11,41.76,10,-7.32
1999-09-17,40.16,1999-09-27,38.10,6,-5.13
1999-10-11,38.90,1999-10-12,38.08,1,-2.11
1999-12-31,36.60,2000-01-04,34.08,2,-6.89
2000-02-16,33.28,2000-02-22,32.40,3,-2.64
2000-03-15,32.52,2000-05-01,37.14,32,14.21
2001-09-26,45.24,2001-10-26,48.38,22,6.94
2002-03-15,48.68,2002-03-21,48.20,4,-0.99
2002-07-29,45.84,2002-09-03,48.16,25,5.06
2003-03-04,42.66,2003-03-26,43.96,16,3.05
2004-05-28,59.44,2004-06-16,58.90,11,-0.91
2004-08-18,57.66,2004-08-23,57.32,3,-0.59
2004-11-01,56.18,2004-11-02,56.00,1,-0.32
2005-04-05,58.42,2005-04-07,58.05,2,-0.63
2005-10-04,54.92,2005-11-22,57.90,35,5.43
2006-04-26,58.70,2006-04-27,58.28,1,-0.72
2008-08-01,77.74,2008-08-12,76.76,7,-1.26
2008-11-28,69.98,2008-12-01,65.60,1,-6.26
2009-03-10,55.10,2009-04-20,58.60,28,6.35
2010-06-10,74.10,2010-07-02,77.24,16,4.24
2011-06-21,76.49,2011-06-22,75.97,1,-0.68
2011-08-29,72.60,2011-09-02,69.37,4,-4.45
2014-02-11,113.61,2014-04-04,123.90,37,9.06
2015-10-05,132.38,2015-11-09,134.00,25,1.22
2017-04-24,165.78,2017-04-28,165.21,4,-0.34
2018-07-09,189.64,2018-09-28,214.11,58,12.90
2018-12-31,204.18,2019-01-03,191.66,2,-6.13
2019-08-26,200.20,2019-09-24,206.40,20,3.10
2020-04-06,185.24,2020-04-21,183.48,10,-0.95
2022-05-27,319.11,2022-06-01,312.21,2,-2.16
2022-07-07,279.28,2022-08-22,288.69,32,3.37
2023-11-01,343.75,2023-12-05,355.03,23,3.28
