Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1992-10-16,4.50,1992-11-16,4.75,21,5.56
1993-03-31,4.00,1993-04-01,3.38,1,-15.62
1993-04-23,3.44,1993-05-12,3.50,13,1.82
1993-10-12,2.62,1993-11-22,3.22,29,22.62
1993-12-23,3.03,1994-01-03,3.00,6,-1.03
1994-05-02,3.53,1994-06-15,3.62,31,2.65
1994-07-12,3.50,1994-07-26,3.34,10,-4.46
1996-04-29,10.94,1996-05-03,10.59,4,-3.14
1996-06-25,10.62,1996-07-03,10.25,6,-3.53
1997-05-02,12.53,1997-08-01,17.73,63,41.52
1997-10-16,14.69,1997-10-22,12.75,4,-13.19
1997-11-05,13.34,1997-11-12,12.86,5,-3.63
1997-12-30,11.30,1998-01-13,11.06,9,-2.07
1998-06-17,16.28,1998-07-24,18.16,26,11.52
1998-10-20,13.52,1998-11-02,13.06,9,-3.35
1998-11-19,12.67,1998-12-14,12.78,16,0.86
1999-08-26,18.06,1999-09-15,13.50,13,-25.26
1999-11-01,10.44,1999-11-30,10.56,20,1.20
2000-08-21,8.91,2000-09-20,9.12,21,2.46
2000-10-23,8.00,2000-11-08,7.88,12,-1.56
2000-12-18,6.72,2001-02-07,7.96,34,18.47
2001-05-01,8.15,2001-06-15,8.57,32,5.15
2002-01-31,11.23,2002-02-25,11.38,16,1.29
2002-07-25,14.13,2002-08-05,13.50,7,-4.49
2004-05-25,40.36,2004-06-16,40.49,14,0.32
2004-08-19,35.00,2004-09-22,38.05,23,8.71
2004-11-04,36.34,2004-11-16,33.73,8,-7.18
2004-11-30,34.81,2004-12-03,34.54,3,-0.78
2005-02-01,34.81,2005-02-08,33.25,5,-4.48
2005-04-05,30.71,2005-04-19,29.05,10,-5.41
2005-06-14,28.89,2005-07-06,28.00,15,-3.08
2005-07-05,28.60,2005-07-06,28.00,1,-2.10
2005-10-13,24.30,2005-12-07,25.81,38,6.21
2006-02-15,22.61,2006-03-07,23.33,13,3.18
2006-04-21,22.49,2006-05-02,22.07,7,-1.87
2006-06-02,20.70,2006-06-12,19.41,6,-6.23
2006-06-16,20.09,2006-06-22,18.61,4,-7.37
2006-07-25,16.73,2006-08-03,16.27,7,-2.75
2006-10-12,15.43,2006-11-13,15.86,22,2.79
2007-04-05,14.97,2007-04-30,15.44,16,3.14
2007-08-31,12.83,2007-10-17,14.14,32,10.21
2007-12-03,13.00,2007-12-14,11.95,9,-8.08
2008-01-10,11.70,2008-02-22,12.31,29,5.21
2008-10-31,9.03,2008-11-20,5.48,14,-39.31
2008-12-05,7.61,2009-01-12,7.35,24,-3.42
2009-03-16,7.60,2009-04-21,8.45,25,11.18
2009-11-16,8.38,2010-01-22,9.00,45,7.40
2010-03-03,7.90,2010-03-15,6.80,8,-13.92
2010-04-14,7.16,2010-04-26,7.06,8,-1.40
2010-06-15,6.11,2010-06-29,5.77,10,-5.56
2010-09-16,5.45,2010-10-19,5.97,23,9.54
2011-05-31,7.18,2011-06-01,7.03,1,-2.09
2011-10-27,5.64,2011-11-01,5.58,3,-1.06
2012-04-20,5.94,2012-05-16,6.09,18,2.53
2012-06-12,5.87,2012-06-20,5.72,6,-2.56
2012-08-08,5.38,2012-08-30,5.43,16,0.93
2012-11-19,5.21,2012-12-28,5.58,27,7.10
2013-05-02,7.61,2013-06-20,9.11,34,19.71
2014-10-21,12.03,2014-11-19,13.09,21,8.81
2015-08-28,17.07,2015-09-22,16.55,16,-3.05
2016-02-01,17.88,2016-02-05,16.62,4,-7.05
2016-02-17,17.57,2016-06-17,22.49,85,28.00
2016-12-12,21.09,2017-02-23,24.48,49,16.07
2017-08-18,26.89,2017-10-26,28.82,48,7.18
2017-11-20,28.35,2017-11-28,26.39,5,-6.91
2018-01-03,25.56,2018-02-02,27.39,21,7.16
2018-02-16,27.20,2018-02-20,26.83,1,-1.36
2018-12-31,35.34,2019-03-06,39.78,44,12.56
2019-04-26,37.38,2019-07-16,41.86,55,11.99
2019-10-23,40.09,2019-11-11,40.17,13,0.20
2020-02-19,43.02,2020-02-24,41.08,3,-4.51
2020-03-31,32.63,2020-05-04,35.83,23,9.81
2020-10-05,39.24,2020-10-15,39.00,8,-0.61
2020-11-09,38.21,2020-11-17,35.03,6,-8.32
2021-12-06,40.70,2021-12-15,40.24,7,-1.13
2022-05-27,41.20,2022-06-09,37.97,8,-7.84
2022-06-29,37.80,2022-08-22,41.26,37,9.15
2022-10-04,41.03,2022-10-07,39.76,3,-3.10
2023-10-31,51.19,2023-12-20,54.98,35,7.40
