Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1987-05-08,10.69,1987-06-01,10.62,15,-0.58
1987-09-25,11.81,1987-10-09,10.19,10,-13.76
1987-12-09,7.03,1988-01-14,8.00,24,13.78
1988-06-01,9.50,1988-06-07,9.12,4,-3.95
1988-08-03,8.94,1988-10-12,9.62,49,7.69
1990-02-27,9.69,1990-03-23,10.00,18,3.23
1990-05-16,8.91,1990-06-12,9.28,18,4.21
1990-09-05,8.44,1990-09-24,7.53,13,-10.74
1990-10-18,7.66,1990-12-17,9.22,41,20.41
1991-12-31,12.56,1992-03-06,12.62,46,0.50
1992-05-06,8.31,1992-07-10,8.22,45,-1.13
1992-09-29,7.94,1992-11-30,9.75,43,22.83
1993-03-03,8.75,1993-03-24,8.16,15,-6.79
1993-05-03,7.50,1993-07-06,8.25,44,10.00
1994-01-19,9.44,1994-03-16,9.94,39,5.30
1994-06-03,7.00,1994-06-23,7.19,14,2.68
1995-01-17,6.62,1995-02-09,6.81,17,2.83
1995-10-11,8.75,1995-10-24,8.56,9,-2.14
1996-01-04,8.00,1996-01-17,7.56,9,-5.47
1997-10-31,19.25,1997-12-09,21.28,26,10.55
1998-08-18,29.69,1998-08-31,23.53,9,-20.74
1998-09-08,27.69,1998-10-01,22.25,17,-19.64
1999-04-26,44.50,1999-04-28,42.78,2,-3.86
1999-06-16,38.23,1999-07-21,40.00,24,4.62
1999-08-16,37.84,1999-08-30,38.03,10,0.50
1999-09-24,36.16,1999-10-15,37.25,15,3.03
2000-06-21,32.38,2000-07-19,32.94,19,1.74
2001-09-28,35.56,2001-10-30,37.53,22,5.54
2002-03-18,42.21,2002-04-23,40.48,25,-4.10
2002-04-09,40.76,2002-04-23,40.48,10,-0.69
2002-07-29,36.26,2002-08-23,34.20,19,-5.68
2003-01-02,29.01,2003-01-22,29.05,13,0.14
2003-08-26,31.62,2003-09-09,31.02,9,-1.90
2004-05-24,36.81,2004-07-01,40.87,26,11.03
2005-05-09,43.34,2005-06-22,45.47,31,4.91
2005-08-22,44.23,2005-09-19,42.25,19,-4.48
2005-09-22,43.05,2005-12-01,48.79,49,13.33
2006-09-12,49.58,2006-10-02,48.75,14,-1.67
2007-03-23,54.56,2007-04-24,54.25,21,-0.57
2008-08-08,66.99,2008-09-17,65.37,27,-2.42
2008-10-28,57.48,2008-11-14,48.06,13,-16.39
2008-11-26,51.45,2008-12-23,51.47,18,0.04
2009-03-13,42.20,2009-04-14,45.35,21,7.46
2010-07-13,56.51,2010-08-11,55.87,21,-1.13
2011-08-23,76.22,2011-09-30,82.13,27,7.75
2012-01-25,82.72,2012-04-04,89.04,49,7.64
2012-05-25,84.48,2012-07-24,94.08,40,11.36
2014-01-09,118.51,2014-01-22,113.75,8,-4.02
2015-07-07,140.50,2015-08-13,145.27,27,3.40
2015-09-08,141.43,2015-11-09,155.16,44,9.71
2016-02-16,149.11,2016-03-07,148.17,14,-0.63
2016-09-30,152.51,2016-11-01,146.66,22,-3.84
2016-11-11,149.36,2017-01-04,159.76,35,6.96
2017-07-31,158.51,2017-08-24,151.33,18,-4.53
2018-02-15,191.48,2018-02-20,188.12,2,-1.75
2018-10-19,229.67,2018-11-15,229.94,19,0.12
2019-01-08,208.55,2019-02-01,210.27,17,0.82
2020-03-04,320.74,2020-03-06,311.34,2,-2.93
2021-03-19,328.91,2021-05-12,372.20,37,13.16
2022-02-01,508.41,2022-02-22,502.18,14,-1.23
2022-06-02,487.61,2022-08-11,532.20,48,9.14
2022-10-21,478.18,2022-12-01,503.86,28,5.37
2023-01-06,482.87,2023-02-16,504.10,28,4.40
