Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2004-12-23,4.15,2005-01-04,4.09,7,-1.51
2005-02-15,3.56,2005-03-10,3.87,16,8.63
2005-09-07,5.21,2005-10-06,5.76,21,10.55
2006-06-01,7.76,2006-06-06,6.91,3,-11.05
2006-06-23,6.95,2006-07-10,5.85,10,-15.83
2006-07-25,6.13,2006-09-19,8.52,39,38.85
2007-01-04,9.47,2007-02-26,11.72,35,23.81
2007-07-06,11.17,2007-07-10,10.85,2,-2.86
2007-08-08,11.19,2007-08-16,10.31,6,-7.82
2008-07-17,17.41,2008-07-22,16.42,3,-5.66
2008-09-19,13.95,2008-09-24,12.75,3,-8.64
2008-11-04,7.88,2008-11-12,6.08,6,-22.84
2008-11-26,7.22,2008-12-26,7.86,20,8.76
2010-10-25,28.14,2010-11-16,27.75,16,-1.36
2011-02-04,34.49,2011-02-09,33.61,3,-2.54
2011-03-24,32.31,2011-04-19,32.63,18,0.99
2011-08-31,32.19,2011-09-02,30.90,2,-3.99
2011-12-05,31.25,2011-12-12,29.02,5,-7.15
2012-01-10,26.20,2012-04-10,38.43,62,46.70
2012-05-21,37.26,2012-05-24,36.55,3,-1.91
2012-11-19,36.83,2013-01-16,42.41,39,15.15
2013-06-27,38.84,2013-08-15,43.60,34,12.26
2014-05-12,53.43,2014-05-13,52.28,1,-2.15
2014-12-18,59.33,2015-01-06,57.20,11,-3.59
2015-09-08,70.76,2015-09-09,69.03,1,-2.44
2016-02-22,63.98,2016-04-27,75.69,46,18.30
2016-08-25,80.16,2016-09-01,75.91,5,-5.30
2016-10-10,75.10,2016-10-13,70.63,3,-5.95
2017-01-03,70.54,2017-03-21,81.55,53,15.61
2018-11-07,141.79,2018-11-09,136.92,2,-3.43
2019-08-21,147.38,2019-09-24,152.05,23,3.17
2020-03-26,154.73,2020-06-04,171.44,48,10.80
2020-12-22,231.17,2021-01-12,215.52,13,-6.77
2021-03-23,215.00,2021-05-03,223.76,28,4.07
2022-01-31,232.63,2022-02-14,206.40,10,-11.28
2022-03-02,210.39,2022-04-06,200.82,25,-4.55
2022-05-04,185.48,2022-05-09,163.60,3,-11.80
2022-10-04,155.73,2022-10-07,150.29,3,-3.49
2023-08-28,211.72,2023-09-15,214.61,13,1.37
2023-10-16,208.53,2023-10-18,204.83,2,-1.77
