Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1981-02-13,7.01,1981-05-20,9.03,66,28.82
1981-08-28,7.36,1981-09-10,6.56,8,-10.91
1981-10-13,5.89,1981-11-13,6.16,23,4.55
1982-02-08,6.16,1982-03-05,5.96,18,-3.26
1982-04-02,5.55,1982-05-24,7.03,35,26.51
1982-09-15,5.35,1982-09-28,5.22,9,-2.50
1983-07-21,7.86,1983-08-03,7.69,9,-2.13
1983-09-23,7.53,1983-11-30,8.87,47,17.78
1983-10-11,7.53,1983-11-30,8.87,35,17.78
1985-07-10,17.15,1985-07-30,17.56,14,2.44
1986-06-26,23.84,1986-09-11,21.33,53,-10.53
1986-10-07,21.01,1986-11-17,24.78,29,17.91
1987-11-19,23.05,1988-01-04,23.05,29,0.00
1990-09-17,22.58,1990-10-16,20.23,21,-10.42
1991-01-24,18.82,1991-04-08,26.35,50,40.00
1992-01-10,22.35,1992-01-30,21.64,14,-3.16
1993-12-27,30.58,1994-01-04,30.11,6,-1.54
1997-03-10,49.40,1997-04-02,49.87,16,0.95
1998-08-18,54.10,1998-08-26,52.69,6,-2.61
1999-11-02,62.81,1999-12-01,63.98,20,1.87
2000-11-02,75.51,2000-12-11,76.57,26,1.40
2001-03-30,70.60,2001-05-17,73.68,33,4.36
2001-08-07,73.82,2001-09-04,70.43,19,-4.59
2001-09-28,69.87,2001-10-23,69.10,17,-1.09
2002-07-29,65.63,2002-08-05,64.36,5,-1.94
2002-10-24,61.91,2002-12-10,66.90,32,8.07
2004-05-03,81.44,2004-07-22,92.73,55,13.86
2005-01-18,86.10,2005-02-07,80.00,14,-7.08
2005-03-04,80.00,2005-03-21,74.89,11,-6.39
2007-03-21,98.46,2007-04-11,90.56,14,-8.03
2007-08-17,74.69,2007-10-15,82.63,40,10.62
2007-12-06,68.51,2007-12-17,61.54,7,-10.18
2008-07-22,63.94,2008-08-07,61.20,12,-4.28
2010-03-01,20.66,2010-04-16,23.06,33,11.61
2010-07-22,19.00,2010-08-11,18.69,14,-1.63
2011-08-29,19.96,2011-09-21,16.80,16,-15.84
2013-06-26,27.92,2013-07-30,29.02,23,3.94
2013-12-31,29.08,2014-01-27,29.44,17,1.26
2014-12-23,32.69,2015-02-04,31.62,28,-3.28
2015-05-15,28.60,2015-06-29,29.58,30,3.46
2015-09-11,26.42,2015-11-06,28.20,40,6.73
2016-02-17,24.22,2016-04-21,28.74,45,18.65
2017-03-31,33.08,2017-05-03,33.44,22,1.09
2018-03-05,33.96,2018-03-22,34.08,13,0.35
2019-01-07,32.32,2019-03-25,37.16,53,14.98
2019-08-22,34.59,2019-10-08,36.58,32,5.75
2020-03-31,29.27,2020-04-21,28.30,14,-3.31
2020-11-09,29.88,2020-12-18,33.81,28,13.15
2022-05-27,34.73,2022-06-09,32.55,8,-6.28
2022-07-19,29.97,2022-08-04,29.11,12,-2.87
2022-09-12,28.63,2022-09-20,26.30,6,-8.14
2022-10-25,24.10,2022-12-05,24.98,28,3.65
2023-03-31,21.38,2023-05-02,20.99,21,-1.82
2023-10-17,19.83,2023-10-23,18.10,4,-8.72
