Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1979-05-22,0.10,1984-01-30,0.12,1186,24.32
1979-07-20,0.11,1984-01-30,0.12,1145,12.19
1979-11-13,0.09,1984-01-30,0.12,1064,27.78
1980-01-10,0.10,1984-01-30,0.12,1025,21.05
1980-03-03,0.09,1984-01-30,0.12,989,27.78
1980-04-10,0.07,1983-06-20,0.09,807,26.92
1980-07-17,0.09,1983-06-20,0.09,739,0.00
1980-12-30,0.08,1983-06-20,0.09,625,6.45
1981-03-18,0.11,1984-01-30,0.12,726,9.52
1981-05-15,0.11,1984-01-30,0.12,685,9.52
1981-06-01,0.11,1984-01-30,0.12,675,15.00
1981-08-07,0.10,1984-01-30,0.12,627,21.05
1981-10-08,0.08,1983-06-20,0.09,429,10.00
1981-12-15,0.07,1983-06-20,0.09,382,26.92
1982-03-24,0.06,1983-06-20,0.09,314,37.50
1982-07-02,0.05,1983-06-20,0.09,244,73.68
1982-09-30,0.05,1983-06-20,0.09,182,73.68
1983-01-03,0.06,1983-06-20,0.09,117,50.00
1983-04-05,0.07,1983-06-20,0.09,53,26.92
1983-08-26,0.07,1984-01-30,0.12,107,70.37
1983-08-30,0.07,1984-01-30,0.12,105,70.37
1983-11-01,0.09,1984-01-30,0.12,61,31.43
1983-12-22,0.09,1984-01-30,0.12,25,31.43
1984-06-20,0.13,1985-02-15,0.16,167,21.57
1984-08-02,0.14,1985-02-15,0.16,137,19.23
1984-09-24,0.14,1985-02-15,0.16,101,19.23
1984-11-15,0.12,1985-02-15,0.16,63,34.78
1984-12-06,0.12,1985-02-15,0.16,49,37.78
1984-12-11,0.12,1985-02-15,0.16,46,37.78
1985-03-12,0.16,1985-08-05,0.19,101,14.52
1985-03-25,0.16,1985-08-05,0.19,92,14.52
1985-06-06,0.16,1985-08-05,0.19,41,18.33
1985-06-20,0.15,1985-08-05,0.19,31,20.34
1985-09-10,0.19,1986-05-06,0.25,164,36.62
1985-12-13,0.15,1986-05-06,0.25,98,64.41
1986-01-31,0.16,1986-05-06,0.25,65,59.02
1986-06-19,0.27,1987-01-27,0.29,153,6.73
1986-08-12,0.21,1987-01-27,0.29,116,37.04
1986-08-14,0.22,1987-01-27,0.29,114,35.37
1986-08-27,0.21,1987-01-27,0.29,105,37.04
1986-09-02,0.21,1987-01-27,0.29,102,37.04
1986-11-25,0.25,1987-01-27,0.29,42,16.84
1987-05-29,0.51,1987-08-26,0.60,62,15.82
1987-07-09,0.49,1987-08-26,0.60,34,20.74
1987-09-11,0.62,1990-06-08,0.87,693,39.50
1987-11-24,0.33,1990-06-08,0.87,641,163.49
1987-12-09,0.33,1990-06-08,0.87,631,167.74
1988-01-18,0.37,1990-06-08,0.87,605,137.14
1988-09-07,0.72,1990-06-08,0.87,443,21.17
1988-11-25,0.57,1990-06-08,0.87,387,53.70
1989-02-02,0.59,1990-06-08,0.87,340,46.90
1989-08-03,0.74,1990-06-08,0.87,214,17.73
1989-08-24,0.74,1990-06-08,0.87,199,18.57
1989-10-02,0.71,1990-06-08,0.87,173,22.06
1989-11-08,0.63,1990-06-08,0.87,146,38.33
1990-01-02,0.65,1990-06-08,0.87,110,33.87
1990-02-01,0.61,1990-06-08,0.87,88,41.88
1990-09-07,0.78,1992-02-25,0.96,370,22.97
1990-10-22,0.65,1992-02-25,0.96,339,46.77
1990-11-07,0.62,1992-02-25,0.96,327,52.94
1990-12-27,0.67,1992-02-25,0.96,293,42.19
1991-05-30,0.80,1992-02-25,0.96,187,18.95
1991-10-17,0.82,1992-02-25,0.96,89,16.67
1991-10-23,0.81,1992-02-25,0.96,85,17.42
1991-12-17,0.78,1992-02-25,0.96,47,22.97
1992-04-16,0.96,1994-06-24,1.74,553,82.42
1992-07-15,1.00,1994-06-24,1.74,492,74.74
1992-09-04,1.00,1994-06-24,1.74,455,74.74
1992-10-14,0.94,1994-06-24,1.74,428,85.47
1992-12-01,1.02,1994-06-24,1.74,395,71.13
1993-03-03,1.13,1994-06-24,1.74,332,53.70
1993-07-21,1.36,1994-06-24,1.74,235,28.19
1993-10-19,1.47,1994-06-24,1.74,172,19.00
1994-03-01,1.56,1994-06-24,1.74,80,11.41
1994-10-12,1.89,1995-01-26,2.24,73,18.33
1994-12-14,2.02,1995-01-26,2.24,29,10.94
1995-02-09,2.23,1997-07-02,4.24,605,90.57
1995-04-11,2.42,1997-07-02,4.24,563,75.65
1995-04-26,2.37,1997-07-02,4.24,553,78.76
1995-10-16,2.71,1997-07-02,4.24,433,56.59
1995-11-06,2.67,1997-07-02,4.24,418,59.06
1995-12-06,2.77,1997-07-02,4.24,397,53.03
1996-01-23,2.65,1997-07-02,4.24,365,60.32
1996-07-26,3.35,1997-07-02,4.24,236,26.65
1997-03-11,3.74,1997-07-02,4.24,79,13.48
1997-04-17,3.56,1997-07-02,4.24,53,19.17
1997-11-05,4.90,1998-03-09,5.91,83,20.69
1998-01-28,5.16,1998-03-09,5.91,27,14.55
1998-05-05,6.22,1998-07-28,7.10,58,14.19
1998-09-08,6.63,1999-05-14,11.10,172,67.51
1998-10-16,5.99,1999-05-14,11.10,144,85.44
1999-03-05,8.44,1999-05-14,11.10,49,31.47
1999-06-03,10.71,2018-02-05,85.73,4699,700.30
1999-06-17,10.45,2018-02-05,85.73,4689,720.40
1999-07-15,10.16,2018-02-05,85.73,4670,744.16
1999-07-28,10.02,2018-02-05,85.73,4661,755.66
1999-08-12,9.64,2018-02-05,85.73,4650,789.22
1999-10-06,8.98,2018-02-05,85.73,4612,854.74
1999-11-16,8.58,2018-02-05,85.73,4583,899.15
1999-12-29,7.95,2018-02-05,85.73,4554,978.34
2000-02-03,7.32,2018-02-05,85.73,4529,1071.17
2000-03-01,6.96,2018-02-05,85.73,4511,1131.23
2000-03-16,7.30,2018-02-05,85.73,4500,1074.54
2000-06-27,8.24,2018-02-05,85.73,4429,939.88
2000-07-20,8.02,2018-02-05,85.73,4413,968.46
2000-10-04,8.65,2018-02-05,85.73,4360,890.66
2001-01-30,10.69,2018-02-05,85.73,4280,702.06
2001-04-18,9.91,2018-02-05,85.73,4226,765.46
2001-07-31,9.51,2018-02-05,85.73,4154,801.55
2001-10-09,8.21,2018-02-05,85.73,4109,944.19
2001-12-27,10.20,2018-02-05,85.73,4054,740.65
2002-06-28,11.15,2018-02-05,85.73,3928,668.94
2002-07-05,10.96,2018-02-05,85.73,3924,682.26
2002-07-29,10.51,2018-02-05,85.73,3908,715.52
2002-08-08,10.13,2018-02-05,85.73,3900,746.51
2002-09-26,9.73,2018-02-05,85.73,3866,781.00
2003-02-14,10.59,2018-02-05,85.73,3769,709.70
2003-06-03,11.57,2018-02-05,85.73,3695,641.12
2003-07-18,11.70,2018-02-05,85.73,3663,632.93
2004-03-17,15.47,2018-02-05,85.73,3496,454.19
2004-05-25,15.37,2018-02-05,85.73,3448,457.58
2004-08-18,16.87,2018-02-05,85.73,3390,408.16
2005-02-01,18.53,2018-02-05,85.73,3275,362.71
2005-03-02,18.49,2018-02-05,85.73,3255,363.64
2005-04-25,17.52,2018-02-05,85.73,3218,389.34
2005-05-02,17.10,2018-02-05,85.73,3213,401.27
2005-07-20,17.83,2018-02-05,85.73,3158,380.86
2005-09-06,18.34,2018-02-05,85.73,3125,367.55
2005-09-29,17.99,2018-02-05,85.73,3108,376.46
2005-10-31,17.51,2018-02-05,85.73,3086,389.62
2006-01-27,18.67,2018-02-05,85.73,3026,359.22
2006-06-01,21.83,2018-02-05,85.73,2940,292.69
2006-06-15,21.32,2018-02-05,85.73,2930,302.04
2006-07-20,21.34,2018-02-05,85.73,2906,301.72
2007-01-09,24.41,2018-02-05,85.73,2788,251.22
2007-03-21,24.43,2018-02-05,85.73,2739,250.84
2007-04-30,23.92,2018-02-05,85.73,2712,258.33
2007-05-25,24.34,2018-02-05,85.73,2693,252.24
2007-08-06,26.43,2018-02-05,85.73,2644,224.38
2008-02-13,25.52,2018-02-05,85.73,2512,235.92
2008-03-18,25.54,2018-02-05,85.73,2489,235.65
2008-07-17,27.19,2018-02-05,85.73,2405,215.32
2008-10-30,19.61,2018-02-05,85.73,2331,337.11
2008-11-28,18.70,2018-02-05,85.73,2311,358.47
2008-12-16,18.24,2018-02-05,85.73,2299,369.96
2009-01-26,18.86,2018-02-05,85.73,2273,354.55
2009-03-11,17.52,2018-02-05,85.73,2242,389.44
2009-07-15,20.60,2018-02-05,85.73,2155,316.21
