Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1962-07-06,21.86,1962-08-29,23.03,38,5.35
1963-11-27,27.45,1963-12-18,27.55,14,0.39
1966-03-15,28.83,1966-03-17,28.62,2,-0.74
1966-07-15,26.38,1966-07-20,26.28,3,-0.40
1966-09-01,25.53,1966-09-02,25.21,1,-1.25
1967-03-20,26.91,1967-03-21,26.38,1,-1.98
1967-06-30,25.32,1967-07-19,25.21,12,-0.42
1967-11-29,22.87,1967-11-30,22.66,1,-0.93
1969-07-03,21.17,1969-07-07,20.53,1,-3.02
1969-08-06,20.32,1969-08-07,19.89,1,-2.09
1969-12-19,18.40,1969-12-22,18.09,1,-1.73
1970-06-01,17.02,1970-06-03,16.91,2,-0.62
1970-07-27,15.00,1970-08-07,14.89,9,-0.71
1971-06-30,16.91,1971-07-30,16.91,21,0.00
1973-08-24,15.85,1973-08-27,15.53,1,-2.01
1974-01-02,14.36,1974-02-04,14.68,23,2.22
1974-06-06,10.64,1974-06-14,9.89,6,-7.00
1974-08-05,8.51,1974-08-19,8.40,10,-1.25
1975-01-02,7.87,1975-02-13,10.11,30,28.38
1976-04-06,12.13,1976-04-07,11.91,1,-1.75
1976-07-09,11.49,1976-08-25,12.23,33,6.48
1978-11-20,12.66,1978-12-13,12.34,16,-2.52
1979-01-04,12.45,1979-02-07,12.55,24,0.85
1979-10-18,11.70,1979-10-19,11.38,1,-2.73
1980-04-01,9.79,1980-05-19,11.06,33,13.04
1980-12-22,9.68,1980-12-29,9.36,4,-3.30
1982-07-08,10.00,1982-07-09,9.89,1,-1.06
1983-07-20,12.13,1983-08-08,11.91,13,-1.75
1983-12-22,11.91,1983-12-30,11.70,5,-1.79
1984-05-03,10.53,1984-05-04,10.43,1,-1.01
1985-08-15,13.72,1985-08-16,13.62,1,-0.78
1985-10-14,12.55,1985-11-04,12.66,15,0.85
1987-01-05,14.89,1987-02-03,15.53,21,4.29
1987-04-30,14.47,1987-05-15,13.94,11,-3.68
1987-10-21,12.45,1987-10-22,12.13,1,-2.56
1988-05-20,10.85,1988-06-10,11.06,14,1.96
1992-09-30,27.55,1992-10-02,27.34,2,-0.77
1993-05-26,29.57,1993-05-28,29.36,2,-0.72
1993-11-23,27.13,1993-12-10,26.38,12,-2.75
1994-01-26,24.89,1994-02-04,24.57,7,-1.28
1996-06-25,24.68,1996-07-19,25.21,17,2.16
1997-04-18,23.09,1997-05-12,23.09,16,0.00
1999-02-18,34.41,1999-02-24,33.88,4,-1.55
1999-08-20,33.72,1999-09-02,32.98,9,-2.21
1999-10-28,28.51,1999-11-17,28.51,14,0.00
2002-07-30,34.11,2002-09-03,35.69,24,4.62
2003-08-29,29.71,2003-09-18,30.29,13,1.95
2005-10-31,36.77,2005-11-01,36.39,1,-1.02
2008-01-14,38.49,2008-01-15,37.67,1,-2.14
2008-10-28,31.12,2008-11-12,29.83,11,-4.16
2009-03-18,22.91,2009-04-21,24.19,23,5.57
2011-08-23,41.65,2011-09-09,41.25,12,-0.96
2013-06-18,57.52,2013-06-19,56.24,1,-2.23
2013-09-18,58.04,2013-09-25,56.64,5,-2.42
2015-07-01,64.03,2015-07-23,64.83,15,1.24
2018-01-25,90.18,2018-01-26,89.79,1,-0.43
2018-02-15,87.79,2018-02-21,86.72,3,-1.21
2018-06-19,84.34,2018-08-28,94.24,49,11.74
2019-01-15,94.68,2019-03-19,103.95,43,9.79
2019-11-25,105.60,2020-02-24,113.07,60,7.08
2020-03-30,84.62,2020-03-31,80.83,1,-4.49
2021-10-06,115.28,2021-10-08,114.13,2,-1.00
2022-06-28,125.23,2022-07-18,123.67,13,-1.25
2022-10-28,113.64,2022-12-16,115.82,34,1.92
2023-09-12,103.92,2023-09-26,102.16,10,-1.69
2023-10-24,97.70,2023-10-27,96.91,3,-0.81
