Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2001-04-03,7.50,2001-06-14,12.35,50,64.67
2001-10-11,8.05,2001-12-13,9.34,44,16.02
2002-06-25,12.46,2002-07-10,12.51,10,0.40
2002-08-15,9.78,2002-08-27,9.82,8,0.41
2002-10-21,6.82,2002-12-04,9.36,31,37.24
2003-03-17,10.47,2003-03-31,9.96,10,-4.87
2003-10-09,13.29,2003-10-17,12.45,6,-6.32
2004-02-26,12.18,2004-03-08,11.86,7,-2.63
2004-05-11,11.02,2004-06-03,10.78,16,-2.18
2004-08-23,8.56,2004-09-03,7.67,9,-10.40
2005-01-31,8.89,2005-02-22,9.04,15,1.69
2005-05-05,8.99,2005-06-16,9.63,29,7.12
2005-11-08,9.89,2005-12-07,10.09,20,2.02
2006-04-18,10.28,2006-04-24,10.07,4,-2.04
2006-07-27,9.11,2006-08-09,9.06,9,-0.55
2006-11-15,10.57,2007-01-03,10.78,31,1.99
2007-05-11,11.62,2007-05-16,11.53,3,-0.77
2007-08-31,9.44,2007-10-15,8.54,30,-9.53
2007-10-29,8.90,2007-11-07,8.21,7,-7.75
2008-01-31,7.70,2008-02-05,7.36,3,-4.42
2008-03-24,7.22,2008-04-11,7.18,14,-0.55
2008-07-21,6.83,2008-08-01,5.89,9,-13.76
2008-08-08,6.59,2008-08-18,6.50,6,-1.37
2008-12-09,1.51,2009-01-12,2.02,22,33.77
2009-03-12,0.84,2009-06-18,2.71,68,222.62
2009-11-16,4.21,2010-01-11,5.14,37,22.09
2010-02-09,4.56,2010-02-25,4.51,11,-1.10
2010-07-09,4.41,2010-08-10,4.68,22,6.12
2011-08-29,7.54,2011-09-21,7.00,16,-7.16
2011-10-06,7.20,2011-11-17,8.50,30,18.06
2012-04-27,8.97,2012-05-03,8.71,4,-2.90
2012-06-06,7.87,2012-06-25,7.76,13,-1.40
2012-10-18,8.15,2012-11-14,8.04,17,-1.35
2013-08-22,9.34,2013-10-03,9.92,29,6.21
2014-02-04,11.43,2014-03-11,11.97,24,4.72
2014-08-19,11.97,2014-09-04,11.80,11,-1.42
2014-10-16,11.70,2014-11-28,13.47,30,15.13
2015-01-22,12.81,2015-02-27,13.41,25,4.68
2015-07-30,14.73,2015-08-20,13.82,15,-6.18
2015-09-15,13.73,2015-09-25,12.93,8,-5.83
2015-11-18,13.05,2015-12-11,13.19,16,1.07
2016-01-29,11.66,2016-03-28,12.84,39,10.12
2016-11-07,16.30,2016-12-01,17.40,17,6.75
2017-07-11,23.25,2017-08-04,24.65,18,6.02
2018-11-01,28.15,2018-11-09,26.77,6,-4.90
2019-06-10,37.19,2019-07-03,36.60,17,-1.59
2020-03-26,48.28,2020-04-21,47.26,17,-2.11
2022-02-01,128.44,2022-02-11,124.48,8,-3.08
2022-05-02,115.80,2022-05-09,105.50,5,-8.89
2022-10-28,80.89,2022-11-02,63.51,3,-21.49
2022-11-10,74.72,2022-11-16,72.83,4,-2.53
2023-10-04,94.98,2023-10-19,91.87,11,-3.27
