Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1971-12-31,0.06,1972-10-19,0.07,209,9.90
1973-09-20,0.06,1973-10-10,0.07,14,3.65
1974-01-09,0.05,1974-03-29,0.05,57,-10.51
1974-06-19,0.04,1974-06-28,0.04,7,-11.68
1974-07-22,0.04,1974-08-30,0.04,29,-14.14
1974-10-16,0.03,1974-11-29,0.03,32,-12.66
1974-12-24,0.03,1975-02-25,0.05,45,56.66
1975-01-31,0.05,1975-02-25,0.05,17,0.00
1975-08-29,0.06,1975-09-30,0.06,22,-2.48
1975-10-31,0.06,1975-12-04,0.07,24,5.99
1976-04-20,0.06,1976-05-12,0.07,16,6.62
1976-06-09,0.06,1976-07-26,0.06,33,-0.30
1976-11-30,0.05,1977-02-28,0.07,64,26.30
1977-08-31,0.07,1977-10-31,0.08,43,11.43
1977-12-30,0.09,1978-01-26,0.09,19,-0.02
1978-03-02,0.07,1978-09-29,0.09,151,22.95
1978-11-13,0.08,1979-05-14,0.10,130,21.50
1979-07-09,0.08,1979-07-16,0.08,5,-2.08
1979-08-31,0.08,1979-10-31,0.07,43,-12.00
1979-11-22,0.07,1979-12-28,0.07,26,-2.29
1980-04-25,7.53,1980-06-26,7.97,44,5.73
1981-01-19,10.20,1981-01-30,9.87,9,-3.27
1981-02-27,10.40,1981-03-26,10.40,19,0.00
1981-06-25,10.80,1981-07-24,10.60,21,-1.85
1981-07-31,10.80,1981-09-30,9.40,43,-12.96
1981-10-30,9.53,1982-02-25,11.47,84,20.26
1982-04-27,10.73,1982-04-30,10.47,3,-2.50
1982-07-30,10.20,1982-11-25,11.87,84,16.33
1983-04-29,15.53,1983-05-31,15.47,22,-0.44
1983-06-30,16.13,1983-07-18,15.60,12,-3.31
1983-09-27,15.33,1983-10-31,15.60,24,1.73
1983-11-25,15.60,1983-12-27,16.67,22,6.83
1984-03-27,18.33,1984-04-26,18.67,22,1.81
