Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1962-05-04,0.21,1962-05-23,0.19,13,-8.45
1962-06-28,0.17,1962-10-22,0.15,80,-11.90
1962-07-31,0.17,1962-08-07,0.16,5,-5.86
1962-08-10,0.17,1962-09-26,0.16,32,-5.95
1962-09-14,0.16,1962-09-26,0.16,8,-1.95
1962-10-09,0.16,1962-10-19,0.15,8,-4.86
1962-11-07,0.16,1962-12-31,0.17,36,8.52
1963-03-18,0.19,1963-03-19,0.19,1,-1.52
1963-04-29,0.19,1963-05-03,0.19,4,-1.80
1963-06-28,0.20,1963-07-22,0.19,15,-4.01
1963-07-30,0.20,1963-08-21,0.21,16,3.72
1963-10-14,0.23,1963-11-04,0.25,15,6.88
1963-11-29,0.25,1964-01-24,0.25,38,0.59
1964-04-16,0.25,1964-04-28,0.24,8,-4.57
1964-05-21,0.23,1964-09-30,0.23,91,1.00
1964-06-08,0.23,1964-09-30,0.23,80,1.50
1964-08-21,0.23,1964-09-30,0.23,27,1.76
1964-12-21,0.25,1965-01-25,0.27,23,7.25
1965-06-23,0.29,1965-09-08,0.35,53,18.34
1965-07-09,0.29,1965-09-08,0.35,42,18.34
1965-11-19,0.35,1966-02-25,0.44,67,24.51
1966-03-28,0.42,1966-05-06,0.43,28,1.65
1966-06-02,0.40,1966-07-11,0.43,26,6.83
1966-10-14,0.34,1966-11-25,0.38,28,10.81
1967-01-16,0.40,1967-02-20,0.44,25,9.83
1967-06-19,0.55,1967-06-30,0.54,9,-1.27
1967-08-04,0.51,1967-10-12,0.61,48,20.41
1967-08-30,0.52,1967-10-12,0.61,30,17.22
1967-11-22,0.60,1967-12-29,0.64,25,6.69
1968-01-26,0.59,1968-02-08,0.56,9,-5.88
1968-02-21,0.57,1968-03-14,0.52,15,-9.39
1968-03-12,0.55,1968-03-14,0.52,2,-5.97
1968-03-27,0.55,1968-05-02,0.60,24,9.09
1968-08-02,0.64,1968-09-27,0.60,32,-7.67
1968-08-22,0.63,1968-09-27,0.60,21,-5.51
1968-10-15,0.61,1968-11-01,0.59,10,-3.12
1968-11-06,0.61,1968-12-24,0.70,28,13.28
1969-03-04,0.75,1969-04-24,0.82,35,9.51
1969-07-15,0.80,1969-09-30,0.97,53,21.40
1969-12-04,1.06,1970-01-23,1.22,34,14.75
1970-02-09,1.18,1970-02-24,1.06,10,-10.57
1970-03-25,1.09,1970-04-06,1.02,7,-5.75
1970-05-15,0.97,1970-05-21,0.89,4,-8.93
1970-06-01,0.94,1970-06-26,0.96,19,2.22
1970-08-21,0.99,1970-10-09,1.10,34,10.21
1970-12-16,1.21,1971-03-23,1.54,66,26.61
1971-08-13,1.95,1971-08-30,1.88,11,-3.61
1971-09-30,1.88,1971-10-15,1.83,11,-2.63
1971-10-22,1.87,1971-12-22,2.00,42,6.82
1972-01-20,2.03,1972-02-25,2.07,25,2.31
1972-09-27,2.59,1972-10-02,2.55,3,-1.51
1973-02-09,2.64,1973-02-21,2.47,7,-6.31
1973-03-06,2.58,1973-03-21,2.56,11,-0.61
1973-04-09,2.57,1973-05-07,2.40,19,-6.79
1973-05-31,2.41,1973-06-21,2.41,15,-0.32
1973-06-07,2.43,1973-06-21,2.41,10,-0.96
1973-07-10,2.42,1973-09-07,2.39,42,-1.51
1973-08-28,2.43,1973-09-07,2.39,7,-1.93
1973-10-12,2.46,1973-11-05,2.49,16,0.95
1973-12-10,2.48,1973-12-13,2.25,3,-9.34
1973-12-26,2.36,1974-01-08,2.08,8,-11.82
1974-01-17,2.28,1974-03-29,2.27,50,-0.46
1974-02-21,2.18,1974-03-29,2.27,26,4.31
1974-03-05,2.19,1974-03-29,2.27,18,3.69
1974-04-30,2.27,1974-06-21,2.42,37,6.65
1974-09-05,1.80,1974-09-13,1.59,6,-11.59
1974-09-19,1.74,1974-11-04,1.79,32,3.14
1974-10-09,1.67,1974-11-04,1.79,18,7.15
1974-12-12,1.73,1975-01-08,1.62,17,-6.31
1975-01-02,1.73,1975-01-07,1.65,3,-4.52
1975-01-27,1.64,1975-03-13,1.93,32,18.15
1975-08-28,1.80,1975-09-10,1.70,8,-5.78
1975-09-19,1.76,1975-09-25,1.66,4,-5.64
1975-10-03,1.70,1975-12-02,1.88,41,10.74
1975-12-17,1.89,1976-01-15,1.88,19,-0.69
1976-01-26,1.90,1976-02-17,1.92,15,1.10
1976-03-10,1.82,1976-04-09,1.84,22,1.00
1976-05-10,1.85,1976-05-26,1.77,12,-4.37
1976-06-17,1.78,1976-07-30,1.79,30,0.73
1976-07-02,1.76,1976-07-30,1.79,19,1.92
1976-12-27,1.58,1977-01-12,1.55,12,-1.65
1977-03-01,1.43,1977-03-24,1.46,17,2.19
1977-04-20,1.42,1977-04-22,1.35,2,-4.76
1977-05-05,1.38,1977-07-01,1.45,40,5.29
1977-05-13,1.35,1977-07-01,1.45,34,7.12
1977-10-27,1.53,1977-12-06,1.52,27,-0.68
1977-11-07,1.49,1977-12-06,1.52,20,1.57
1978-02-02,1.47,1978-02-16,1.42,10,-3.20
1978-03-08,1.43,1978-06-27,1.68,77,17.88
1978-04-17,1.43,1978-06-27,1.68,50,17.45
1978-11-15,1.58,1978-12-18,1.49,22,-6.09
1978-12-26,1.60,1979-02-01,1.56,26,-2.28
1979-03-09,1.45,1979-07-02,1.48,79,2.33
1979-03-27,1.44,1979-07-02,1.48,67,2.89
1979-05-11,1.45,1979-07-02,1.48,35,2.33
1979-06-06,1.46,1979-07-02,1.48,18,1.79
1979-09-25,1.56,1979-10-08,1.51,9,-3.33
1979-11-01,1.43,1980-01-02,1.60,41,11.64
1980-03-27,1.41,1980-06-19,1.67,58,18.08
1980-09-17,1.68,1980-09-29,1.67,8,-0.77
1980-10-30,1.70,1980-12-09,1.85,26,9.37
1981-07-27,2.08,1981-08-28,1.88,24,-9.77
1981-09-11,1.96,1981-11-09,2.22,41,13.15
1982-01-18,2.26,1982-02-09,2.27,16,0.69
1982-03-22,2.30,1982-04-21,2.32,21,1.02
1982-06-01,2.49,1982-06-18,2.36,13,-5.33
1982-06-23,2.46,1982-07-26,2.54,22,3.17
1982-08-17,2.56,1982-09-30,2.70,31,5.18
1982-10-21,2.77,1982-11-22,2.77,22,0.28
1983-01-27,3.06,1983-02-11,2.84,11,-7.14
1983-02-24,2.91,1983-03-07,2.89,7,-0.80
1983-03-23,2.94,1983-05-12,3.06,35,4.26
1983-04-18,2.98,1983-05-12,3.06,18,2.62
1983-06-16,2.98,1983-07-12,3.01,17,1.05
1983-09-06,2.63,1983-10-18,2.85,30,8.31
1983-12-20,2.57,1984-01-27,2.39,26,-6.99
1983-12-29,2.55,1984-01-16,2.48,11,-2.45
1984-01-17,2.55,1984-01-25,2.47,6,-3.36
1984-03-28,2.19,1984-04-23,2.23,17,2.14
1984-06-18,2.03,1984-06-25,1.84,5,-9.23
1984-07-31,1.83,1984-09-11,2.08,29,13.68
1984-10-18,2.08,1984-12-07,2.14,35,3.01
1985-08-20,2.91,1985-09-10,2.88,14,-1.34
1985-10-11,2.78,1985-11-22,2.98,30,7.02
1986-03-07,3.10,1986-04-04,3.34,19,7.81
1986-07-23,4.40,1986-09-02,4.44,28,0.89
1986-10-01,4.03,1986-11-13,4.27,31,5.81
1986-11-21,4.34,1987-03-27,5.61,86,29.37
1987-01-05,4.37,1987-03-27,5.61,58,28.44
1987-05-05,5.61,1987-05-18,5.17,9,-7.80
1987-05-29,5.38,1987-07-01,5.69,23,5.81
1987-09-28,5.97,1987-10-14,5.41,12,-9.42
1987-11-05,4.97,1988-03-24,5.17,96,4.09
1987-11-12,4.79,1988-03-24,5.17,91,7.99
1987-12-08,4.82,1988-03-24,5.17,74,7.29
1988-01-22,4.99,1988-03-24,5.17,43,3.60
1988-04-08,5.16,1988-04-20,4.81,8,-6.81
1988-05-25,4.62,1988-06-24,4.93,21,6.77
1988-07-29,5.00,1988-08-22,4.97,16,-0.62
1988-11-29,5.36,1989-02-10,5.53,51,3.21
1989-03-13,5.53,1989-03-22,5.49,7,-0.71
1989-08-30,6.42,1989-09-11,6.41,7,-0.24
1989-10-16,6.78,1989-12-18,7.02,44,3.46
1990-02-08,6.97,1990-03-22,6.86,29,-1.57
1990-03-02,6.88,1990-03-22,6.86,14,-0.23
1990-08-29,8.25,1990-10-29,8.19,42,-0.76
1990-10-01,8.23,1990-10-29,8.19,20,-0.57
1991-01-17,8.94,1991-04-22,12.06,65,34.97
1991-05-21,11.70,1991-06-03,11.05,8,-5.61
1991-07-08,10.64,1991-08-16,11.16,29,4.85
1991-08-22,11.39,1991-09-04,11.39,8,0.00
1991-09-24,11.33,1991-10-02,10.94,6,-3.45
1991-10-16,11.08,1991-11-15,11.78,22,6.35
1992-02-06,13.50,1992-02-14,12.62,6,-6.48
1992-03-26,12.25,1992-04-20,12.09,16,-1.28
1992-05-04,12.17,1992-06-10,11.00,26,-9.63
1992-05-28,12.16,1992-06-03,11.27,4,-7.33
1992-06-29,11.38,1992-08-21,12.09,38,6.32
1992-10-15,12.25,1992-11-05,12.06,15,-1.53
1993-02-04,11.41,1993-02-16,10.66,7,-6.58
1993-03-02,10.88,1993-05-13,10.59,51,-2.59
1993-03-09,10.78,1993-03-19,9.81,8,-8.99
1993-03-30,10.50,1993-04-08,9.62,7,-8.33
1993-08-17,9.62,1993-09-08,9.59,15,-0.32
1994-02-08,10.66,1994-03-03,9.94,16,-6.74
1994-04-11,9.69,1994-06-06,10.69,38,10.32
1995-07-18,17.16,1995-08-11,17.16,18,0.00
1995-08-30,17.25,1995-11-10,19.94,51,15.58
1996-01-09,22.09,1996-02-16,23.53,28,6.51
1996-04-29,22.97,1996-06-17,24.38,34,6.12
1996-07-18,24.56,1996-08-26,25.25,27,2.80
1996-09-19,25.00,1996-10-21,25.38,22,1.50
1996-11-06,26.25,1996-12-03,25.88,18,-1.43
1996-12-30,25.56,1997-02-26,29.38,40,14.91
1997-04-16,27.94,1997-05-16,30.12,22,7.83
1997-08-06,31.12,1997-08-08,29.66,2,-4.72
1997-09-04,29.34,1997-10-16,29.44,30,0.32
1997-09-16,29.38,1997-10-16,29.44,22,0.21
1997-11-03,29.50,1997-12-12,32.00,28,8.47
1998-05-08,35.56,1998-06-03,33.88,17,-4.75
1998-06-05,35.75,1998-07-01,36.62,18,2.45
1998-09-03,37.44,1998-11-25,41.41,58,10.60
1998-12-28,40.28,1999-01-11,40.09,9,-0.47
1999-01-20,40.50,1999-02-25,42.22,25,4.24
1999-06-03,46.84,1999-07-27,48.38,37,3.27
1999-08-12,47.38,1999-09-10,49.75,20,5.01
1999-10-08,49.38,1999-10-15,46.66,5,-5.51
1999-12-27,48.88,2000-01-04,44.41,6,-9.14
2000-01-07,48.25,2000-01-24,41.84,10,-13.28
2000-03-15,38.47,2000-03-24,36.12,7,-6.09
2000-04-04,38.38,2000-06-02,42.00,41,9.45
2000-09-12,48.31,2000-09-18,46.06,4,-4.66
2000-09-21,47.12,2000-11-02,44.94,30,-4.64
2000-10-10,47.31,2000-11-02,44.94,17,-5.02
2000-11-08,46.72,2000-12-06,48.06,19,2.88
2001-02-02,47.55,2001-03-07,47.40,22,-0.32
2001-04-06,45.19,2001-05-23,48.87,32,8.12
2001-09-27,54.48,2001-11-29,58.48,44,7.34
2001-12-20,58.31,2002-01-07,57.87,10,-0.75
2002-01-10,58.28,2002-01-23,58.78,8,0.86
2002-02-13,58.09,2002-04-03,64.02,33,10.21
2002-05-31,61.35,2002-06-06,58.75,4,-4.24
2002-07-29,51.26,2002-08-29,54.16,23,5.66
2003-01-02,55.33,2003-01-27,52.18,16,-5.69
2003-02-18,53.06,2003-04-10,57.21,37,7.82
2003-04-24,57.50,2003-05-21,53.45,19,-7.04
2003-06-16,53.70,2003-06-27,51.54,9,-4.02
2003-07-14,53.60,2003-07-29,50.63,11,-5.54
2003-08-07,51.80,2003-08-21,49.40,10,-4.63
2003-09-04,51.12,2003-09-17,50.22,9,-1.76
2003-10-14,50.93,2003-11-07,48.81,18,-4.16
2003-11-13,50.34,2003-11-26,49.70,9,-1.27
2004-04-02,51.18,2004-05-19,54.28,32,6.06
2004-07-13,55.38,2004-07-26,55.43,9,0.09
2004-08-11,56.00,2004-09-22,57.30,29,2.32
2004-10-06,57.75,2004-10-07,55.92,1,-3.17
2004-10-18,57.32,2004-12-07,60.41,35,5.39
2005-07-27,64.54,2005-08-24,62.25,20,-3.55
2005-08-18,64.25,2005-08-23,62.76,3,-2.32
2005-08-31,63.39,2005-10-06,61.57,25,-2.87
2005-10-13,64.02,2005-11-14,60.51,22,-5.48
2005-10-28,62.95,2005-11-04,60.88,5,-3.29
2005-11-15,62.83,2006-01-17,61.28,41,-2.47
2005-12-19,61.19,2006-01-17,61.28,18,0.15
2006-02-14,59.05,2006-03-30,59.35,31,0.51
2006-03-08,58.74,2006-03-30,59.35,16,1.04
2006-04-26,58.54,2006-06-26,60.21,42,2.85
2006-07-10,60.95,2006-09-06,63.92,41,4.87
2006-12-14,66.25,2007-01-10,66.15,16,-0.15
2007-04-04,61.29,2007-05-08,63.70,23,3.93
2007-05-23,63.81,2007-06-22,60.73,21,-4.83
2007-07-05,62.28,2007-07-20,61.79,11,-0.79
