Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-09-17,0.70,1981-05-08,0.81,161,16.85
1980-11-18,0.65,1981-05-08,0.81,118,25.30
1980-12-26,0.62,1981-05-08,0.81,92,31.65
1981-06-12,0.79,1982-11-17,0.89,363,12.87
1981-10-09,0.61,1982-09-24,0.64,242,5.77
1981-11-30,0.38,1982-09-24,0.64,207,68.37
1981-12-15,0.37,1982-09-24,0.64,196,73.68
1982-01-19,0.40,1982-09-24,0.64,173,61.76
1982-06-21,0.46,1982-09-24,0.64,67,39.83
1983-02-08,0.99,1983-04-11,1.17,42,18.58
1983-05-23,0.84,1985-02-07,0.86,434,3.27
1983-07-25,0.93,1986-03-25,1.18,674,27.43
1983-08-19,0.84,1985-02-07,0.86,372,3.27
1983-08-31,0.81,1985-02-07,0.86,364,6.76
1983-10-07,0.80,1985-02-07,0.86,338,8.33
1983-11-09,0.69,1985-02-07,0.86,315,25.57
1983-12-30,0.70,1985-02-07,0.86,280,23.46
1984-02-27,0.61,1985-02-07,0.86,241,42.58
1984-04-27,0.60,1985-02-07,0.86,198,43.51
1984-06-06,0.61,1985-02-07,0.86,171,42.58
1984-08-02,0.62,1985-02-07,0.86,131,39.87
1985-04-17,0.83,1985-06-04,0.88,33,6.10
1985-07-03,0.85,1986-03-25,1.18,182,38.53
1985-08-22,0.77,1986-03-25,1.18,147,53.30
1985-10-15,0.69,1986-03-25,1.18,111,71.59
1985-12-11,0.79,1986-03-25,1.18,71,49.50
1986-05-14,1.21,1990-06-27,1.48,1042,22.26
1986-08-21,0.90,1989-09-12,0.95,773,4.76
1986-09-24,0.82,1989-09-12,0.95,750,15.79
1986-10-13,0.77,1989-09-12,0.95,737,23.47
1986-10-24,0.77,1989-09-12,0.95,728,23.47
1987-05-27,0.86,1989-09-12,0.95,581,9.50
1987-07-16,0.86,1989-09-12,0.95,546,10.50
1987-10-05,0.80,1989-09-12,0.95,490,18.63
1987-11-04,0.65,1988-11-08,0.72,256,11.45
1987-12-15,0.54,1988-11-08,0.72,228,33.09
