Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2008-03-04,13.35,2012-03-22,24.28,1022,81.87
2008-04-22,13.12,2012-03-22,24.28,988,85.06
2008-05-14,12.97,2012-03-22,24.28,972,87.20
2008-07-16,12.15,2012-03-22,24.28,929,99.84
2008-10-31,11.00,2009-05-04,11.53,125,4.82
2008-12-11,9.91,2009-05-04,11.53,97,16.35
2009-02-26,9.94,2009-05-04,11.53,46,16.00
2009-11-06,13.75,2012-03-22,24.28,597,76.58
2010-02-16,14.47,2012-03-22,24.28,530,67.80
2010-05-12,16.13,2012-03-22,24.28,470,50.53
2010-06-03,14.90,2012-03-22,24.28,455,62.95
2010-09-09,15.27,2012-03-22,24.28,387,59.00
2011-04-06,18.80,2012-03-22,24.28,242,29.15
2011-04-26,18.58,2012-03-22,24.28,229,30.68
2011-05-09,18.76,2012-03-22,24.28,220,29.42
2011-06-24,18.45,2012-03-22,24.28,187,31.60
2011-08-15,18.86,2012-03-22,24.28,152,28.74
2011-09-27,18.22,2012-03-22,24.28,122,33.26
2011-10-04,18.13,2012-03-22,24.28,117,33.92
2011-11-04,17.98,2012-03-22,24.28,94,35.04
2012-04-16,24.69,2017-05-10,37.80,1275,53.10
2012-06-08,23.50,2017-05-10,37.80,1237,60.85
2012-11-19,29.94,2017-05-10,37.80,1125,26.25
2012-12-20,30.12,2017-05-10,37.80,1103,25.50
2013-05-07,29.79,2017-05-10,37.80,1010,26.89
2013-06-28,27.69,2017-05-10,37.80,973,36.51
2013-09-04,29.69,2017-05-10,37.80,927,27.32
2014-04-24,32.30,2017-05-10,37.80,767,17.03
2014-05-23,31.37,2017-05-10,37.80,746,20.50
2014-08-11,31.91,2017-05-10,37.80,692,18.46
2014-10-21,30.66,2017-05-10,37.80,642,23.29
2015-01-21,29.50,2017-05-10,37.80,580,28.14
2015-05-19,31.07,2017-05-10,37.80,498,21.66
2015-09-10,28.44,2017-05-10,37.80,419,32.91
2015-10-05,28.01,2017-05-10,37.80,402,34.95
2016-01-06,29.77,2017-05-10,37.80,338,26.97
2016-01-26,28.59,2017-05-10,37.80,325,32.21
2016-02-16,28.18,2017-05-10,37.80,311,34.14
2016-10-25,34.29,2017-05-10,37.80,135,10.24
2016-11-07,33.87,2017-05-10,37.80,126,11.60
2017-02-03,36.49,2017-05-10,37.80,66,3.59
2017-06-01,38.71,2018-08-27,40.33,312,4.18
2017-12-08,40.46,2021-05-04,42.06,854,3.95
2017-12-27,40.30,2018-08-27,40.33,167,0.07
2018-03-05,36.34,2018-08-27,40.33,122,10.98
2018-07-06,38.49,2018-08-27,40.33,36,4.78
2018-10-31,37.33,2021-05-04,42.06,629,12.67
2019-01-07,35.66,2021-05-04,42.06,585,17.95
2019-03-14,38.25,2021-05-04,42.06,539,9.96
2019-10-21,42.49,2024-02-08,44.57,1082,4.90
2019-11-13,42.97,2024-02-08,44.57,1065,3.72
2019-11-27,42.98,2024-02-08,44.57,1055,3.70
2020-02-07,44.02,2024-02-08,44.57,1007,1.25
2020-04-07,21.34,2021-05-04,42.06,270,97.09
2020-07-15,31.27,2021-05-04,42.06,202,34.51
2020-09-15,30.68,2021-05-04,42.06,159,37.09
2020-09-28,30.36,2021-05-04,42.06,150,38.54
2020-11-09,29.87,2021-05-04,42.06,120,40.81
2021-05-26,41.40,2024-02-08,44.57,680,7.66
2021-07-21,41.56,2024-02-08,44.57,642,7.24
2021-08-20,42.01,2024-02-08,44.57,620,6.09
2021-09-22,41.48,2024-02-08,44.57,598,7.45
2021-12-23,44.00,2024-02-08,44.57,533,1.30
2022-01-31,44.24,2024-02-08,44.57,508,0.75
2022-02-25,43.07,2024-02-08,44.57,490,3.48
2022-03-18,41.97,2024-02-08,44.57,475,6.19
2022-05-27,38.43,2024-02-08,44.57,426,15.98
2022-06-22,37.25,2024-02-08,44.57,410,19.65
2022-10-18,34.75,2024-02-08,44.57,328,28.26
2022-12-29,37.09,2024-02-08,44.57,278,20.17
2023-03-31,39.46,2024-02-08,44.57,215,12.95
2023-06-29,39.76,2024-02-08,44.57,154,12.10
2023-09-01,40.67,2024-02-08,44.57,109,9.59
2023-10-16,40.41,2024-02-08,44.57,79,10.29
2023-11-02,40.19,2024-02-08,44.57,66,10.90
