Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1967-09-11,0.49,1967-12-29,0.71,76,44.96
1968-03-13,0.63,1968-05-20,0.86,46,35.39
1968-07-11,0.48,1971-06-21,0.65,721,35.22
1968-08-13,0.44,1971-06-21,0.65,702,47.55
1969-03-19,0.44,1971-06-21,0.65,569,47.55
1969-08-01,0.24,1971-06-21,0.65,477,173.38
1970-02-03,0.33,1971-06-21,0.65,349,94.91
1970-04-30,0.30,1971-06-21,0.65,289,116.27
1970-05-29,0.27,1971-06-21,0.65,268,142.88
1970-08-24,0.29,1971-06-21,0.65,208,123.94
1970-11-23,0.33,1971-06-21,0.65,144,96.73
1972-07-24,1.46,1981-02-02,1.31,2152,-10.17
1972-09-27,1.41,1981-02-02,1.31,2106,-7.42
1973-02-09,1.81,1981-02-02,1.31,2015,-27.89
1973-03-06,1.73,1981-02-02,1.31,1999,-24.29
1973-03-27,1.66,1981-02-02,1.31,1984,-21.04
1973-05-03,1.62,1981-02-02,1.31,1958,-19.39
1973-07-09,1.45,1981-02-02,1.31,1913,-9.79
1973-12-10,1.34,1981-02-02,1.31,1805,-2.08
1974-02-21,1.28,1981-02-02,1.31,1755,2.17
1974-07-24,1.09,1981-02-02,1.31,1649,20.45
1974-08-06,1.05,1981-02-02,1.31,1640,24.71
1974-10-11,0.70,1981-02-02,1.31,1593,85.96
1975-01-15,0.75,1981-02-02,1.31,1528,73.77
1975-08-28,1.15,1981-02-02,1.31,1371,14.29
1976-06-11,1.37,1981-02-02,1.31,1172,-4.29
1976-08-31,1.35,1981-02-02,1.31,1116,-2.75
1976-10-29,1.31,1981-02-02,1.31,1074,-0.24
1976-12-27,1.34,1981-02-02,1.31,1036,-2.30
1977-02-16,1.15,1981-02-02,1.31,999,13.67
1977-03-03,1.14,1981-02-02,1.31,989,15.22
1977-03-16,1.12,1981-02-02,1.31,980,16.48
1977-04-12,1.06,1981-02-02,1.31,962,23.98
1977-05-09,1.01,1981-02-02,1.31,943,29.27
1977-10-26,1.19,1981-02-02,1.31,825,9.56
1978-02-24,1.13,1981-02-02,1.31,742,15.53
1978-10-11,1.29,1981-02-02,1.31,583,1.68
1978-12-01,1.19,1981-02-02,1.31,547,9.84
1979-01-29,1.13,1981-02-02,1.31,508,15.53
1979-03-14,1.03,1981-02-02,1.31,477,26.57
1979-11-14,1.06,1981-02-02,1.31,306,23.26
1979-11-28,1.04,1981-02-02,1.31,297,25.44
1980-03-28,0.98,1981-02-02,1.31,213,32.92
1980-07-30,1.18,1981-02-02,1.31,128,10.70
1980-11-19,1.12,1981-02-02,1.31,50,17.13
1981-05-20,1.58,1982-07-28,1.82,300,15.26
1981-07-17,1.60,1982-07-28,1.82,260,13.71
1981-09-11,1.48,1982-07-28,1.82,221,22.71
1982-01-28,1.54,1982-07-28,1.82,125,18.27
1982-08-17,1.81,1984-08-28,2.87,515,58.72
1982-12-21,2.19,1984-08-28,2.87,427,31.14
1983-06-13,2.38,1984-08-28,2.87,307,20.43
1983-08-26,2.16,1984-08-28,2.87,254,32.55
1984-03-02,2.44,1984-08-28,2.87,124,17.23
1984-06-04,2.41,1984-08-28,2.87,60,19.04
1985-08-28,3.61,1986-01-06,4.33,88,19.81
1985-09-30,3.60,1986-01-06,4.33,67,20.04
1986-08-12,5.49,1988-10-21,6.05,556,10.15
1986-10-06,4.97,1988-10-21,6.05,518,21.70
1987-11-11,5.44,1988-10-21,6.05,239,11.21
1988-04-06,5.58,1988-10-21,6.05,139,8.40
1988-04-26,5.41,1988-10-21,6.05,125,11.85
1988-09-02,5.45,1988-10-21,6.05,34,10.89
1989-03-29,6.34,1989-06-12,7.28,52,14.78
1990-01-31,8.16,1992-02-14,10.72,516,31.42
1990-05-04,7.97,1992-02-14,10.72,451,34.51
1990-10-01,6.75,1992-02-14,10.72,348,58.80
1991-01-17,7.19,1992-02-14,10.72,273,49.13
1991-06-27,8.34,1992-02-14,10.72,161,28.46
1991-08-08,8.25,1992-02-14,10.72,132,29.92
1991-08-22,8.06,1992-02-14,10.72,122,32.95
1992-08-18,10.81,1995-03-01,16.56,640,53.18
