Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2005-05-25,7.04,2005-11-21,13.35,125,89.63
2005-08-31,8.05,2005-11-21,13.35,57,65.84
2006-03-28,15.75,2007-06-12,16.72,303,6.16
2006-08-16,9.16,2007-06-12,16.72,205,82.53
2006-11-20,10.92,2007-06-12,16.72,138,53.11
2007-08-01,17.98,2007-10-04,23.37,45,29.98
2007-12-05,19.45,2017-11-15,118.92,2505,511.41
2008-02-11,16.54,2017-11-15,118.92,2460,618.98
2008-02-26,16.34,2017-11-15,118.92,2450,627.78
2008-07-08,24.61,2017-11-15,118.92,2358,383.22
2008-10-28,15.74,2017-11-15,118.92,2279,655.53
2008-12-11,9.56,2017-11-15,118.92,2248,1143.93
2009-08-14,22.91,2017-11-15,118.92,2079,419.07
2009-11-11,20.60,2017-11-15,118.92,2017,477.28
2010-02-11,21.25,2017-11-15,118.92,1955,459.62
2010-06-15,19.81,2017-11-15,118.92,1870,500.30
2010-07-12,18.77,2017-11-15,118.92,1852,533.56
2010-08-25,17.55,2017-11-15,118.92,1820,577.61
2010-09-02,17.36,2017-11-15,118.92,1814,585.02
2010-09-28,16.80,2017-11-15,118.92,1797,607.86
2010-10-26,16.08,2017-11-15,118.92,1777,639.55
2011-02-04,15.64,2017-11-15,118.92,1707,660.36
2011-02-25,15.41,2017-11-15,118.92,1693,671.71
2011-03-28,14.06,2017-11-15,118.92,1672,745.80
2011-06-30,15.42,2017-11-15,118.92,1606,671.21
2011-08-03,13.89,2017-11-15,118.92,1583,756.16
2011-08-29,12.80,2017-11-15,118.92,1565,829.06
2011-09-14,12.41,2017-11-15,118.92,1554,858.26
2011-10-12,11.18,2017-11-15,118.92,1534,963.69
2011-11-30,12.04,2017-11-15,118.92,1500,887.71
2012-06-08,20.00,2017-11-15,118.92,1369,494.60
2012-07-31,19.38,2017-11-15,118.92,1333,513.62
2012-10-17,19.15,2017-11-15,118.92,1278,520.99
2012-10-23,18.81,2017-11-15,118.92,1274,532.22
2013-03-26,24.27,2017-11-15,118.92,1171,389.99
2013-04-24,22.61,2017-11-15,118.92,1151,425.96
2013-10-25,32.29,2017-11-15,118.92,1022,268.29
2014-02-07,33.99,2017-11-15,118.92,951,249.87
2014-04-24,38.09,2017-11-15,118.92,899,212.21
2014-10-24,40.47,2017-11-15,118.92,771,193.85
2015-01-23,48.00,2017-11-15,118.92,710,147.75
2015-05-01,52.92,2017-11-15,118.92,642,124.72
2015-07-28,49.78,2017-11-15,118.92,582,138.89
2015-09-08,50.18,2017-11-15,118.92,553,136.99
2016-01-22,61.59,2017-11-15,118.92,459,93.08
2016-02-26,58.74,2017-11-15,118.92,435,102.45
2016-07-08,68.83,2017-11-15,118.92,343,72.77
2016-12-08,80.81,2017-11-15,118.92,236,47.16
2017-08-30,100.00,2017-11-15,118.92,54,18.92
2017-12-28,113.31,2021-09-20,488.62,937,331.22
2018-02-15,116.17,2021-09-20,488.62,904,320.61
2018-04-12,121.02,2021-09-20,488.62,866,303.75
2018-08-07,141.45,2021-09-20,488.62,785,245.44
2018-10-30,115.30,2021-09-20,488.62,726,323.78
2019-01-07,116.05,2021-09-20,488.62,681,321.04
2019-06-05,125.73,2021-09-20,488.62,578,288.63
2019-10-23,150.69,2021-09-20,488.62,480,224.26
2020-03-13,170.56,2021-09-20,488.62,383,186.48
2020-03-24,162.49,2021-09-20,488.62,376,200.71
2020-09-22,259.48,2021-09-20,488.62,250,88.31
2021-03-22,348.24,2021-09-20,488.62,126,40.31
2021-05-26,339.03,2021-09-20,488.62,80,44.12
2021-10-18,490.32,2024-01-02,604.00,554,23.18
2022-02-08,405.60,2024-01-02,604.00,476,48.92
2022-03-16,440.68,2024-01-02,604.00,451,37.06
2022-05-03,457.48,2024-01-02,604.00,418,32.03
2022-07-14,395.98,2024-01-02,604.00,369,52.53
2022-10-28,346.80,2024-01-02,604.00,294,74.16
2023-01-06,367.45,2024-01-02,604.00,247,64.38
2023-05-01,471.74,2024-01-02,604.00,169,28.04
2023-05-22,448.40,2024-01-02,604.00,154,34.70
2023-08-29,512.82,2024-01-02,604.00,86,17.78
2023-10-06,473.68,2024-01-02,604.00,59,27.51
2023-11-01,456.56,2024-01-02,604.00,41,32.29
