Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1986-09-04,0.10,1986-09-12,0.10,6,-3.42
1987-07-14,0.36,1987-07-20,0.35,4,-5.24
1987-11-12,0.35,1988-01-20,0.38,46,8.00
1987-12-08,0.33,1988-01-20,0.38,29,13.68
1988-08-29,0.36,1988-09-29,0.37,22,1.68
1988-12-01,0.34,1988-12-12,0.33,7,-3.32
1989-04-06,0.36,1989-05-04,0.36,20,2.44
1989-07-10,0.38,1989-08-16,0.39,27,1.82
1989-12-22,0.60,1990-01-15,0.60,14,0.44
1990-08-28,0.87,1990-10-10,0.83,30,-5.37
1991-07-15,1.46,1991-09-05,1.68,37,15.21
1992-07-14,2.22,1992-08-06,2.23,17,0.53
1993-02-25,2.64,1993-03-22,2.61,17,-1.19
1993-05-04,2.75,1993-05-13,2.68,7,-2.56
1993-08-16,2.43,1993-09-14,2.35,20,-3.22
1994-02-25,2.53,1994-03-29,2.58,22,1.85
1996-07-18,7.49,1996-07-23,7.01,3,-6.47
1998-01-13,16.52,1998-03-05,20.02,35,21.19
1998-09-14,26.50,1998-10-01,26.02,13,-1.83
1998-10-15,26.36,1999-01-14,35.44,62,34.44
2000-03-09,50.00,2000-04-03,45.44,17,-9.12
2000-06-02,33.16,2000-07-17,39.09,30,17.91
2000-10-19,30.94,2000-11-20,33.59,22,8.59
2001-01-05,24.56,2001-02-09,29.56,24,20.36
2001-10-03,28.11,2001-10-31,29.08,20,3.41
2002-03-01,30.68,2002-03-20,30.05,13,-2.07
2002-05-08,27.49,2002-05-21,26.09,9,-5.06
2002-08-08,24.45,2002-08-30,24.54,16,0.35
2003-02-18,24.96,2003-03-31,24.21,29,-3.00
2003-12-01,25.84,2004-01-13,27.43,29,6.15
2004-04-02,25.85,2004-04-16,25.16,9,-2.67
2004-12-13,27.25,2005-04-15,24.46,85,-10.24
2005-02-01,26.39,2005-04-15,24.46,51,-7.31
2005-04-06,24.67,2005-04-15,24.46,7,-0.85
2005-10-19,25.09,2005-12-08,27.69,35,10.36
2006-01-04,26.97,2006-01-20,26.41,11,-2.08
2006-05-25,23.74,2006-07-12,22.64,32,-4.63
2006-06-19,22.55,2006-07-12,22.64,16,0.40
2007-03-21,28.52,2007-05-23,30.58,44,7.22
2007-08-24,28.81,2007-11-12,33.38,55,15.86
2008-03-05,28.12,2008-04-08,28.75,23,2.24
2008-07-16,27.26,2008-08-29,27.29,32,0.11
2008-10-13,25.50,2009-01-07,19.51,59,-23.49
2008-12-08,21.01,2009-01-07,19.51,20,-7.14
2009-03-11,17.11,2009-04-20,18.61,27,8.77
2010-02-18,28.97,2010-03-31,29.29,29,1.10
2010-06-15,26.58,2010-08-05,25.37,36,-4.55
2010-07-12,24.83,2010-08-05,25.37,18,2.17
2010-09-13,25.11,2010-09-29,24.50,12,-2.43
2011-03-24,25.81,2011-04-14,25.42,15,-1.51
2011-06-17,24.26,2011-08-02,26.80,31,10.47
2011-08-29,25.84,2011-09-21,25.99,16,0.58
2011-12-05,25.70,2012-03-20,31.99,72,24.47
2012-04-20,32.42,2012-05-04,30.98,10,-4.44
2012-06-08,29.65,2012-07-09,30.00,20,1.18
2012-11-01,29.52,2012-11-08,28.81,5,-2.41
2012-12-10,26.94,2013-02-06,27.34,39,1.48
2013-08-08,32.89,2013-09-03,31.88,17,-3.07
2014-10-24,46.13,2014-11-21,47.98,20,4.01
2014-12-19,47.66,2014-12-29,47.45,5,-0.44
2015-02-13,43.87,2015-05-20,47.58,66,8.46
2015-03-20,42.88,2015-05-20,47.58,42,10.96
2015-04-10,41.72,2015-05-20,47.58,28,14.05
2015-09-15,43.98,2015-11-17,52.97,45,20.44
2016-05-16,51.83,2016-06-09,51.62,17,-0.41
2018-03-26,93.78,2018-04-25,92.31,21,-1.57
2018-11-05,107.51,2018-11-12,106.87,5,-0.60
2019-01-08,102.80,2019-01-29,102.94,14,0.14
2020-03-26,156.11,2020-05-27,181.81,42,16.46
2021-10-07,294.85,2021-11-26,329.68,35,11.81
2022-01-31,310.98,2022-04-06,299.50,46,-3.69
2022-06-24,267.70,2022-07-12,253.67,11,-5.24
2022-10-04,248.88,2022-10-26,231.32,16,-7.06
2022-10-17,237.53,2022-10-26,231.32,7,-2.61
2023-01-12,238.51,2023-02-21,252.67,26,5.94
