Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1981-07-24,0.17,1981-12-18,0.22,103,27.27
1981-08-13,0.16,1981-12-18,0.22,89,33.33
1981-09-02,0.15,1981-12-18,0.22,75,45.45
1981-09-10,0.15,1981-12-18,0.22,70,45.45
1982-03-22,0.22,1982-08-09,0.26,97,21.62
1982-05-05,0.23,1982-08-09,0.26,66,13.92
1982-08-18,0.27,1982-10-04,0.35,32,26.43
1983-02-11,0.34,1983-05-13,0.30,63,-11.05
1983-03-25,0.25,1983-05-13,0.30,34,18.60
1983-07-20,0.27,1988-11-01,0.49,1337,78.57
1983-09-19,0.27,1988-11-01,0.49,1295,79.86
1983-12-21,0.23,1988-11-01,0.49,1229,110.08
1984-01-03,0.23,1988-11-01,0.49,1222,110.08
1984-03-19,0.19,1988-11-01,0.49,1169,160.42
1984-05-02,0.16,1988-11-01,0.49,1138,197.62
1984-08-07,0.14,1988-11-01,0.49,1071,242.47
1984-10-17,0.13,1988-11-01,0.49,1021,273.14
1984-11-23,0.12,1988-11-01,0.49,995,323.73
1985-03-15,0.14,1988-11-01,0.49,918,242.47
1985-11-22,0.21,1988-11-01,0.49,743,127.27
1986-05-15,0.25,1988-11-01,0.49,624,92.31
1986-08-14,0.23,1988-11-01,0.49,561,110.08
1986-09-08,0.23,1988-11-01,0.49,545,111.86
1986-10-03,0.20,1988-11-01,0.49,526,140.38
1987-01-13,0.19,1988-11-01,0.49,457,155.10
1987-11-06,0.28,1988-11-01,0.49,249,77.30
1987-12-08,0.25,1988-11-01,0.49,228,93.80
1988-06-06,0.38,1988-11-01,0.49,104,29.53
1988-08-19,0.40,1988-11-01,0.49,51,22.55
1989-01-04,0.43,1989-06-29,0.64,123,50.00
1989-12-29,0.83,1991-11-20,1.78,479,113.62
1990-02-14,0.82,1991-11-20,1.78,447,116.15
1990-09-05,1.11,1991-11-20,1.78,307,60.78
1990-11-02,0.90,1991-11-20,1.78,265,96.97
1991-04-17,1.44,1991-11-20,1.78,152,23.64
1991-06-05,1.30,1991-11-20,1.78,118,36.64
1991-07-08,1.21,1991-11-20,1.78,96,46.30
1992-04-13,2.14,1992-12-01,2.65,161,24.13
1992-05-11,2.04,1992-12-01,2.65,142,30.33
1992-06-26,1.86,1992-12-01,2.65,109,42.35
1993-01-14,2.70,1995-10-17,3.43,697,27.10
1993-03-10,2.32,1995-10-17,3.43,659,47.39
1993-05-10,2.28,1995-10-17,3.43,617,50.43
1993-07-14,1.78,1995-10-17,3.43,572,92.32
1993-08-19,1.70,1995-10-17,3.43,546,101.15
1993-10-14,1.45,1995-10-17,3.43,507,136.39
1993-12-30,1.43,1995-10-17,3.43,454,138.96
1994-10-10,1.91,1995-10-17,3.43,258,79.71
1996-03-01,4.20,1996-06-18,6.38,75,51.86
1996-11-27,6.98,2001-01-19,6.55,1044,-6.15
1997-04-30,7.03,2001-01-19,6.55,939,-6.78
1997-09-18,6.86,2001-01-19,6.55,841,-4.44
1997-11-14,6.09,2001-01-19,6.55,800,7.70
1998-01-05,5.35,2001-01-19,6.55,767,22.48
1998-06-22,5.70,2001-01-19,6.55,651,14.93
1998-09-16,4.52,2001-01-19,6.55,591,44.91
1998-12-15,5.17,2001-01-19,6.55,528,26.74
1999-08-17,6.73,2001-01-19,6.55,360,-2.56
1999-09-08,6.79,2001-01-19,6.55,345,-3.45
1999-12-06,5.88,2001-01-19,6.55,283,11.42
1999-12-17,6.55,2001-01-19,6.55,274,0.00
2000-03-13,3.59,2001-01-19,6.55,216,82.39
2000-06-27,4.99,2001-01-19,6.55,142,31.30
2000-09-19,5.25,2001-01-19,6.55,84,24.85
2001-03-21,5.02,2005-06-27,10.72,1071,113.73
2001-04-19,4.95,2005-06-27,10.72,1051,116.59
2001-10-02,6.01,2005-06-27,10.72,940,78.46
2002-05-08,7.01,2005-06-27,10.72,790,53.02
2002-06-17,6.55,2005-06-27,10.72,763,63.81
2002-08-22,5.77,2005-06-27,10.72,716,85.85
2002-09-19,5.50,2005-06-27,10.72,697,94.89
2002-10-14,5.32,2005-06-27,10.72,680,101.43
2003-08-08,6.60,2005-06-27,10.72,474,62.41
2004-05-25,8.83,2005-06-27,10.72,274,21.40
2004-08-02,9.20,2005-06-27,10.72,228,16.47
2005-02-24,10.81,2005-06-27,10.72,85,-0.84
2005-05-09,9.84,2005-06-27,10.72,34,8.94
2005-08-03,10.86,2006-10-20,11.07,307,1.93
2005-09-12,10.00,2006-10-20,11.07,280,10.75
2006-02-08,10.55,2006-10-20,11.07,177,4.99
2006-05-08,10.28,2006-10-20,11.07,116,7.72
2006-05-26,10.13,2006-10-20,11.07,102,9.37
2006-08-28,9.73,2006-10-20,11.07,38,13.81
2007-01-31,12.35,2009-10-26,15.94,690,29.04
2008-01-30,14.85,2009-10-26,15.94,439,7.32
2008-03-13,15.26,2009-10-26,15.94,409,4.46
2008-07-23,14.80,2009-10-26,15.94,318,7.69
2008-10-30,13.95,2009-10-26,15.94,248,14.23
2008-11-24,12.58,2009-10-26,15.94,231,26.69
2009-03-11,10.86,2009-10-26,15.94,159,46.79
2010-02-16,15.91,2010-05-05,18.80,55,18.16
2010-05-10,19.16,2013-12-11,38.42,905,100.50
2010-07-15,17.66,2013-12-11,38.42,859,117.52
2011-04-12,19.55,2013-12-11,38.42,671,96.52
2011-08-24,21.45,2013-12-11,38.42,578,79.11
2012-05-29,27.73,2013-12-11,38.42,387,38.55
2012-07-18,23.66,2013-12-11,38.42,352,62.40
2012-11-01,23.84,2013-12-11,38.42,279,61.17
2013-06-26,30.92,2013-12-11,38.42,117,24.24
2014-02-11,36.99,2017-12-29,62.55,979,69.10
2014-04-17,37.01,2017-12-29,62.55,933,68.99
2015-09-08,55.88,2017-12-29,62.55,583,11.95
2015-11-20,66.32,2017-12-29,62.55,530,-5.69
2016-01-26,61.11,2017-12-29,62.55,487,2.36
2016-02-19,59.31,2017-12-29,62.55,470,5.46
2016-06-21,54.77,2017-12-29,62.55,385,14.20
2016-06-29,55.13,2017-12-29,62.55,379,13.46
2016-10-26,51.97,2017-12-29,62.55,296,20.36
2016-11-17,51.59,2017-12-29,62.55,280,21.24
2017-06-05,53.01,2017-12-29,62.55,145,18.00
2017-09-14,53.73,2017-12-29,62.55,74,16.42
2017-10-18,52.30,2017-12-29,62.55,50,19.60
2018-11-01,76.79,2021-08-18,168.81,702,119.83
2018-11-30,75.12,2021-08-18,168.81,682,124.72
2018-12-26,73.01,2021-08-18,168.81,666,131.21
2019-06-05,82.72,2021-08-18,168.81,556,104.07
2019-08-22,83.31,2021-08-18,168.81,501,102.63
2020-02-12,103.00,2021-08-18,168.81,382,63.89
2020-03-26,84.30,2021-08-18,168.81,352,100.25
2021-02-04,140.63,2021-08-18,168.81,135,20.04
2021-04-12,136.64,2021-08-18,168.81,90,23.54
2021-06-23,133.10,2021-08-18,168.81,39,26.83
