Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1995-09-26,10.36,1995-09-28,9.93,2,-4.09
1995-10-19,10.05,1995-10-30,9.57,7,-4.82
1995-11-17,9.63,1995-12-01,9.39,9,-2.52
1995-12-11,9.51,1996-01-29,10.90,33,14.65
1996-02-26,10.66,1996-04-03,9.87,27,-7.39
1996-04-30,9.81,1996-05-06,9.51,4,-3.09
1996-05-14,9.75,1996-06-06,9.87,16,1.24
1997-04-15,11.57,1997-06-06,12.11,37,4.71
1997-11-04,12.78,1997-12-09,12.54,24,-1.90
1997-11-17,12.51,1997-12-09,12.54,15,0.24
1998-01-05,12.60,1998-02-05,12.81,22,1.68
1998-03-17,12.69,1998-04-08,12.90,16,1.67
1998-05-08,12.78,1998-06-10,12.66,22,-0.95
1998-06-26,12.87,1998-07-14,12.78,11,-0.71
1998-08-14,12.20,1998-10-02,11.96,34,-1.99
1998-09-11,11.90,1998-10-02,11.96,15,0.51
1998-12-28,11.90,1999-01-04,11.87,4,-0.25
1999-03-18,10.72,1999-05-13,11.26,39,5.08
1999-04-09,10.54,1999-05-13,11.26,24,6.90
1999-08-31,11.51,1999-09-21,11.05,14,-3.95
1999-09-30,11.20,1999-11-05,10.96,26,-2.16
1999-10-25,11.05,1999-11-05,10.96,9,-0.82
1999-12-27,10.27,2000-01-31,10.30,24,0.29
2000-01-07,10.17,2000-01-31,10.30,15,1.19
2000-03-16,10.11,2000-03-31,9.33,11,-7.78
2000-04-10,9.96,2000-06-23,11.51,52,15.50
2000-09-07,11.33,2000-12-06,11.60,63,2.41
2000-09-20,11.05,2000-12-06,11.60,54,4.93
2000-10-20,11.23,2000-12-06,11.60,32,3.23
2001-03-06,12.45,2001-03-16,11.85,8,-4.86
2001-03-21,12.28,2001-05-10,13.40,35,9.07
2001-06-06,13.34,2001-07-10,13.71,23,2.80
2001-09-27,13.83,2001-10-18,13.82,15,-0.07
2002-07-31,16.38,2002-10-02,16.44,44,0.41
2002-10-18,16.16,2002-12-19,17.05,43,5.52
2003-01-31,16.41,2003-03-10,16.34,25,-0.44
2003-08-20,19.25,2003-09-10,19.16,14,-0.45
2004-01-14,19.56,2004-03-11,21.03,39,7.51
2004-05-04,18.92,2004-07-21,20.21,53,6.81
2004-05-18,18.74,2004-07-21,20.21,43,7.86
2004-08-04,20.06,2004-09-14,21.14,28,5.36
2005-02-01,22.84,2005-02-22,22.77,14,-0.30
2005-04-07,22.62,2005-05-13,23.20,26,2.57
2005-07-26,24.32,2005-08-05,22.79,8,-6.29
2005-08-29,22.96,2005-09-21,23.05,16,0.42
2005-10-31,21.58,2005-12-05,21.80,24,1.03
2006-01-03,21.51,2006-02-03,22.04,22,2.48
2006-05-05,21.88,2006-05-23,21.08,12,-3.68
2006-05-26,21.62,2006-06-13,21.32,11,-1.39
2006-06-28,21.48,2006-07-14,21.30,11,-0.86
2007-03-15,27.15,2007-04-30,27.03,31,-0.43
2007-05-30,26.84,2007-06-07,25.22,6,-6.03
2007-07-02,25.24,2007-07-23,23.53,14,-6.79
2007-08-06,24.55,2007-08-28,25.41,16,3.47
2007-11-09,28.15,2007-11-19,27.83,6,-1.14
2008-01-23,23.84,2008-04-09,24.93,53,4.59
