Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1972-09-29,1.54,1972-12-04,1.62,44,4.80
1973-01-02,1.63,1973-01-10,1.56,6,-4.13
1973-01-17,1.61,1973-01-29,1.53,7,-5.17
1973-02-16,1.56,1973-03-22,1.55,23,-0.89
1973-04-10,1.57,1973-06-04,1.49,37,-5.01
1973-05-24,1.57,1973-06-06,1.47,8,-6.20
1973-06-08,1.52,1973-07-20,1.50,29,-1.37
1973-08-29,1.52,1973-10-10,1.58,29,3.65
1973-12-26,1.25,1974-02-05,1.14,28,-8.69
1974-02-19,1.16,1974-03-15,1.16,18,0.00
1974-04-16,1.13,1974-04-23,1.10,5,-2.86
1974-05-28,1.03,1974-06-21,1.11,18,7.16
1974-09-09,0.78,1974-09-23,0.72,10,-8.28
1974-10-10,0.66,1974-11-13,0.75,24,12.89
1974-12-13,0.72,1975-02-25,0.96,49,33.55
1975-07-10,1.24,1975-08-01,1.11,16,-10.63
1975-08-28,1.11,1975-09-05,1.06,5,-4.80
1975-09-19,1.10,1975-11-04,1.27,32,15.79
1975-12-16,1.32,1976-01-27,1.35,28,2.46
1976-03-10,1.35,1976-04-12,1.35,23,0.00
1976-06-16,1.35,1976-08-27,1.52,51,12.86
1976-11-01,1.53,1976-11-05,1.45,3,-5.73
1976-11-22,1.49,1976-12-13,1.46,14,-2.17
1976-12-31,1.47,1977-01-26,1.34,18,-8.82
1977-02-16,1.36,1977-03-07,1.33,12,-2.38
1977-02-25,1.36,1977-03-07,1.33,6,-2.21
1977-03-14,1.36,1977-04-22,1.34,28,-1.54
1977-05-09,1.34,1977-05-17,1.32,6,-1.04
1977-06-02,1.33,1977-08-30,1.40,61,5.21
1977-07-08,1.31,1977-08-30,1.40,36,7.45
1977-09-30,1.41,1977-10-14,1.39,10,-1.48
1977-11-10,1.41,1977-12-06,1.44,17,2.46
1978-02-07,1.44,1978-02-13,1.40,4,-2.88
1978-03-08,1.40,1978-05-23,1.69,53,20.30
1978-07-13,1.63,1978-08-28,1.80,32,10.21
1978-11-22,1.44,1978-12-11,1.44,12,0.00
1979-01-02,1.43,1979-01-19,1.44,13,0.97
1979-03-05,1.34,1979-04-09,1.38,25,2.59
1979-04-24,1.38,1979-05-07,1.31,9,-5.05
1979-05-31,1.29,1979-07-12,1.33,29,3.23
1979-11-08,1.38,1979-12-18,1.40,27,2.02
1980-01-25,1.37,1980-02-15,1.25,15,-8.63
1980-03-21,1.17,1980-04-15,1.21,16,2.96
1980-03-28,1.22,1980-04-15,1.21,11,-0.57
1980-07-07,1.41,1980-07-17,1.38,8,-2.46
1980-07-24,1.39,1980-08-19,1.49,18,7.50
1980-09-19,1.47,1980-09-29,1.36,6,-7.55
1980-10-20,1.42,1981-03-27,1.83,109,29.41
1981-05-19,1.91,1981-06-18,1.94,21,1.82
1981-07-31,1.91,1981-09-01,1.83,22,-4.36
1981-09-11,1.84,1981-09-17,1.69,4,-8.30
1981-09-28,1.79,1981-11-05,1.96,28,9.30
1982-01-29,2.05,1982-02-09,1.94,7,-5.08
1982-03-18,1.90,1982-04-28,2.11,28,11.36
1982-06-10,2.11,1982-07-02,2.12,16,0.33
1982-08-17,2.19,1982-10-18,2.62,43,19.62
1982-11-04,2.51,1982-11-15,2.22,7,-11.63
1982-12-01,2.33,1982-12-14,1.92,9,-17.86
1983-01-06,2.01,1983-03-10,1.94,44,-3.45
1983-02-10,1.93,1983-03-10,1.94,19,0.72
1983-06-22,2.01,1983-07-15,1.92,16,-4.50
1983-07-01,2.00,1983-07-12,1.94,6,-2.78
1983-07-27,1.97,1983-08-15,1.89,13,-3.89
1983-08-26,1.90,1983-09-12,1.83,10,-3.30
1983-09-06,1.88,1983-09-12,1.83,4,-2.58
1983-09-20,1.88,1983-09-30,1.88,8,0.37
1984-02-23,1.99,1984-03-19,2.03,17,1.74
1984-09-13,2.46,1984-09-21,2.41,6,-1.98
1984-10-12,2.42,1984-11-16,2.46,25,1.72
1984-12-18,2.38,1985-04-16,2.93,81,23.39
1985-08-14,3.22,1985-09-11,3.23,19,0.43
1986-01-28,3.90,1986-02-12,3.88,11,-0.36
1986-07-24,5.50,1986-09-05,4.73,30,-14.02
1986-10-10,4.44,1987-02-09,5.15,83,15.96
1987-05-04,5.40,1987-06-26,6.04,38,11.97
1987-05-21,5.44,1987-06-26,6.04,25,11.11
1987-11-12,5.44,1988-01-08,5.15,38,-5.36
1988-04-25,5.94,1988-06-16,5.98,37,0.70
1988-05-13,5.75,1988-06-16,5.98,23,3.99
1988-07-29,6.02,1988-10-12,6.33,52,5.19
1989-01-27,6.52,1989-02-22,6.58,17,0.96
1989-10-17,9.75,1989-11-06,9.94,14,1.92
1990-02-06,9.90,1990-04-24,10.83,53,9.47
1990-03-08,9.90,1990-04-24,10.83,32,9.47
1990-08-15,13.15,1990-08-21,11.75,4,-10.62
1990-08-29,12.52,1990-09-24,10.81,17,-13.64
1990-10-01,12.31,1990-11-29,12.50,42,1.52
1991-01-17,13.44,1991-03-11,16.06,36,19.53
1991-05-01,16.44,1991-06-25,14.38,38,-12.55
1991-07-09,14.94,1991-08-19,15.38,29,2.93
1991-07-15,14.94,1991-08-19,15.38,25,2.93
1991-10-14,14.50,1991-10-21,13.94,5,-3.88
1991-10-29,14.25,1991-11-15,14.25,13,0.00
1992-02-20,16.38,1992-04-22,17.19,43,4.96
1993-01-15,20.75,1993-02-05,20.25,15,-2.41
1993-03-02,20.25,1993-03-15,20.31,9,0.31
1993-05-05,18.88,1993-06-09,17.44,24,-7.62
1993-05-17,18.50,1993-06-07,17.69,14,-4.39
1993-06-11,18.25,1993-09-21,19.88,70,8.90
1993-07-20,18.19,1993-09-21,19.88,44,9.28
1994-01-10,20.44,1994-01-26,19.56,12,-4.28
1994-02-16,19.62,1994-03-07,18.75,12,-4.46
1994-04-25,18.38,1994-05-11,17.69,11,-3.74
1994-07-15,15.62,1994-07-28,14.88,9,-4.80
1994-07-29,15.25,1994-09-09,16.56,29,8.61
1995-01-25,17.75,1995-03-07,19.19,28,8.10
1995-07-25,22.81,1995-08-16,22.94,16,0.55
1996-04-30,31.75,1996-06-04,33.38,24,5.12
1996-08-02,33.50,1996-08-28,30.00,18,-10.45
1996-08-26,31.62,1996-08-29,28.62,3,-9.49
1996-09-13,29.88,1996-11-21,30.38,49,1.67
1996-09-19,30.12,1996-09-27,28.12,6,-6.64
1996-10-16,29.25,1996-11-21,30.38,26,3.85
1996-12-26,29.50,1997-02-05,31.88,28,8.05
1997-03-20,32.62,1997-05-22,35.50,44,8.81
1997-07-22,38.06,1997-08-08,37.50,13,-1.48
1997-11-17,37.38,1998-04-07,42.38,96,13.38
1997-12-30,36.69,1998-04-07,42.38,67,15.50
1998-05-20,40.50,1998-07-09,41.31,34,2.01
1998-09-22,31.38,1998-12-10,38.00,56,21.12
1999-05-13,37.12,1999-07-30,38.94,54,4.88
1999-10-06,33.19,1999-12-13,35.31,47,6.40
2000-02-10,34.62,2000-02-29,32.12,12,-7.22
2000-03-15,33.19,2000-04-19,35.31,25,6.40
2000-12-07,46.94,2001-01-03,46.50,17,-0.93
2001-02-02,44.99,2001-02-27,46.06,16,2.38
2001-04-04,43.90,2001-05-22,43.98,33,0.18
2001-04-24,43.15,2001-05-22,43.98,20,1.92
2001-12-19,49.38,2002-01-07,48.08,11,-2.63
2002-05-31,51.98,2002-06-25,49.03,17,-5.68
2002-07-31,42.94,2002-11-04,43.43,67,1.14
2002-09-16,40.95,2002-09-24,36.77,6,-10.21
2002-10-08,41.10,2002-11-04,43.43,19,5.67
2002-12-26,42.41,2003-01-30,38.71,23,-8.72
2003-03-13,38.86,2003-04-03,38.17,15,-1.78
2003-08-28,44.77,2003-10-27,47.57,41,6.25
2004-01-05,47.25,2004-01-08,46.01,3,-2.62
2004-01-22,46.54,2004-03-11,51.70,34,11.09
2004-08-04,51.96,2004-08-25,49.00,15,-5.70
2004-09-02,50.62,2004-09-24,48.32,15,-4.54
2004-10-01,50.08,2004-11-29,50.45,40,0.74
2004-10-18,48.99,2004-11-29,50.45,29,2.98
2005-03-30,53.36,2005-05-31,56.26,43,5.43
2005-07-12,54.60,2005-09-20,54.80,49,0.37
2006-02-10,57.93,2006-03-21,59.53,26,2.76
2006-04-26,57.86,2006-06-09,59.93,31,3.58
2006-10-26,63.82,2006-11-13,61.41,12,-3.78
2006-12-04,62.88,2006-12-14,62.50,8,-0.60
2007-03-20,63.40,2007-05-10,66.35,36,4.65
2007-07-05,65.91,2007-07-27,65.66,16,-0.38
2007-07-23,66.59,2007-07-27,65.66,4,-1.40
2008-02-11,70.96,2008-04-14,70.95,43,-0.01
2008-03-19,70.18,2008-04-14,70.95,17,1.10
2008-05-22,68.38,2008-06-04,66.67,8,-2.50
2008-06-10,67.58,2008-06-23,64.63,9,-4.37
2008-07-02,65.76,2008-08-26,68.70,38,4.47
2008-10-31,57.01,2008-11-20,50.29,14,-11.79
2008-11-24,55.66,2009-02-10,49.53,52,-11.01
2009-02-04,51.49,2009-04-14,50.56,47,-1.81
2009-03-17,49.25,2009-04-14,50.56,19,2.66
2009-05-14,50.87,2009-05-27,50.01,8,-1.69
2010-01-05,61.98,2010-01-21,60.94,11,-1.68
2010-02-02,61.15,2010-02-08,58.96,4,-3.58
2010-02-11,61.19,2010-04-07,65.99,37,7.84
2010-05-03,65.69,2010-05-20,63.86,13,-2.79
2010-06-10,63.84,2010-06-25,60.77,11,-4.81
2010-07-07,62.93,2010-08-19,64.66,31,2.75
2010-11-02,65.80,2010-12-28,65.28,38,-0.79
2010-12-01,65.63,2010-12-28,65.28,18,-0.53
2011-02-17,64.70,2011-03-16,62.31,18,-3.69
2011-03-21,64.10,2011-06-01,70.29,50,9.66
2011-08-17,64.62,2011-09-09,59.99,16,-7.16
2011-09-15,63.22,2011-11-23,62.40,49,-1.30
2012-03-09,63.15,2012-04-09,65.35,20,3.48
2012-10-04,70.87,2012-10-11,69.82,5,-1.48
2012-10-18,70.76,2012-10-22,69.60,2,-1.64
