Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-09-15,0.09,1981-01-21,0.10,88,15.54
1980-10-30,0.09,1981-01-21,0.10,55,15.15
1980-12-18,0.09,1981-01-21,0.10,22,12.87
1981-08-17,0.18,1982-06-01,0.18,199,4.69
1981-10-26,0.18,1982-06-01,0.18,150,1.51
1982-02-04,0.15,1982-06-01,0.18,80,26.41
1982-07-26,0.18,1982-09-27,0.21,44,14.18
1982-11-23,0.19,1983-01-31,0.21,47,9.42
1983-04-19,0.23,1983-08-04,0.29,75,24.11
1983-12-07,0.30,1984-09-10,0.29,191,-4.76
1984-02-24,0.27,1984-09-10,0.29,137,6.46
1984-04-27,0.25,1984-09-10,0.29,93,13.82
1984-11-13,0.28,1985-04-15,0.35,104,23.36
1984-12-10,0.26,1985-04-15,0.35,86,32.03
1985-10-22,0.44,1986-01-09,0.58,54,29.86
1986-05-22,0.78,1987-09-03,0.91,325,15.60
1986-10-02,0.95,1987-09-03,0.91,233,-4.74
1986-11-26,0.83,1987-09-03,0.91,194,9.66
1987-03-05,0.88,1987-09-03,0.91,127,3.57
1987-04-06,0.83,1987-09-03,0.91,105,9.66
1987-04-27,0.79,1987-09-03,0.91,91,14.98
1987-07-20,0.83,1987-09-03,0.91,33,9.66
1987-11-02,0.83,1989-05-04,0.82,380,-0.84
1988-02-01,0.79,1989-05-04,0.82,318,3.51
1988-04-13,0.76,1989-05-04,0.82,268,7.76
1988-04-26,0.75,1989-05-04,0.82,259,8.76
1988-08-17,0.84,1989-05-04,0.82,180,-2.88
1988-11-23,0.70,1989-05-04,0.82,111,16.83
1988-12-01,0.69,1989-05-04,0.82,106,18.59
1988-12-28,0.65,1989-05-04,0.82,88,26.88
1989-06-05,0.78,1989-09-15,1.04,72,33.33
1990-01-03,1.08,1990-07-18,1.23,136,14.19
1990-02-23,0.97,1990-07-18,1.23,100,26.43
1990-04-18,0.95,1990-07-18,1.23,63,28.73
1990-10-22,1.24,1991-03-12,1.64,97,31.84
1991-01-31,1.41,1991-03-12,1.64,27,16.26
1991-05-23,1.60,1992-08-25,1.69,318,5.41
1991-07-15,1.51,1992-08-25,1.69,283,11.70
1991-08-14,1.44,1992-08-25,1.69,261,17.07
1991-09-19,1.39,1992-08-25,1.69,236,22.06
1992-02-27,1.32,1992-08-25,1.69,125,28.50
1993-02-26,2.69,1994-08-15,3.09,370,15.12
1993-06-01,2.54,1994-08-15,3.09,305,21.72
1993-06-16,2.52,1994-08-15,3.09,294,22.73
1993-12-07,3.42,1994-08-15,3.09,173,-9.45
1994-02-10,2.96,1994-08-15,3.09,127,4.58
1994-04-08,2.55,1994-08-15,3.09,88,21.22
1994-10-14,2.97,1995-09-27,3.78,240,27.37
1994-12-14,2.88,1995-09-27,3.78,198,31.52
1995-05-15,3.24,1995-09-27,3.78,94,16.72
1995-11-03,3.53,1996-11-26,5.78,269,63.72
1996-04-18,3.65,1996-11-26,5.78,155,58.57
1996-07-18,4.10,1996-11-26,5.78,92,40.86
1996-12-19,5.66,1997-08-14,8.40,164,48.43
1997-04-17,5.95,1997-08-14,8.40,83,41.16
1997-11-20,8.78,1999-01-14,13.34,288,51.96
1998-09-14,9.00,1999-01-14,13.34,85,48.26
1998-10-16,10.65,1999-01-14,13.34,61,25.34
1999-02-18,10.67,2004-11-17,23.38,1446,119.21
1999-08-25,10.37,2004-11-17,23.38,1315,125.49
1999-10-20,7.11,2004-11-17,23.38,1276,228.66
2000-02-29,4.96,2004-11-17,23.38,1186,371.58
2000-03-15,4.81,2004-11-17,23.38,1175,386.40
2000-08-04,6.10,2004-11-17,23.38,1076,283.06
2001-01-24,7.92,2004-11-17,23.38,958,195.36
2001-03-29,7.85,2004-11-17,23.38,913,198.02
2001-09-26,10.60,2004-11-17,23.38,792,120.59
2002-07-31,12.79,2004-11-17,23.38,580,82.85
2003-01-06,13.18,2004-11-17,23.38,471,77.44
2003-02-03,12.27,2004-11-17,23.38,452,90.57
2003-08-15,16.62,2004-11-17,23.38,317,40.65
2004-05-25,21.24,2004-11-17,23.38,122,10.10
2004-08-16,19.10,2004-11-17,23.38,66,22.44
2005-01-03,21.89,2010-04-30,20.09,1340,-8.21
2005-08-22,24.33,2010-04-30,20.09,1180,-17.44
2006-02-15,26.34,2010-04-30,20.09,1058,-23.74
2006-03-16,26.48,2010-04-30,20.09,1038,-24.12
2006-08-17,23.60,2010-04-30,20.09,931,-14.87
2006-12-06,23.75,2010-04-30,20.09,854,-15.41
2007-03-26,22.10,2010-04-30,20.09,781,-9.10
2007-08-08,22.91,2010-04-30,20.09,687,-12.31
2007-10-03,19.53,2010-04-30,20.09,648,2.87
2007-11-12,18.62,2010-04-30,20.09,620,7.89
2008-04-01,16.93,2010-04-30,20.09,525,18.67
2008-09-30,17.40,2010-04-30,20.09,398,15.46
2008-10-31,14.27,2010-04-30,20.09,375,40.78
2009-03-12,12.00,2010-04-30,20.09,286,67.42
2009-07-13,14.90,2010-04-30,20.09,202,34.83
2010-02-16,17.07,2010-04-30,20.09,52,17.69
2011-01-05,20.13,2012-11-02,22.07,460,9.64
2011-01-20,19.97,2012-11-02,22.07,450,10.52
2011-06-21,20.82,2012-11-02,22.07,345,6.00
2011-08-24,18.67,2012-11-02,22.07,300,18.21
2011-09-29,18.00,2012-11-02,22.07,275,22.61
2012-05-07,21.97,2012-11-02,22.07,124,0.46
2012-05-29,21.79,2012-11-02,22.07,109,1.28
2012-08-07,19.80,2012-11-02,22.07,60,11.46
2013-06-18,25.30,2015-08-21,29.96,549,18.42
2013-06-26,24.92,2015-08-21,29.96,543,20.22
2013-12-27,27.07,2015-08-21,29.96,415,10.68
2014-02-14,23.98,2015-08-21,29.96,382,24.94
2014-08-13,24.20,2015-08-21,29.96,258,23.80
2014-12-23,26.97,2015-08-21,29.96,166,11.09
2015-09-11,30.23,2017-03-23,39.57,385,30.90
2015-12-16,31.77,2017-03-23,39.57,318,24.55
2016-05-10,33.60,2017-03-23,39.57,219,17.77
2016-06-29,32.63,2017-03-23,39.57,184,21.27
2016-09-30,31.50,2017-03-23,39.57,119,25.62
2017-09-19,47.63,2018-01-02,55.36,72,16.23
2018-02-14,56.30,2018-10-10,68.52,165,21.71
2018-07-18,60.39,2018-10-10,68.52,59,13.46
2018-10-16,70.27,2023-11-17,157.57,1281,124.24
2019-01-08,60.73,2023-11-17,157.57,1225,159.46
2019-09-06,77.39,2023-11-17,157.57,1058,103.61
2019-09-19,75.78,2023-11-17,157.57,1049,107.93
2019-11-06,70.93,2023-11-17,157.57,1015,122.15
2020-03-26,75.82,2023-11-17,157.57,919,107.82
2020-12-08,92.84,2023-11-17,157.57,741,69.72
2021-02-18,88.10,2023-11-17,157.57,693,78.85
2021-06-25,96.85,2023-11-17,157.57,604,62.69
2021-10-06,92.27,2023-11-17,157.57,533,70.77
2021-11-23,94.52,2023-11-17,157.57,499,66.71
2022-02-25,107.24,2023-11-17,157.57,435,46.93
2022-10-04,123.94,2023-11-17,157.57,283,27.13
2023-05-09,135.70,2023-11-17,157.57,134,16.12
2023-07-31,125.98,2023-11-17,157.57,78,25.08
