Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-11-13,3.12,1980-12-08,2.61,16,-16.20
1980-12-29,2.66,1981-02-02,2.74,24,3.31
1981-02-25,2.73,1981-03-30,2.95,23,8.03
1981-07-14,2.53,1981-08-11,2.26,20,-10.82
1981-10-02,1.87,1981-10-26,1.92,16,2.94
1982-01-04,1.94,1982-01-27,1.73,17,-10.73
1982-01-28,1.84,1982-02-09,1.54,8,-16.67
1982-03-22,1.53,1982-04-27,1.32,25,-13.67
1982-05-12,1.36,1982-07-08,1.25,39,-8.06
1982-05-28,1.34,1982-06-11,1.28,9,-4.10
1982-06-23,1.32,1982-07-08,1.25,10,-5.00
1982-07-16,1.27,1982-07-23,1.22,5,-4.31
1982-08-17,1.13,1982-09-13,1.20,18,5.83
1983-01-04,1.43,1983-03-04,2.05,42,43.85
1983-10-17,2.33,1983-11-02,1.99,12,-14.62
1983-11-09,2.17,1983-12-15,2.52,25,16.16
1984-02-27,2.37,1984-03-20,2.12,16,-10.42
1984-03-13,2.32,1984-03-15,2.19,2,-5.67
1984-04-12,2.02,1984-05-15,2.29,22,13.01
1984-06-19,2.09,1984-08-30,2.57,51,22.83
1984-08-01,2.14,1984-08-30,2.57,21,20.00
1984-10-11,2.55,1984-11-19,2.17,27,-14.84
1984-12-11,2.30,1985-01-09,2.37,19,2.86
1985-03-29,3.06,1985-04-25,3.13,18,2.15
1985-10-07,4.12,1985-12-12,4.02,47,-2.40
1985-10-29,4.05,1985-12-12,4.02,31,-0.61
1986-01-07,4.17,1986-02-25,4.74,34,13.61
1986-09-26,5.68,1987-01-30,6.11,87,7.61
1986-10-23,5.46,1986-11-19,5.04,19,-7.69
1986-12-03,5.33,1987-01-30,6.11,40,14.58
1987-01-05,5.63,1987-01-30,6.11,19,8.55
1987-05-06,7.04,1987-07-01,6.93,39,-1.58
1987-05-22,6.74,1987-07-01,6.93,27,2.75
1987-11-13,4.19,1988-03-17,4.93,85,17.70
1987-12-16,4.07,1988-03-17,4.93,63,20.91
1988-06-09,4.59,1988-07-19,5.04,27,9.68
1988-11-02,5.67,1988-11-14,5.19,8,-8.50
1988-11-30,5.30,1989-01-17,5.70,32,7.69
1989-04-03,6.63,1989-05-08,7.07,25,6.70
1989-10-19,10.56,1990-01-22,9.37,64,-11.23
1989-11-15,9.81,1989-12-20,8.85,24,-9.81
1990-01-03,9.74,1990-01-22,9.37,13,-3.80
1990-02-07,9.30,1990-03-22,9.63,30,3.59
1990-04-06,9.81,1990-06-05,9.85,40,0.38
1990-07-13,9.30,1990-07-23,8.74,6,-5.98
1990-08-29,7.48,1990-10-09,6.67,28,-10.89
1990-09-10,7.22,1990-09-28,6.81,14,-5.64
