Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2010-02-16,1.75,2014-09-25,8.65,1161,394.62
2010-05-27,2.13,2014-09-25,8.65,1090,305.15
2010-09-01,2.10,2010-09-10,1.87,6,-11.19
2010-09-20,2.06,2014-09-25,8.65,1011,319.10
2011-03-30,3.15,2011-08-08,2.72,90,-13.66
2011-05-25,3.45,2011-08-04,3.09,49,-10.43
2011-08-24,3.23,2014-09-25,8.65,776,167.93
2011-12-07,3.12,2011-12-19,2.76,8,-11.76
2012-01-09,3.02,2014-09-25,8.65,682,186.10
2012-05-23,3.35,2014-09-25,8.65,588,157.94
2012-06-06,3.30,2014-09-25,8.65,579,162.24
2012-10-16,3.43,2012-11-15,3.22,20,-6.11
2012-10-26,3.38,2012-11-15,3.22,12,-4.67
2012-11-23,3.36,2012-12-14,3.11,15,-7.18
2013-01-03,3.27,2014-09-25,8.65,435,164.32
2013-03-06,3.47,2013-04-17,3.24,29,-6.66
2013-05-08,3.35,2014-09-25,8.65,349,158.09
2014-04-22,6.34,2014-09-25,8.65,109,36.29
2014-08-13,7.20,2014-09-25,8.65,30,20.13
2014-10-21,8.24,2015-03-25,12.44,106,51.04
2015-05-07,12.25,2015-08-21,11.15,74,-9.01
2015-07-20,13.46,2015-08-04,12.35,11,-8.30
2015-08-27,12.63,2017-03-21,21.60,393,71.09
2015-10-15,12.19,2017-03-21,21.60,359,77.25
2016-01-29,13.37,2016-02-11,11.63,9,-13.01
2016-02-16,12.62,2017-03-21,21.60,276,71.12
2016-05-20,14.67,2017-03-21,21.60,209,47.22
2016-07-08,15.51,2017-03-21,21.60,176,39.24
2016-09-15,17.27,2017-03-21,21.60,128,25.07
2016-11-21,17.26,2016-12-01,16.28,7,-5.67
2016-12-08,17.07,2017-03-21,21.60,69,26.54
2017-04-20,21.82,2018-07-13,20.25,310,-7.22
2017-07-07,23.96,2018-05-03,22.52,207,-6.00
2017-10-05,24.37,2018-02-05,22.81,83,-6.39
2018-02-14,24.77,2018-07-12,21.00,102,-15.21
2018-04-13,24.69,2018-05-03,22.52,14,-8.78
2018-05-08,23.89,2018-07-12,21.00,45,-12.09
2018-07-30,22.52,2020-03-16,18.76,409,-16.70
2018-08-07,22.03,2018-08-10,21.22,3,-3.67
2018-08-27,21.30,2020-03-16,18.76,389,-11.92
2018-11-01,22.99,2020-03-16,18.76,342,-18.40
2019-06-07,27.49,2020-03-09,24.77,189,-9.88
2019-08-21,28.75,2020-03-09,24.77,137,-13.84
2019-10-11,28.09,2020-03-09,24.77,101,-11.82
2020-01-22,31.30,2020-02-24,29.16,22,-6.83
2020-03-26,24.32,2020-09-21,35.18,123,44.67
2020-11-05,38.09,2023-06-23,82.21,660,115.86
2021-03-15,47.08,2023-06-23,82.21,573,74.64
2021-05-20,45.50,2023-06-23,82.21,526,80.69
2021-08-23,48.24,2022-09-26,46.23,275,-4.18
2021-10-14,49.76,2022-09-23,46.87,237,-5.81
2022-02-01,59.27,2022-06-16,49.72,94,-16.12
2022-05-04,60.37,2022-05-19,54.62,11,-9.52
2022-05-27,58.33,2022-06-16,49.72,13,-14.76
2022-07-15,49.45,2022-09-26,46.23,50,-6.51
2022-09-12,52.91,2022-09-22,47.76,8,-9.72
2022-10-24,45.65,2023-06-23,82.21,166,80.09
2023-08-23,87.66,2023-09-21,80.84,20,-7.78
2023-10-06,84.53,2024-01-03,105.86,60,25.24
2024-04-26,134.41,2024-07-17,155.98,55,16.05
