Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2011-06-17,18.16,2011-08-04,16.62,33,-8.48
2011-08-26,16.91,2011-09-06,14.92,6,-11.77
2011-08-31,16.04,2011-09-01,15.02,1,-6.36
2011-09-29,14.73,2012-08-31,18.36,233,24.64
2011-10-04,14.72,2011-11-22,14.26,35,-3.13
2011-12-02,15.34,2012-08-31,18.36,188,19.69
2012-04-20,17.10,2012-05-04,16.38,10,-4.21
2012-05-30,16.86,2012-06-21,14.69,16,-12.87
2012-07-11,16.76,2012-08-31,18.36,37,9.55
2012-09-27,13.84,2013-06-11,17.14,174,23.84
2012-10-31,13.38,2013-06-11,17.14,152,28.10
2013-01-02,14.49,2013-02-04,13.36,22,-7.80
2013-03-14,12.76,2013-06-11,17.14,61,34.33
2013-04-08,13.39,2013-06-11,17.14,45,28.01
2013-09-26,19.65,2013-10-02,18.84,4,-4.12
2013-10-16,19.24,2013-11-06,17.64,15,-8.32
2013-12-02,17.72,2014-03-27,21.71,79,22.52
2013-12-06,17.51,2014-03-27,21.71,75,23.99
2013-12-11,17.50,2014-03-27,21.71,72,24.06
2013-12-16,17.66,2014-03-27,21.71,69,22.93
2014-02-05,18.79,2014-03-27,21.71,35,15.54
2014-05-23,23.97,2014-06-17,21.45,16,-10.51
2014-07-24,21.24,2015-02-06,28.90,136,36.06
2014-07-30,22.48,2015-02-06,28.90,132,28.56
2014-08-13,21.46,2015-02-06,28.90,122,34.67
2014-12-23,27.11,2015-02-06,28.90,30,6.60
2015-03-19,29.82,2015-03-25,28.14,4,-5.63
2015-03-30,29.45,2015-04-30,27.50,22,-6.62
2015-04-21,28.85,2015-04-30,27.50,7,-4.68
2015-05-14,28.23,2015-05-21,25.13,5,-10.98
2015-06-16,25.79,2016-12-12,36.51,377,41.57
2015-07-10,25.94,2016-12-12,36.51,360,40.75
2015-07-28,25.92,2016-12-12,36.51,348,40.86
2015-09-03,27.18,2016-12-12,36.51,321,34.33
2015-10-07,27.58,2016-12-12,36.51,298,32.38
2016-02-22,27.22,2016-12-12,36.51,205,34.13
2016-02-24,27.08,2016-12-12,36.51,203,34.82
2016-05-10,28.15,2016-12-12,36.51,150,29.70
2016-05-12,27.79,2016-05-17,27.51,3,-1.01
2016-05-18,28.94,2016-12-12,36.51,144,26.16
2016-06-23,29.12,2016-06-27,27.73,2,-4.77
2016-06-30,29.64,2016-12-12,36.51,114,23.18
2016-08-23,30.65,2016-12-12,36.51,77,19.12
2016-09-20,30.34,2016-12-12,36.51,58,20.34
2016-10-06,31.08,2016-12-12,36.51,46,17.47
2016-10-25,31.23,2016-12-12,36.51,33,16.91
2017-01-26,36.20,2017-01-30,33.90,2,-6.35
2017-02-16,34.76,2017-06-16,31.90,83,-8.23
2017-04-20,35.73,2017-06-16,31.90,40,-10.72
2017-07-12,33.86,2017-10-23,37.74,72,11.46
2017-08-16,33.95,2017-10-23,37.74,47,11.16
2017-11-21,37.76,2018-06-22,44.60,146,18.11
2018-02-23,38.50,2018-06-22,44.60,83,15.84
2018-04-04,39.19,2018-06-22,44.60,56,13.80
2018-07-03,45.25,2018-09-19,50.11,54,10.74
2018-07-31,47.27,2018-09-19,50.11,35,6.01
2018-10-16,49.31,2018-10-26,46.82,8,-5.05
2018-10-22,49.40,2018-10-24,47.24,2,-4.37
2018-10-29,48.68,2018-12-21,44.77,37,-8.03
2019-01-11,46.70,2019-02-27,52.73,31,12.91
2019-10-04,70.83,2019-10-23,67.63,13,-4.52
2019-10-29,69.94,2020-02-07,77.43,69,10.71
2019-12-20,71.81,2020-02-07,77.43,32,7.83
2020-03-04,77.03,2020-03-12,66.39,6,-13.81
2020-03-10,74.65,2020-03-12,66.39,2,-11.06
2020-03-30,71.28,2021-01-29,85.17,211,19.49
2020-05-20,74.59,2021-01-29,85.17,175,14.18
2020-07-01,79.47,2020-07-13,71.67,7,-9.82
2020-07-22,75.18,2021-01-29,85.17,132,13.29
2020-11-02,81.19,2021-01-29,85.17,60,4.90
2021-01-06,88.69,2021-01-29,85.17,16,-3.97
2021-03-15,80.63,2022-02-08,74.95,229,-7.04
2021-05-17,83.26,2021-08-18,79.94,65,-3.99
2021-05-21,83.62,2021-08-13,80.58,58,-3.64
2021-08-27,81.68,2021-09-21,78.07,16,-4.42
2021-09-13,82.24,2021-09-14,79.97,1,-2.76
2021-10-01,80.81,2022-01-28,75.25,82,-6.88
2021-10-29,86.86,2022-01-28,75.25,62,-13.37
2021-12-28,84.68,2022-01-28,75.25,22,-11.14
2022-02-25,76.39,2023-08-16,119.75,369,56.76
2022-05-24,84.86,2023-08-16,119.75,308,41.11
2022-06-24,89.54,2023-08-16,119.75,287,33.74
2022-10-03,95.97,2023-03-10,90.54,109,-5.66
2023-02-03,96.84,2023-03-10,90.54,24,-6.51
2023-02-15,96.42,2023-03-08,92.52,14,-4.04
2023-03-02,96.25,2023-03-08,92.52,4,-3.88
2023-03-29,92.41,2023-08-16,119.75,96,29.59
2023-05-01,96.96,2023-05-02,92.65,1,-4.45
2023-05-23,93.50,2023-05-25,89.85,2,-3.90
2023-05-26,96.25,2023-08-16,119.75,55,24.42
2023-10-02,113.57,2023-10-24,119.73,16,5.42
2024-01-08,126.97,2024-03-11,144.58,43,13.87
2024-04-23,145.96,2024-07-30,138.82,67,-4.89
