Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1975-04-24,2.20,1975-06-10,2.03,32,-7.96
1975-06-23,2.11,1975-08-26,1.98,45,-6.14
1975-08-29,2.04,1975-09-09,1.91,6,-6.72
1975-09-19,2.01,1977-01-31,1.81,345,-10.23
1975-12-11,2.36,1976-05-28,2.16,117,-8.39
1976-02-24,2.45,1976-03-08,2.31,9,-5.61
1976-03-24,2.32,1976-06-01,2.16,47,-7.21
1976-04-19,2.29,1976-05-28,2.16,29,-5.65
1976-06-10,2.24,1976-11-10,2.04,106,-9.18
1976-09-17,2.32,1976-10-05,2.19,12,-5.90
1976-10-29,2.18,1976-11-08,2.09,5,-4.20
1976-11-22,2.13,1976-12-17,1.99,18,-6.79
1976-12-09,2.09,1977-01-26,1.97,33,-5.84
1976-12-29,2.05,1977-01-27,1.91,21,-7.06
1977-02-07,2.00,1977-04-07,1.79,42,-10.31
1977-03-15,1.91,1977-04-04,1.84,14,-3.20
1977-05-24,1.64,1978-02-15,2.34,184,42.79
1977-06-01,1.62,1978-02-15,2.34,179,44.81
1977-07-22,1.74,1978-02-15,2.34,144,34.65
1977-08-18,1.75,1978-02-15,2.34,125,34.06
1978-03-20,2.26,1978-10-27,2.06,155,-8.78
1978-07-12,2.25,1978-10-26,2.14,75,-4.75
1978-10-10,2.35,1978-10-17,2.27,5,-3.25
1978-11-20,2.04,1978-12-21,1.85,22,-9.33
1978-11-28,2.03,1978-12-18,1.90,14,-6.39
1979-01-04,1.98,1979-10-10,1.84,194,-6.92
1979-03-13,2.00,1979-10-10,1.84,147,-7.98
1979-05-29,2.05,1979-10-09,1.93,93,-5.95
1979-11-12,1.79,1980-03-27,1.65,94,-8.09
1980-04-01,1.84,1983-06-28,2.96,819,60.33
1980-07-11,2.13,1983-06-28,2.96,749,39.07
1981-02-18,2.94,1981-07-08,2.74,97,-6.74
1981-05-26,2.87,1981-07-08,2.74,30,-4.26
1981-07-16,2.84,1981-08-18,2.69,23,-5.36
1981-07-27,2.79,1981-08-19,2.66,17,-4.64
1981-09-22,2.50,1981-09-25,2.34,3,-6.40
1981-10-02,2.42,1982-08-05,2.25,212,-7.23
