Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2001-06-08,11.30,2001-06-11,10.98,1,-2.83
2001-08-24,10.01,2001-09-18,9.00,12,-10.04
2001-10-11,8.61,2002-01-08,10.12,60,17.60
2001-11-15,8.45,2002-01-08,10.12,35,19.89
2002-02-12,9.74,2002-04-22,11.34,47,16.38
2002-06-17,12.00,2002-06-19,11.46,2,-4.54
2002-07-31,10.17,2002-08-28,10.10,20,-0.74
2002-08-16,9.79,2002-08-28,10.10,8,3.12
2002-09-06,10.22,2002-09-16,10.19,6,-0.34
2002-10-15,9.41,2003-01-17,15.13,65,60.79
2002-10-25,9.29,2003-01-17,15.13,57,62.95
2003-07-09,21.71,2003-07-30,19.25,15,-11.33
2003-07-22,20.54,2003-07-30,19.25,6,-6.26
2003-08-21,19.58,2003-09-26,21.12,25,7.86
2003-10-27,21.91,2003-12-09,26.34,30,20.27
2004-03-25,22.18,2004-04-26,19.33,21,-12.87
2004-05-21,16.30,2004-06-14,16.51,14,1.32
2004-06-24,17.20,2004-07-15,17.17,14,-0.15
2004-07-28,18.87,2004-08-13,17.96,12,-4.80
2005-01-31,27.50,2005-02-18,26.60,14,-3.27
2005-05-10,21.30,2005-06-06,21.67,18,1.71
2005-06-16,22.00,2005-06-23,21.20,5,-3.61
2005-06-30,21.38,2005-09-26,30.81,60,44.14
2005-11-17,29.50,2005-11-28,28.86,6,-2.17
2005-12-02,28.95,2006-01-11,31.96,26,10.38
2006-01-24,32.19,2006-05-17,43.90,79,36.40
2006-02-09,32.82,2006-05-17,43.90,67,33.76
2006-05-26,46.95,2006-06-08,45.73,8,-2.60
2006-06-15,46.83,2006-07-10,48.90,16,4.43
2006-08-16,46.32,2006-09-06,45.18,14,-2.46
2006-08-28,45.30,2006-09-06,45.18,6,-0.26
2006-09-21,44.64,2006-10-20,48.95,21,9.66
2006-11-16,50.50,2006-11-20,48.99,2,-2.99
2007-02-02,51.15,2007-03-01,53.83,18,5.24
2007-03-19,54.51,2007-04-04,54.03,12,-0.88
2007-04-18,54.70,2007-05-04,55.45,12,1.37
2007-10-09,111.70,2007-10-11,109.10,2,-2.33
2007-11-26,96.71,2007-12-17,101.82,15,5.28
2008-01-31,72.15,2008-03-10,53.10,26,-26.40
2008-02-08,66.81,2008-02-26,61.78,11,-7.53
2008-02-19,69.50,2008-02-21,62.72,2,-9.76
