Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2011-09-15,20.84,2011-11-22,23.95,48,14.92
2011-10-12,20.32,2011-11-22,23.95,29,17.86
2011-12-30,22.03,2012-02-14,25.09,30,13.89
2012-01-06,22.34,2012-02-14,25.09,26,12.31
2012-04-02,25.98,2012-04-23,26.26,14,1.08
2012-05-29,26.35,2012-06-25,25.61,19,-2.81
2012-06-06,25.77,2012-06-25,25.61,13,-0.62
2012-08-08,27.25,2012-10-08,31.32,42,14.94
2012-10-26,31.53,2012-10-31,28.41,1,-9.90
2012-11-05,32.23,2012-11-14,30.37,7,-5.77
2013-01-04,31.94,2013-02-11,36.66,25,14.78
2013-04-26,38.25,2013-05-16,39.49,14,3.24
2013-06-07,39.60,2013-06-18,38.83,7,-1.94
2013-07-12,37.62,2013-08-06,38.33,17,1.89
2013-11-26,45.48,2013-12-17,45.54,14,0.13
2014-03-19,49.95,2014-04-07,48.76,13,-2.38
2014-04-23,50.40,2014-05-16,51.25,17,1.69
2014-10-08,72.09,2014-10-09,69.48,1,-3.62
2014-10-20,70.46,2014-10-30,69.40,8,-1.50
2014-11-21,68.47,2014-12-31,73.39,26,7.19
2015-01-26,73.00,2015-03-10,70.24,30,-3.78
2015-02-20,69.79,2015-03-10,70.24,12,0.64
2015-05-08,76.90,2015-05-12,76.51,2,-0.51
2015-09-17,86.02,2016-01-04,66.29,74,-22.94
2015-11-17,69.25,2016-01-04,66.29,31,-4.27
2015-11-24,68.99,2015-12-17,64.74,16,-6.16
2015-12-21,67.61,2016-01-04,66.29,8,-1.95
2016-01-11,67.83,2016-01-19,63.47,5,-6.43
2016-01-26,66.96,2016-02-08,66.77,9,-0.28
2016-02-22,69.95,2016-05-03,79.06,50,13.02
2016-06-01,78.37,2016-06-13,77.95,8,-0.54
2016-07-08,78.21,2016-07-27,77.98,13,-0.29
2016-08-30,76.12,2016-09-14,75.13,10,-1.30
2016-11-07,79.62,2016-11-09,72.16,2,-9.37
2016-12-07,71.96,2017-03-10,85.75,63,19.16
2017-03-24,86.04,2017-04-17,85.65,15,-0.45
2017-05-10,85.56,2017-05-18,81.26,6,-5.03
2017-06-01,83.75,2017-07-06,84.83,24,1.29
2017-08-23,78.90,2017-09-07,76.37,10,-3.21
2017-08-31,78.66,2017-09-07,76.37,4,-2.91
2017-09-11,78.35,2017-09-18,77.68,5,-0.86
2017-09-22,78.22,2017-10-04,77.69,8,-0.68
2017-09-27,78.17,2017-10-04,77.69,5,-0.61
2017-10-18,77.45,2017-10-26,76.89,6,-0.72
2017-11-07,77.92,2017-11-13,77.71,4,-0.27
2017-11-22,77.07,2018-01-03,87.04,27,12.94
2018-04-17,97.71,2018-06-25,105.22,48,7.69
2018-05-02,97.74,2018-06-25,105.22,37,7.65
2018-07-09,105.72,2018-09-12,131.50,46,24.39
2018-10-30,135.21,2018-11-19,135.16,14,-0.04
2019-01-08,126.19,2019-02-27,138.81,34,10.00
2019-03-19,136.62,2019-04-16,114.38,20,-16.28
2019-04-01,131.98,2019-04-15,127.09,10,-3.71
2019-04-30,127.23,2019-05-24,123.84,18,-2.66
2019-06-04,125.53,2019-07-30,132.80,39,5.79
2019-09-05,124.25,2019-09-20,124.28,11,0.02
2019-10-15,121.51,2020-01-15,147.25,63,21.18
2020-02-05,151.04,2020-02-24,140.02,12,-7.30
2020-04-06,93.58,2020-05-01,104.86,18,12.05
2020-07-14,98.96,2020-09-08,132.53,39,33.92
2020-10-05,130.17,2020-10-27,130.56,16,0.30
2020-11-03,136.09,2020-11-04,131.80,1,-3.15
2021-02-03,173.12,2021-02-26,172.03,16,-0.63
2021-07-01,211.83,2021-08-10,240.66,27,13.61
2021-10-19,248.68,2021-10-25,241.81,4,-2.76
2021-12-07,238.60,2022-01-07,252.21,22,5.70
2022-02-09,243.42,2022-03-24,260.60,30,7.06
2022-04-08,258.69,2022-04-22,210.64,9,-18.57
2022-05-27,215.55,2022-06-10,196.72,9,-8.74
2022-07-19,178.18,2022-08-17,208.99,21,17.29
2022-09-07,212.16,2022-09-14,208.76,5,-1.60
2022-10-04,203.90,2022-10-21,196.66,13,-3.55
2023-03-16,254.38,2023-05-09,274.05,37,7.73
2023-06-02,274.26,2023-07-17,291.86,29,6.42
2023-08-21,274.82,2023-09-07,271.89,12,-1.07
2023-10-10,253.07,2023-10-12,234.97,2,-7.15
