Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2015-12-15,259.00,2016-02-24,198.75,48,-23.26
2016-02-19,218.00,2016-03-03,194.50,9,-10.78
2016-03-16,217.00,2016-03-30,200.00,8,-7.83
2016-04-20,195.25,2016-05-31,188.25,27,-3.59
2016-05-16,191.00,2016-05-31,188.25,10,-1.44
2016-07-08,149.50,2016-08-11,168.25,24,12.54
2016-09-06,170.00,2016-09-27,170.00,15,0.00
2016-12-29,208.00,2017-05-26,240.00,102,15.38
2017-01-10,203.00,2017-05-26,240.00,95,18.23
2017-01-18,204.50,2017-05-26,240.00,89,17.36
2017-01-20,204.00,2017-05-26,240.00,87,17.65
2017-06-05,249.50,2017-08-01,287.25,41,15.13
2017-09-29,291.50,2018-01-31,350.00,85,20.07
2018-02-15,364.00,2018-02-19,355.00,2,-2.47
2018-04-09,345.00,2018-05-25,387.00,33,12.17
2018-04-16,353.00,2018-05-25,387.00,28,9.63
2018-08-24,373.00,2018-09-04,365.00,6,-2.14
2018-10-26,410.00,2018-11-21,399.00,18,-2.68
2018-12-12,417.00,2018-12-27,410.00,9,-1.68
2019-01-21,405.00,2019-04-16,548.00,61,35.31
2019-01-25,402.00,2019-04-16,548.00,57,36.32
2019-05-14,574.00,2019-07-01,640.00,33,11.50
2019-09-27,445.00,2020-01-31,790.00,87,77.53
2019-10-10,445.00,2020-01-31,790.00,78,77.53
2020-03-31,658.00,2020-06-08,793.00,45,20.52
2020-04-06,644.00,2020-06-08,793.00,41,23.14
2020-07-01,750.00,2020-08-21,1100.00,37,46.67
2020-10-07,1010.00,2020-11-09,1240.00,23,22.77
2021-01-22,1322.00,2021-02-24,1312.00,23,-0.76
2021-03-11,1348.00,2021-04-20,1545.00,26,14.61
2021-06-01,1430.00,2021-07-20,1515.00,35,5.94
2021-06-11,1421.00,2021-06-18,1335.00,5,-6.05
2021-06-24,1451.00,2021-07-20,1515.00,18,4.41
2021-10-14,1940.00,2021-11-15,1861.00,22,-4.07
2021-12-22,1816.00,2022-01-05,1804.00,7,-0.66
2022-02-01,1589.00,2022-03-03,1391.00,22,-12.46
2022-02-09,1584.00,2022-02-24,1446.00,11,-8.71
2022-03-17,1383.00,2022-05-04,1153.00,31,-16.63
2022-03-29,1391.00,2022-04-11,1264.00,9,-9.13
2022-04-01,1328.00,2022-04-08,1312.00,5,-1.20
2022-05-23,1231.00,2022-06-10,1136.00,12,-7.72
2022-06-28,1130.00,2022-08-22,1359.00,39,20.27
2022-10-25,1296.00,2022-12-08,1601.00,32,23.53
2022-11-01,1282.00,2022-12-08,1601.00,27,24.88
2023-02-02,1570.00,2023-02-08,1483.00,4,-5.54
2023-03-21,1346.00,2023-04-03,1333.00,9,-0.97
2023-04-06,1343.00,2023-04-19,1274.00,7,-5.14
2023-05-22,1299.00,2023-06-22,1279.00,22,-1.54
2023-07-12,1277.00,2023-07-26,1270.00,10,-0.55
2023-09-06,1231.00,2023-09-18,1210.00,8,-1.71
2023-10-31,1122.00,2023-11-13,955.00,9,-14.88
2023-12-11,970.00,2024-01-05,1035.00,16,6.70
2023-12-14,1021.00,2024-01-05,1035.00,13,1.37
2024-01-24,1054.00,2024-02-15,1102.00,16,4.55
2024-02-27,1125.00,2024-02-28,1114.00,1,-0.98
