Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2016-02-01,20.43,2016-03-08,23.74,25,16.20
2016-05-26,23.95,2016-06-22,24.60,18,2.71
2016-07-08,24.51,2016-10-11,40.73,66,66.18
2016-11-15,38.80,2016-12-01,37.80,11,-2.58
2017-01-24,37.70,2017-03-02,45.75,26,21.35
2017-05-04,47.00,2017-06-27,59.35,37,26.28
2017-08-24,57.45,2017-09-20,56.65,18,-1.39
2017-10-06,58.60,2017-10-16,55.75,6,-4.86
2017-12-19,53.40,2018-02-05,42.60,31,-20.22
2018-02-06,51.65,2018-03-27,66.40,34,28.56
2018-05-02,58.50,2018-05-30,59.90,19,2.39
2018-07-02,58.90,2018-07-24,53.15,15,-9.76
2018-08-06,56.10,2018-09-11,61.30,25,9.27
2018-10-16,61.93,2018-10-22,59.11,4,-4.55
2018-11-08,58.32,2018-11-12,37.50,2,-35.70
2018-12-03,47.77,2019-01-29,44.36,37,-7.14
2019-01-02,42.59,2019-01-29,44.36,18,4.16
2019-06-10,46.20,2019-08-02,54.13,38,17.16
2019-10-15,54.40,2019-12-09,69.68,38,28.09
2020-03-04,85.19,2020-03-06,82.45,2,-3.22
2020-03-25,75.05,2020-05-01,77.45,26,3.20
2020-06-03,78.12,2020-06-11,73.44,6,-5.99
2020-09-29,74.61,2020-10-28,81.33,21,9.01
2021-02-16,94.23,2021-03-04,85.32,12,-9.46
2021-03-15,90.38,2021-03-23,82.50,6,-8.72
2021-03-26,91.93,2021-04-29,92.64,23,0.77
2021-05-25,80.05,2021-07-15,81.33,35,1.60
2021-08-18,81.67,2021-09-14,85.91,18,5.19
2021-11-01,84.49,2021-11-24,89.21,17,5.59
2022-02-15,97.15,2022-02-23,95.42,5,-1.78
2022-03-18,95.00,2022-04-05,93.07,12,-2.03
2022-05-04,89.50,2022-06-13,79.34,27,-11.35
2022-07-08,80.14,2022-08-16,89.60,27,11.80
2022-10-05,74.28,2022-10-14,65.70,7,-11.55
2022-10-18,71.02,2022-11-04,71.56,13,0.76
2022-12-08,55.71,2022-12-19,50.80,7,-8.81
2023-01-03,52.74,2023-02-10,59.40,27,12.63
2023-03-29,52.24,2023-04-05,51.31,5,-1.78
2023-04-27,48.43,2023-05-10,44.56,9,-7.99
2023-05-18,47.37,2023-07-05,54.62,31,15.31
2023-08-22,51.31,2023-09-07,49.83,11,-2.88
2023-11-02,40.45,2023-11-09,39.52,5,-2.30
