Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-09-17,0.70,1980-10-03,0.68,12,-1.69
1980-11-18,0.65,1980-12-03,0.64,10,-1.20
1980-12-04,0.66,1980-12-08,0.62,2,-4.76
1980-12-26,0.62,1981-01-21,0.62,17,0.00
1981-01-02,0.60,1981-01-21,0.62,13,2.60
1981-02-06,0.64,1981-03-10,0.70,21,8.48
1981-06-12,0.79,1981-07-14,0.85,21,7.43
1981-10-12,0.62,1981-10-29,0.62,13,-1.25
1981-11-30,0.38,1982-01-12,0.37,29,-3.06
1981-12-15,0.37,1982-01-12,0.37,18,0.00
1982-01-21,0.40,1982-02-12,0.41,16,2.91
1982-03-02,0.42,1982-04-01,0.44,22,3.70
1982-06-21,0.46,1982-07-14,0.45,16,-1.70
1982-08-17,0.52,1982-09-24,0.64,27,23.13
1983-02-11,0.98,1983-03-31,1.18,33,20.80
1983-02-17,0.98,1983-03-31,1.18,29,20.80
1983-04-27,1.23,1983-04-29,0.74,2,-39.81
1983-05-23,0.84,1983-06-10,0.87,13,3.74
1983-07-25,0.93,1983-07-28,0.88,3,-5.06
1983-08-19,0.84,1983-08-24,0.72,3,-14.02
1983-08-31,0.81,1983-09-12,0.80,7,-1.45
1983-09-15,0.80,1983-09-28,0.73,9,-8.74
1983-10-07,0.80,1983-10-13,0.79,4,-0.98
1983-11-10,0.71,1983-12-05,0.71,16,0.00
1983-12-30,0.70,1984-01-25,0.71,17,1.68
1984-02-27,0.61,1984-03-12,0.60,10,-1.29
1984-03-13,0.62,1984-04-16,0.57,24,-8.12
1984-04-27,0.60,1984-05-08,0.61,7,1.30
1984-05-14,0.61,1984-05-21,0.61,5,-0.64
1984-06-06,0.61,1984-07-06,0.64,21,5.16
1984-08-02,0.62,1984-08-20,0.60,12,-2.53
1985-04-17,0.83,1985-06-04,0.88,33,6.10
1985-04-19,0.84,1985-06-04,0.88,31,5.61
1985-04-25,0.83,1985-05-01,0.82,4,-1.88
1985-05-03,0.84,1985-06-04,0.88,21,5.61
1985-07-03,0.85,1985-07-24,0.82,14,-3.21
1985-08-22,0.77,1985-09-10,0.67,12,-12.69
1985-10-14,0.67,1985-11-22,0.71,29,6.40
1985-12-11,0.79,1986-01-17,0.81,25,2.48
1986-01-29,0.87,1986-03-25,1.18,38,36.04
1986-05-14,1.21,1986-06-03,1.21,13,0.32
1986-05-20,1.22,1986-06-03,1.21,9,-0.32
1986-08-21,0.90,1986-09-05,0.82,10,-8.66
1986-10-13,0.77,1986-11-17,0.82,25,7.65
1986-10-24,0.77,1986-11-17,0.82,16,7.65
1986-11-25,0.85,1986-12-05,0.82,7,-3.21
1986-12-16,0.86,1986-12-18,0.82,2,-5.43
1987-02-04,0.89,1987-02-09,0.87,3,-1.76
1987-05-27,0.86,1987-06-11,0.82,11,-5.43
1987-07-16,0.86,1987-08-24,0.87,27,1.37
1987-10-05,0.80,1987-10-08,0.77,3,-3.92
1987-11-04,0.65,1987-12-03,0.48,20,-26.51
1987-11-11,0.61,1987-11-13,0.60,2,-2.55
1987-11-16,0.61,1987-11-18,0.59,2,-3.85
1987-11-23,0.60,1987-11-27,0.55,3,-7.79
1987-12-15,0.54,1988-01-21,0.54,25,0.00
1987-12-18,0.55,1987-12-31,0.50,8,-7.86
1988-01-05,0.55,1988-01-21,0.54,12,-1.42
1988-04-22,0.62,1988-04-29,0.62,5,0.00
1988-05-31,0.62,1988-06-23,0.67,17,7.55
1988-07-29,0.68,1988-08-17,0.62,13,-9.20
1988-09-02,0.62,1988-10-03,0.65,20,3.75
1988-12-20,0.65,1989-03-16,0.75,59,14.37
1988-12-29,0.66,1989-03-16,0.75,53,13.69
1989-04-12,0.73,1989-05-05,0.77,17,5.91
1989-05-26,0.77,1989-06-28,0.80,22,3.03
