Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2000-09-05,7.06,2000-09-22,5.19,13,-26.55
2000-10-30,2.44,2000-11-16,1.25,13,-48.72
2000-12-20,1.19,2001-02-15,1.28,38,7.89
2001-04-20,0.43,2001-05-22,0.24,22,-44.19
2001-05-30,0.36,2001-06-04,0.29,3,-19.44
2001-06-21,0.39,2001-06-28,0.26,5,-33.33
2001-09-28,0.14,2001-11-08,0.29,29,107.14
2001-12-31,0.33,2002-02-08,0.38,27,15.15
2002-03-04,0.42,2002-03-14,0.37,8,-11.90
2002-05-08,0.45,2002-06-18,0.80,28,77.78
2002-07-15,0.76,2002-07-26,0.66,9,-13.16
2002-08-30,0.49,2002-10-11,0.54,29,10.20
2003-03-07,0.81,2003-03-24,0.78,11,-3.70
2004-01-02,5.30,2004-01-13,5.17,7,-2.45
2004-02-26,4.55,2004-03-23,3.75,18,-17.58
2004-03-24,5.44,2004-04-16,5.18,16,-4.78
2004-06-03,3.48,2004-07-06,2.82,21,-18.97
2004-06-17,3.48,2004-07-06,2.82,12,-18.97
2004-07-30,2.52,2004-08-09,2.11,6,-16.27
2004-08-11,2.45,2004-09-28,3.21,33,31.02
2004-11-17,2.78,2005-01-05,2.94,33,5.76
2005-03-01,2.62,2005-05-24,2.28,59,-12.98
2005-03-31,2.63,2005-04-28,2.38,20,-9.51
2005-05-04,2.53,2005-05-10,2.33,4,-7.91
2005-05-25,2.41,2005-07-07,3.00,29,24.48
2005-12-19,5.25,2005-12-27,5.04,5,-4.00
2006-02-14,5.75,2006-04-24,7.14,47,24.17
2006-03-09,5.61,2006-04-24,7.14,31,27.27
2006-06-16,5.17,2006-06-27,4.92,7,-4.84
2006-07-26,4.40,2006-08-07,3.71,8,-15.68
2006-08-03,4.25,2006-08-07,3.71,2,-12.71
2006-08-15,4.22,2006-09-27,5.20,30,23.22
2006-11-06,5.82,2006-11-08,5.62,2,-3.44
2006-12-19,4.92,2007-02-27,6.00,45,21.95
2007-06-04,6.53,2007-06-21,6.25,13,-4.29
2007-07-23,5.55,2007-07-26,5.05,3,-9.01
2007-08-01,5.60,2007-08-03,5.20,2,-7.14
2007-12-18,5.36,2007-12-28,5.28,7,-1.49
2008-03-24,3.14,2008-04-28,3.47,25,10.51
2008-03-31,3.10,2008-04-28,3.47,20,11.94
2008-05-23,2.92,2008-06-17,3.01,16,3.08
2008-06-26,3.22,2008-06-27,3.04,1,-5.59
2008-07-21,2.78,2008-09-08,3.20,34,15.11
2008-10-07,3.00,2008-10-15,2.27,6,-24.33
2008-11-17,1.90,2008-12-01,1.33,9,-30.00
2008-12-18,1.54,2009-01-14,1.72,17,11.69
2009-03-16,1.89,2009-05-27,2.95,50,56.08
2010-02-11,6.50,2010-03-26,7.54,30,16.00
2010-06-03,6.80,2010-06-29,6.97,18,2.50
2010-07-20,6.92,2010-08-10,6.87,15,-0.72
2010-08-17,7.04,2010-09-10,7.07,17,0.43
2011-03-08,11.04,2011-03-17,10.47,7,-5.16
2011-05-27,11.19,2011-07-12,12.90,30,15.28
2011-08-15,12.19,2011-09-22,11.05,27,-9.35
2011-08-29,11.30,2011-09-22,11.05,17,-2.21
2011-09-14,11.27,2011-09-22,11.05,6,-1.95
2011-10-12,10.68,2011-11-16,12.55,25,17.51
2011-11-30,12.57,2011-12-28,12.63,19,0.48
2012-02-03,12.66,2012-04-05,16.49,43,30.25
2012-04-17,16.54,2012-04-23,16.14,4,-2.42
2012-05-10,16.03,2012-06-20,17.37,28,8.36
2012-07-31,18.70,2012-08-01,17.93,1,-4.12
2012-08-29,16.48,2012-09-26,17.62,19,6.92
2012-12-18,13.07,2013-01-22,13.43,22,2.75
2013-02-19,13.88,2013-03-12,14.06,15,1.30
2013-04-11,13.75,2013-04-18,12.89,5,-6.25
2013-06-06,9.20,2013-07-31,9.24,38,0.43
2013-06-21,9.31,2013-07-31,9.24,27,-0.75
2013-07-01,9.24,2013-07-31,9.24,21,0.00
2013-09-13,9.56,2013-09-27,9.41,10,-1.57
2013-10-17,9.56,2013-10-30,9.37,9,-1.99
2013-11-07,11.17,2013-12-09,11.75,21,5.19
2014-02-21,13.35,2014-03-12,11.64,13,-12.81
2014-05-19,9.89,2014-07-15,9.60,39,-2.93
2014-05-22,9.88,2014-06-02,9.44,6,-4.45
2014-06-23,9.43,2014-07-15,9.60,15,1.80
2014-12-05,13.66,2014-12-30,13.60,16,-0.44
2015-02-17,10.85,2015-03-10,11.04,15,1.75
2015-05-26,10.16,2015-06-26,9.97,23,-1.87
2015-08-28,9.07,2015-09-28,7.83,20,-13.67
2015-09-09,8.98,2015-09-14,8.25,3,-8.13
2015-10-09,8.10,2015-10-26,7.24,11,-10.62
2015-11-03,8.07,2015-12-04,7.47,22,-7.43
2015-11-27,7.72,2015-12-04,7.47,5,-3.24
2016-02-26,4.96,2016-05-03,6.01,46,21.17
