Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2007-03-14,10.55,2007-04-24,10.81,28,2.46
2007-07-30,16.46,2007-08-01,15.00,2,-8.86
2007-08-22,14.48,2007-10-18,15.37,40,6.15
2007-09-04,13.82,2007-09-10,12.97,4,-6.17
2007-09-12,13.68,2007-10-18,15.37,26,12.34
2007-10-26,15.70,2007-11-21,18.09,18,15.21
2008-01-31,20.70,2008-02-25,19.84,16,-4.13
2008-03-12,20.39,2008-05-21,27.86,49,36.66
2008-07-16,27.12,2008-07-24,25.85,6,-4.69
2008-07-30,27.07,2008-07-31,24.42,1,-9.82
2008-08-20,24.33,2008-09-04,21.60,10,-11.22
2008-08-27,23.70,2008-09-03,22.96,4,-3.10
2008-09-19,22.52,2008-09-29,16.80,6,-25.38
2008-11-04,17.02,2008-11-06,14.33,2,-15.82
2008-11-13,14.70,2008-11-17,13.57,2,-7.65
2008-11-26,14.56,2008-12-23,14.16,18,-2.71
2009-02-03,13.97,2009-03-02,15.06,18,7.82
2009-03-12,15.71,2009-04-15,16.55,23,5.34
2009-04-24,17.31,2009-04-27,16.55,1,-4.36
2009-06-26,16.89,2009-08-31,20.26,45,19.96
2009-07-13,16.55,2009-08-31,20.26,35,22.42
2009-10-09,21.44,2009-10-30,21.90,15,2.15
2010-03-01,23.27,2010-04-27,25.49,40,9.50
2010-06-11,20.49,2010-06-29,20.30,12,-0.92
2010-07-09,21.55,2010-07-16,19.72,5,-8.49
2010-07-22,20.84,2010-08-19,20.89,20,0.24
2010-08-06,20.74,2010-08-19,20.89,9,0.71
2010-09-15,21.02,2010-11-12,24.32,42,15.70
2010-12-01,24.82,2010-12-16,22.35,11,-9.95
2011-01-06,23.11,2011-02-23,24.41,32,5.62
2011-06-24,27.42,2011-07-27,30.31,22,10.54
2011-10-13,33.60,2011-10-19,32.38,4,-3.64
2012-01-30,35.20,2012-03-21,41.79,36,18.74
2012-06-06,42.00,2012-07-10,42.03,23,0.06
2012-07-27,43.67,2012-08-01,42.72,3,-2.19
2012-08-28,42.46,2012-10-23,45.99,39,8.30
2012-11-01,46.87,2012-11-05,46.56,2,-0.65
2013-03-26,53.55,2013-04-15,52.17,13,-2.57
2013-09-05,62.90,2013-10-03,66.91,20,6.37
2014-02-18,77.49,2014-03-13,76.62,17,-1.12
2014-02-25,76.74,2014-03-13,76.62,12,-0.16
2014-04-16,73.93,2014-06-12,75.72,39,2.42
2014-04-30,73.55,2014-06-12,75.72,30,2.95
2014-07-01,75.53,2014-07-25,75.75,17,0.29
2014-08-13,76.30,2014-08-29,75.81,12,-0.64
2014-10-21,74.16,2014-12-12,84.13,37,13.44
2014-12-18,86.92,2014-12-19,86.44,1,-0.55
2015-02-03,83.81,2015-03-10,88.84,24,6.00
2015-04-08,89.32,2015-04-17,86.93,7,-2.68
2015-09-15,92.11,2015-11-12,98.28,42,6.70
2015-10-02,92.07,2015-11-12,98.28,29,6.74
2015-12-15,98.43,2015-12-18,96.29,3,-2.17
2016-02-16,86.18,2016-03-10,86.89,17,0.82
2016-06-23,95.71,2016-06-24,91.47,1,-4.43
2016-07-14,91.45,2016-08-18,95.27,25,4.18
2016-11-17,104.45,2016-11-23,104.56,4,0.11
2016-12-07,105.25,2017-01-31,106.33,36,1.03
2017-02-13,108.28,2017-03-14,110.49,20,2.04
2017-12-08,149.89,2017-12-21,150.53,9,0.43
2018-04-17,178.34,2018-04-24,173.24,5,-2.86
2018-08-20,204.75,2018-10-04,216.15,32,5.57
2018-11-07,208.24,2018-11-12,199.14,3,-4.37
2018-11-28,202.28,2018-12-07,196.50,6,-2.86
2019-01-07,191.22,2019-03-08,221.87,42,16.03
2019-06-05,256.26,2019-07-31,272.27,39,6.25
2019-08-08,278.04,2019-08-09,274.95,1,-1.11
2019-10-04,274.06,2019-10-18,270.63,10,-1.25
2019-10-28,275.93,2019-11-05,269.00,6,-2.51
2020-03-26,263.18,2020-06-11,291.25,53,10.67
2020-04-06,265.94,2020-06-11,291.25,46,9.52
2020-09-28,338.39,2020-10-15,338.57,13,0.05
2020-11-09,344.56,2020-12-10,331.52,22,-3.78
2021-02-02,334.37,2021-03-19,356.51,32,6.62
2021-05-24,372.38,2021-06-28,367.68,24,-1.26
2021-06-02,366.85,2021-06-28,367.68,18,0.23
2021-07-21,380.06,2021-08-02,375.26,8,-1.26
2021-09-23,354.07,2021-10-04,344.20,7,-2.79
2021-11-05,348.79,2021-11-18,348.22,9,-0.16
2021-12-07,339.51,2022-01-19,360.73,29,6.25
2022-01-28,382.51,2022-02-11,369.77,10,-3.33
2022-03-17,346.44,2022-04-07,349.55,15,0.90
2022-04-27,361.57,2022-05-05,353.37,6,-2.27
2022-05-23,348.43,2022-06-10,334.75,13,-3.93
2022-07-07,324.07,2022-08-22,345.51,32,6.62
2022-10-17,295.04,2022-12-15,346.25,42,17.36
2023-03-06,366.93,2023-03-07,359.94,1,-1.90
2023-03-21,354.57,2023-04-26,366.76,25,3.44
2023-06-06,379.96,2023-07-27,394.50,35,3.83
2023-10-16,401.16,2023-10-19,387.87,3,-3.31
2023-11-07,388.87,2024-01-03,418.77,38,7.69
