Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2008-03-04,13.35,2008-03-10,13.00,4,-2.62
2008-03-11,13.46,2008-03-17,13.20,4,-1.93
2008-03-26,13.50,2008-04-30,12.95,25,-4.07
2008-04-03,13.50,2008-04-14,12.75,7,-5.56
2008-04-22,13.12,2008-04-30,12.95,6,-1.30
2008-05-14,12.97,2008-05-23,13.01,7,0.31
2008-07-16,12.15,2008-09-09,13.16,38,8.31
2008-07-21,11.95,2008-09-09,13.16,35,10.13
2008-07-25,11.84,2008-09-09,13.16,31,11.15
2008-10-31,11.00,2008-11-06,10.68,4,-2.91
2008-12-11,9.91,2009-01-16,9.72,24,-1.92
2008-12-22,9.50,2009-01-16,9.72,17,2.32
2009-01-23,10.00,2009-02-04,10.00,8,0.00
2009-02-26,9.94,2009-05-04,11.53,46,16.00
2009-03-06,9.70,2009-05-04,11.53,40,18.87
2009-03-19,9.60,2009-05-04,11.53,31,20.10
2009-06-25,13.01,2009-07-08,13.13,8,0.92
2009-08-18,13.69,2009-10-01,13.62,31,-0.51
2009-09-08,13.39,2009-10-01,13.62,17,1.72
2009-11-06,13.75,2010-01-06,15.63,40,13.67
2010-02-16,14.47,2010-04-27,15.85,49,9.54
2010-05-12,16.13,2010-05-14,15.59,2,-3.35
2010-06-03,14.90,2010-06-30,14.93,19,0.20
2010-06-10,14.71,2010-06-30,14.93,14,1.50
2010-09-09,15.27,2010-11-01,16.49,37,7.99
2011-04-06,18.80,2011-05-02,18.42,17,-2.02
2011-04-15,18.51,2011-05-02,18.42,10,-0.49
2011-04-26,18.58,2011-05-02,18.42,4,-0.86
2011-05-09,18.76,2011-05-18,18.46,7,-1.60
2011-06-24,18.45,2011-07-20,18.84,17,2.11
2011-08-15,18.86,2011-09-02,17.97,14,-4.72
2011-09-27,18.22,2011-10-03,17.03,4,-6.53
2011-10-04,18.13,2011-10-18,17.82,10,-1.71
2011-10-27,18.03,2011-11-01,17.14,3,-4.94
2011-11-04,17.98,2012-03-22,24.28,94,35.04
2012-04-16,24.69,2012-05-04,24.73,14,0.16
2012-06-08,23.50,2012-06-21,23.50,9,0.00
2012-11-19,29.94,2012-12-04,29.74,10,-0.67
2012-12-20,30.12,2013-01-25,31.05,23,3.09
2013-02-22,31.74,2013-03-21,32.87,19,3.56
2013-05-07,29.79,2013-05-23,29.41,12,-1.28
2013-06-28,27.69,2013-08-07,30.56,27,10.36
2013-09-04,29.69,2013-10-03,29.81,21,0.40
2014-02-11,34.04,2014-03-05,34.27,15,0.68
2014-04-24,32.30,2014-05-06,31.02,8,-3.96
2014-05-23,31.37,2014-07-17,31.47,37,0.32
2014-08-11,31.91,2014-09-09,32.38,20,1.47
2014-10-21,30.66,2014-12-01,32.14,28,4.83
2015-01-21,29.50,2015-03-10,30.33,33,2.81
2015-05-19,31.07,2015-07-08,31.59,34,1.67
2015-06-01,30.86,2015-07-08,31.59,26,2.37
2015-09-10,28.44,2015-09-29,26.38,13,-7.24
2015-09-15,28.44,2015-09-18,28.12,3,-1.13
2015-10-05,28.01,2015-12-08,30.98,45,10.60
2016-01-06,29.77,2016-01-13,28.15,5,-5.44
2016-01-26,28.59,2016-04-04,30.87,47,7.97
2016-02-16,28.18,2016-04-04,30.87,33,9.55
2016-06-29,32.82,2016-08-25,33.93,40,3.38
2016-09-16,34.40,2016-09-19,33.89,1,-1.48
2016-10-25,34.29,2016-11-02,32.65,6,-4.78
2016-11-07,33.87,2016-12-14,36.18,26,6.82
2017-02-03,36.49,2017-03-01,36.87,17,1.04
2017-03-13,37.15,2017-03-14,37.11,1,-0.11
2017-06-01,38.71,2017-06-20,38.37,13,-0.88
2017-06-09,38.60,2017-06-20,38.37,7,-0.60
2017-07-12,38.62,2017-08-18,39.28,27,1.71
2017-09-12,39.54,2017-10-11,39.72,21,0.46
2017-12-08,40.46,2017-12-18,40.32,6,-0.35
2017-12-27,40.30,2018-01-05,39.38,6,-2.28
2018-03-06,36.66,2018-04-02,36.76,18,0.27
2018-07-06,38.49,2018-08-27,40.33,36,4.78
2018-10-31,37.33,2018-11-20,37.70,14,0.99
2019-01-07,35.66,2019-03-04,37.95,38,6.42
2019-03-14,38.25,2019-03-19,38.03,3,-0.58
