Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1966-11-15,0.18,1966-11-28,0.17,8,-4.65
1966-12-01,0.18,1967-03-30,0.35,81,92.09
1967-06-08,0.43,1967-06-29,0.45,15,4.08
1967-09-11,0.49,1967-09-19,0.47,6,-4.62
1967-09-22,0.49,1967-11-03,0.56,30,15.25
1968-01-17,0.74,1968-01-24,0.69,5,-6.39
1968-02-20,0.66,1968-02-29,0.60,6,-9.32
1968-03-13,0.63,1968-05-20,0.86,46,35.39
1968-07-11,0.48,1968-08-02,0.41,13,-14.13
1968-08-13,0.44,1968-10-29,0.49,44,10.98
1968-09-16,0.44,1968-10-29,0.49,25,10.98
1968-11-12,0.49,1969-01-02,0.52,30,5.00
1968-11-27,0.49,1969-01-02,0.52,20,5.22
1969-01-21,0.51,1969-02-20,0.47,21,-8.84
1969-02-11,0.50,1969-02-19,0.48,6,-4.10
1969-03-19,0.44,1969-06-09,0.55,55,25.47
1969-08-01,0.24,1969-09-08,0.26,25,9.96
1969-12-30,0.34,1970-01-12,0.35,8,1.51
1970-02-03,0.33,1970-03-05,0.36,21,7.72
1970-04-02,0.35,1970-04-09,0.31,5,-11.63
1970-04-30,0.30,1970-05-11,0.26,7,-12.33
1970-05-29,0.27,1970-06-10,0.26,8,-2.31
1970-06-15,0.27,1970-06-23,0.28,6,1.88
1970-07-09,0.28,1970-08-04,0.28,18,-1.09
1970-08-24,0.29,1970-10-08,0.33,32,14.18
1970-11-23,0.33,1971-01-04,0.37,27,11.21
1971-08-09,0.70,1971-09-22,0.74,31,6.43
1971-10-01,0.77,1971-10-14,0.77,9,0.40
1971-11-03,0.79,1971-11-19,0.75,12,-4.71
1971-11-29,0.80,1972-01-14,0.93,33,15.38
1972-07-24,1.46,1972-08-23,1.46,22,0.21
1972-08-01,1.45,1972-08-23,1.46,16,0.85
1972-09-01,1.46,1972-09-20,1.38,12,-5.91
1972-09-27,1.41,1972-11-15,1.49,34,5.24
1972-10-03,1.41,1972-11-15,1.49,30,5.70
1972-10-06,1.42,1972-11-15,1.49,27,5.01
1973-02-09,1.81,1973-02-16,1.74,5,-3.91
1973-03-06,1.73,1973-04-25,1.48,35,-14.64
1973-03-27,1.66,1973-04-25,1.48,20,-10.99
1973-04-06,1.69,1973-04-25,1.48,12,-12.45
1973-05-03,1.62,1973-05-11,1.56,6,-4.18
1973-05-15,1.59,1973-05-17,1.48,2,-6.78
1973-05-22,1.56,1973-05-30,1.59,5,2.38
1973-07-09,1.45,1973-08-03,1.56,19,7.23
1973-08-23,1.60,1973-10-05,1.70,30,6.37
1973-12-10,1.34,1974-01-28,1.33,33,-0.69
1973-12-13,1.29,1974-01-07,1.24,15,-4.06
1973-12-26,1.38,1974-01-07,1.24,7,-10.27
1974-01-16,1.33,1974-01-28,1.33,8,-0.23
1974-02-21,1.28,1974-03-21,1.35,20,5.30
1974-04-16,1.35,1974-04-23,1.30,5,-3.87
1974-04-29,1.32,1974-05-29,1.37,21,3.73
1974-07-24,1.09,1974-08-21,0.84,20,-22.44
1974-08-06,1.05,1974-08-21,0.84,11,-19.71
1974-10-11,0.70,1974-11-14,0.84,24,19.30
1974-11-27,0.85,1974-12-20,0.66,16,-22.38
1974-12-16,0.80,1974-12-20,0.66,4,-17.31
1975-01-15,0.75,1975-03-24,1.02,47,36.07
1975-06-16,1.34,1975-07-07,1.33,14,-0.23
1975-08-28,1.15,1975-09-30,1.15,22,0.27
1975-09-11,1.13,1975-09-30,1.15,13,1.92
1975-09-15,1.12,1975-09-30,1.15,11,2.20
1975-10-03,1.21,1975-10-31,1.30,20,7.67
1975-12-17,1.37,1976-02-27,1.55,49,13.06
1976-03-23,1.55,1976-04-09,1.54,13,-0.60
1976-04-21,1.56,1976-05-13,1.44,16,-7.51
1976-06-11,1.37,1976-07-06,1.40,16,2.26
1976-08-31,1.35,1976-09-27,1.41,18,4.59
1976-10-29,1.31,1976-12-02,1.35,22,3.06
1976-11-10,1.32,1976-12-02,1.35,15,2.58
1976-12-27,1.34,1977-01-25,1.19,21,-11.52
1977-01-07,1.31,1977-01-18,1.25,7,-4.48
1977-02-16,1.15,1977-03-08,1.08,13,-6.17
1977-02-22,1.14,1977-02-23,1.13,1,-1.08
1977-03-03,1.14,1977-03-08,1.08,3,-4.89
1977-03-16,1.12,1977-03-24,1.05,6,-6.32
1977-04-12,1.06,1977-04-22,0.95,8,-9.65
1977-05-09,1.01,1977-05-25,1.02,12,0.30
1977-06-03,1.04,1977-07-12,1.13,26,8.61
1977-09-27,1.22,1977-10-05,1.20,6,-1.27
1977-10-26,1.19,1977-12-06,1.23,28,3.10
1977-11-07,1.16,1977-12-06,1.23,20,5.84
1978-02-24,1.13,1978-03-27,1.12,20,-1.09
1978-03-08,1.12,1978-03-27,1.12,12,0.28
1978-04-14,1.17,1978-05-09,1.21,17,3.44
