Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2005-05-25,7.04,2005-07-06,8.98,28,27.56
2005-07-22,9.89,2005-07-28,9.36,4,-5.36
2005-08-31,8.05,2005-09-28,8.32,19,3.35
2006-03-28,15.75,2006-04-27,18.40,21,16.83
2006-08-16,9.16,2006-09-21,9.34,25,1.97
2006-08-22,9.09,2006-09-21,9.34,21,2.75
2006-08-25,9.06,2006-09-21,9.34,18,3.09
2006-08-29,9.63,2006-09-21,9.34,16,-3.01
2006-11-20,10.92,2006-12-28,11.00,26,0.73
2006-11-29,10.55,2006-12-28,11.00,20,4.27
2007-04-16,13.40,2007-04-17,13.00,1,-2.99
2007-08-01,17.98,2007-09-14,20.26,31,12.68
2007-12-05,19.45,2007-12-17,19.64,8,0.98
2008-02-11,16.54,2008-05-22,23.05,71,39.36
2008-02-26,16.34,2008-05-22,23.05,61,41.06
2008-07-08,24.61,2008-07-11,22.92,3,-6.87
2008-08-01,23.70,2008-08-18,24.04,11,1.43
2008-09-02,25.16,2008-09-03,23.82,1,-5.33
2008-10-28,15.74,2008-11-13,12.13,12,-22.94
2008-12-11,9.56,2009-01-12,11.90,20,24.48
2009-01-26,12.47,2009-01-30,12.15,4,-2.57
2009-03-06,12.91,2009-04-15,15.99,27,23.86
2009-08-14,22.91,2009-08-27,22.54,9,-1.62
2009-09-03,22.72,2009-09-25,22.95,15,1.01
2009-11-11,20.60,2009-12-31,23.97,34,16.36
2009-11-13,20.53,2009-12-31,23.97,32,16.76
2010-02-11,21.25,2010-05-04,22.90,56,7.76
2010-02-24,20.83,2010-02-26,20.31,2,-2.50
2010-03-01,20.85,2010-05-04,22.90,45,9.83
2010-03-17,21.56,2010-05-04,22.90,33,6.22
2010-06-15,19.81,2010-06-22,18.99,5,-4.14
2010-07-12,18.77,2010-07-29,18.23,13,-2.88
2010-08-25,17.55,2010-09-22,15.70,19,-10.54
2010-09-02,17.36,2010-09-10,16.23,5,-6.51
2010-09-13,17.10,2010-09-22,15.70,7,-8.19
2010-09-28,16.80,2010-10-20,15.22,16,-9.40
2010-10-12,16.86,2010-10-19,15.71,5,-6.82
2010-10-26,16.08,2010-11-04,15.40,7,-4.23
2010-11-10,16.33,2010-12-15,16.30,24,-0.18
2011-02-04,15.64,2011-02-23,14.90,12,-4.73
2011-02-25,15.41,2011-03-07,14.39,6,-6.62
