Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1986-07-16,0.10,1986-07-30,0.10,10,-0.86
1986-08-12,0.10,1986-08-29,0.10,13,-3.39
1986-09-04,0.10,1986-09-12,0.10,6,-3.42
1986-09-17,0.10,1986-12-15,0.16,62,55.93
1986-10-06,0.11,1986-12-15,0.16,49,50.82
1987-06-29,0.36,1987-07-07,0.31,5,-13.43
1987-07-14,0.36,1987-09-18,0.40,47,9.52
1987-07-28,0.35,1987-08-03,0.32,4,-7.79
1987-08-06,0.35,1987-09-18,0.40,30,13.86
1987-09-23,0.42,1987-10-16,0.45,17,7.47
1987-11-12,0.35,1988-01-20,0.38,46,8.00
1987-11-18,0.33,1987-11-30,0.31,7,-6.77
1987-11-23,0.33,1987-12-01,0.30,5,-8.38
1987-12-08,0.33,1988-01-20,0.38,29,13.68
1988-02-11,0.38,1988-03-18,0.40,25,6.39
1988-05-03,0.39,1988-05-23,0.38,14,-2.65
1988-05-24,0.39,1988-07-12,0.46,33,15.64
1988-08-29,0.36,1988-10-25,0.35,40,-3.12
1988-09-06,0.36,1988-10-25,0.35,35,-2.88
1988-10-17,0.36,1988-10-25,0.35,6,-2.88
1988-12-01,0.34,1988-12-12,0.33,7,-3.32
1988-12-13,0.33,1989-01-17,0.36,23,7.85
1989-04-06,0.36,1989-05-04,0.36,20,2.44
1989-04-14,0.35,1989-05-04,0.36,14,3.45
1989-05-10,0.38,1989-06-13,0.40,23,6.02
1989-07-10,0.38,1989-08-16,0.39,27,1.82
1989-07-18,0.37,1989-08-16,0.39,21,4.44
1989-07-27,0.37,1989-08-16,0.39,14,3.95
1989-12-22,0.60,1990-01-15,0.60,14,0.44
1990-08-28,0.87,1990-10-10,0.83,30,-5.37
1990-09-14,0.83,1990-10-10,0.83,18,-0.42
1990-10-19,0.86,1991-01-07,1.04,53,20.77
1991-03-26,1.46,1991-04-19,1.49,17,2.02
1991-05-09,1.47,1991-06-19,1.44,28,-2.25
1991-05-21,1.42,1991-06-19,1.44,20,1.35
1991-07-15,1.46,1991-09-05,1.68,37,15.21
1991-07-26,1.48,1991-09-05,1.68,28,13.38
1992-02-26,2.54,1992-03-06,2.46,7,-3.07
1992-04-15,2.68,1992-04-20,2.46,2,-8.34
1992-05-19,2.39,1992-06-09,2.40,14,0.44
1992-07-14,2.22,1992-08-06,2.23,17,0.53
