Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1988-12-19,6.28,1988-12-27,5.62,5,-10.45
1989-01-03,6.00,1989-01-10,5.34,5,-10.94
1989-02-03,5.16,1989-03-01,3.56,17,-30.91
1989-03-15,4.31,1989-03-23,3.84,6,-10.87
1989-04-25,2.25,1989-05-16,2.44,15,8.33
1989-10-12,2.91,1989-11-07,3.00,18,3.23
1990-03-05,1.78,1990-06-01,2.34,62,31.58
1991-01-10,3.38,1991-03-27,5.44,53,61.11
1991-06-28,6.47,1991-09-13,6.66,53,2.90
1992-01-29,5.16,1992-02-03,4.12,3,-20.00
1992-02-19,4.69,1992-05-15,4.12,61,-12.00
1992-04-23,4.12,1992-05-15,4.12,16,0.00
1992-10-19,1.50,1992-12-15,1.88,40,25.00
1992-10-21,1.50,1992-12-15,1.88,38,25.00
1992-11-25,1.50,1992-12-15,1.88,13,25.00
1993-03-24,1.41,1993-04-27,1.31,23,-6.67
1993-04-26,1.41,1993-04-27,1.31,1,-6.67
1993-11-08,0.70,1993-11-22,0.66,10,-6.67
1994-06-24,0.94,1994-07-18,0.75,15,-20.00
1994-07-21,0.84,1994-08-17,0.94,19,11.11
1994-10-27,0.84,1994-11-07,0.84,7,0.00
1995-10-18,1.31,1995-10-31,1.22,9,-7.14
1995-12-13,1.12,1996-01-04,1.03,14,-8.33
1997-02-04,1.62,1997-02-11,1.47,5,-9.62
1997-02-25,1.53,1997-03-05,1.50,6,-2.04
1997-05-21,1.22,1997-08-19,2.94,62,141.03
1997-12-12,3.12,1997-12-26,3.00,9,-4.00
1998-05-04,4.81,1998-05-07,4.47,3,-7.14
1998-06-11,4.25,1998-07-09,4.33,19,1.84
1998-09-18,3.42,1998-10-07,2.88,13,-15.98
1998-10-21,3.39,1998-10-29,2.94,6,-13.36
1999-03-25,3.05,1999-04-22,2.95,19,-3.08
1999-07-13,2.78,1999-08-04,2.97,16,6.74
1999-08-23,2.98,1999-09-20,3.19,19,6.81
1999-11-04,2.66,1999-12-03,2.62,20,-1.18
1999-11-16,2.69,1999-12-03,2.62,12,-2.33
2000-01-25,2.50,2000-03-01,2.73,25,9.38
2000-04-10,2.75,2000-04-17,2.62,5,-4.55
2000-12-07,7.03,2001-01-16,9.05,25,28.67
2001-04-12,8.12,2001-05-21,11.16,26,37.38
2001-10-10,9.35,2001-11-08,10.19,21,8.98
2002-08-08,15.89,2002-09-03,16.69,17,5.03
2002-10-15,17.86,2002-11-07,17.99,17,0.70
2003-03-13,16.00,2003-05-19,19.66,46,22.84
2003-08-12,22.76,2003-08-14,21.34,2,-6.22
2003-08-19,22.27,2003-09-10,22.38,15,0.45
2004-05-05,34.92,2004-05-07,31.15,2,-10.78
2004-05-24,32.67,2004-06-14,32.47,13,-0.60
2004-08-10,32.18,2004-10-05,37.38,39,16.14
2005-04-08,60.86,2005-04-15,58.85,5,-3.30
2005-09-01,78.94,2005-09-20,74.00,12,-6.26
2005-11-02,66.48,2005-11-08,58.27,4,-12.35
2006-02-16,59.26,2006-02-28,58.53,7,-1.23
2006-03-17,59.02,2006-03-21,56.07,2,-5.00
2006-06-29,48.45,2006-07-10,44.95,6,-7.22
