Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1996-11-06,11.00,1996-11-13,10.38,5,-5.68
1996-11-26,10.62,1996-12-23,9.25,18,-12.94
1996-12-27,10.12,1997-03-03,11.38,44,12.35
1997-01-09,10.25,1997-03-03,11.38,36,10.98
1997-02-04,10.75,1997-03-03,11.38,18,5.81
1997-05-05,8.50,1997-06-09,9.50,24,11.76
1997-07-24,9.81,1997-08-04,9.00,7,-8.28
1997-08-07,9.12,1997-08-18,8.25,7,-9.59
1997-09-15,9.50,1997-10-23,10.50,28,10.53
1997-11-19,9.38,1997-12-12,7.62,16,-18.67
1998-01-02,8.31,1998-01-26,8.38,15,0.75
1998-01-29,8.81,1998-02-02,8.12,2,-7.80
1998-02-17,8.88,1998-02-24,8.38,5,-5.63
1998-03-02,8.38,1998-03-25,7.69,17,-8.21
1998-03-31,8.12,1998-04-16,7.75,11,-4.62
1998-04-17,8.25,1998-04-24,8.06,5,-2.27
1998-05-06,8.12,1998-05-28,8.31,15,2.31
1998-07-10,8.00,1998-07-13,7.25,1,-9.38
1998-07-17,7.88,1998-07-31,7.00,10,-11.11
1998-07-27,7.62,1998-07-31,7.00,4,-8.20
1998-09-11,5.50,1998-10-02,5.50,15,0.00
1998-10-08,5.88,1998-11-19,6.75,30,14.89
1998-10-22,5.62,1998-11-19,6.75,20,20.00
1998-12-29,6.88,1998-12-30,5.97,1,-13.18
1998-12-31,6.88,1999-02-24,5.62,36,-18.18
1999-01-11,6.75,1999-02-11,5.88,22,-12.96
1999-02-19,6.50,1999-02-24,5.62,3,-13.46
1999-03-15,6.31,1999-03-25,5.50,8,-12.87
1999-05-06,4.62,1999-06-01,4.88,17,5.41
1999-06-29,5.00,1999-07-08,4.88,6,-2.50
1999-07-15,5.00,1999-07-20,4.31,3,-13.75
1999-08-11,4.47,1999-10-13,5.56,44,24.48
1999-08-17,4.25,1999-10-13,5.56,40,30.88
1999-08-19,4.25,1999-08-24,4.06,3,-4.41
1999-08-25,4.25,1999-10-13,5.56,34,30.88
2000-04-28,21.25,2000-07-25,36.25,60,70.59
