Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1973-07-23,2.23,1973-08-02,2.10,8,-5.94
1973-08-30,2.10,1973-10-10,2.27,28,7.81
1974-01-03,1.66,1974-03-28,1.42,59,-14.15
1974-03-13,1.61,1974-03-28,1.42,11,-11.65
1974-05-09,1.23,1974-07-02,1.05,37,-14.01
1974-05-31,1.20,1974-06-19,1.12,13,-6.49
1974-07-17,1.11,1974-08-23,0.98,27,-11.97
1974-09-19,1.00,1974-10-21,1.03,22,3.12
1974-10-31,1.09,1974-12-03,0.95,22,-12.86
1974-12-19,1.00,1975-03-03,1.34,49,34.38
1975-01-02,1.01,1975-03-03,1.34,41,33.33
1975-04-03,1.37,1975-07-02,1.55,63,13.14
1975-04-17,1.31,1975-07-02,1.55,53,17.86
1975-05-08,1.28,1975-07-02,1.55,38,20.73
1975-08-28,1.35,1975-11-21,1.62,60,19.65
1975-09-08,1.35,1975-09-10,1.30,2,-4.05
1975-09-19,1.34,1975-11-21,1.62,45,20.35
1975-12-16,1.60,1976-01-16,1.68,21,4.88
1976-02-19,1.62,1976-03-03,1.53,9,-5.77
1976-03-24,1.52,1976-05-18,1.40,38,-7.73
1976-04-13,1.53,1976-05-17,1.46,23,-4.59
1976-06-07,1.43,1976-10-01,1.64,82,14.75
1976-08-06,1.52,1976-10-01,1.64,39,7.69
1976-09-01,1.53,1976-10-01,1.64,21,7.14
1976-11-16,1.57,1976-12-29,1.70,29,8.46
1977-01-24,1.72,1977-02-24,1.50,22,-12.73
1977-03-08,1.57,1978-08-23,1.80,369,14.43
1977-04-01,1.57,1978-08-23,1.80,351,14.43
1977-04-28,1.56,1978-08-23,1.80,333,15.00
1977-09-28,1.59,1978-02-22,1.52,101,-4.90
1977-11-08,1.59,1978-02-22,1.52,72,-4.90
1978-02-03,1.58,1978-02-22,1.52,12,-3.96
1978-03-07,1.56,1978-08-23,1.80,118,15.00
1978-03-28,1.57,1978-04-03,1.53,4,-2.49
1978-04-11,1.56,1978-08-23,1.80,94,15.00
1978-09-08,1.80,1978-10-17,1.71,27,-4.78
1978-11-17,1.67,1979-10-10,1.56,225,-6.54
1979-01-03,1.67,1979-09-19,1.62,180,-3.27
1979-04-17,1.73,1979-05-02,1.66,11,-4.07
1979-05-16,1.67,1979-09-19,1.62,87,-3.27
1979-05-29,1.67,1979-09-06,1.64,70,-1.87
1979-06-04,1.68,1979-09-06,1.64,66,-2.33
1979-08-08,1.70,1979-09-06,1.64,20,-3.67
1979-09-26,1.64,1979-10-10,1.56,10,-4.76
1979-10-04,1.64,1979-10-10,1.56,4,-4.76
1979-10-30,1.57,1980-01-29,1.48,62,-5.97
1979-11-01,1.57,1979-11-07,1.55,4,-1.49
1979-11-06,1.56,1979-11-07,1.55,1,-1.00
1979-11-12,1.55,1980-01-21,1.52,47,-2.51
1979-11-21,1.55,1980-01-21,1.52,40,-2.51
1979-11-26,1.55,1980-01-29,1.48,44,-5.03
1980-01-04,1.58,1980-01-21,1.52,11,-3.96
1980-03-11,1.38,1980-05-09,1.65,42,19.89
1980-08-21,1.71,1980-11-10,1.62,55,-5.48
1980-09-02,1.69,1980-09-29,1.64,19,-2.78
1980-09-17,1.70,1980-09-29,1.64,8,-3.23
1980-10-06,1.74,1980-11-26,1.61,36,-7.62
1980-11-05,1.67,1980-11-10,1.62,3,-3.27
1980-11-13,1.66,1980-11-28,1.59,10,-4.69
1980-12-18,1.59,1981-05-04,1.71,93,7.88
