Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1981-07-24,0.17,1981-08-05,0.16,8,-7.95
1981-08-13,0.16,1981-08-18,0.15,3,-8.33
1981-09-02,0.15,1981-09-08,0.14,3,-3.90
1981-09-10,0.15,1981-09-25,0.15,11,-2.60
1981-10-02,0.15,1981-12-18,0.22,54,43.59
1981-10-12,0.15,1981-12-18,0.22,48,41.77
1982-02-17,0.22,1982-02-23,0.22,4,-1.33
1982-02-25,0.22,1982-03-09,0.20,8,-10.13
1982-03-22,0.22,1982-04-26,0.23,24,4.95
1982-05-05,0.23,1982-05-19,0.23,10,-0.84
1982-08-18,0.27,1982-10-04,0.35,32,26.43
1982-11-26,0.38,1982-12-15,0.38,13,0.26
1983-02-11,0.34,1983-02-24,0.30,8,-11.05
1983-03-25,0.25,1983-05-13,0.30,34,18.60
1983-07-20,0.27,1983-07-28,0.26,6,-5.00
1983-08-15,0.28,1983-08-18,0.27,3,-3.50
1983-09-06,0.27,1983-09-13,0.25,5,-7.19
1983-09-19,0.27,1983-09-27,0.27,6,-1.44
1983-11-14,0.28,1983-11-17,0.26,3,-6.94
1983-12-21,0.23,1984-01-11,0.23,13,0.00
1984-01-03,0.23,1984-01-11,0.23,6,0.00
1984-03-19,0.19,1984-04-03,0.17,11,-7.29
1984-03-28,0.18,1984-04-03,0.17,4,-4.30
1984-05-02,0.16,1984-05-21,0.16,13,-3.57
1984-05-22,0.16,1984-05-23,0.16,1,-2.44
1984-06-08,0.16,1984-07-18,0.14,27,-12.05
1984-08-07,0.14,1984-09-05,0.16,20,10.96
1984-10-17,0.13,1984-10-26,0.12,7,-8.95
1984-11-23,0.12,1984-12-12,0.11,13,-1.69
1984-12-14,0.12,1985-01-15,0.13,20,4.84
1985-03-15,0.14,1985-06-03,0.17,54,19.18
1985-03-19,0.14,1985-03-25,0.13,4,-4.17
1985-04-11,0.14,1985-06-03,0.17,36,20.83
1985-06-21,0.17,1985-06-28,0.17,5,-2.27
1985-09-19,0.19,1985-10-21,0.22,21,14.29
1985-11-22,0.21,1985-11-27,0.21,3,-2.73
1985-12-04,0.21,1986-01-02,0.21,19,3.77
1986-03-04,0.26,1986-03-07,0.25,3,-5.97
1986-03-12,0.27,1986-04-02,0.27,14,0.74
1986-04-18,0.27,1986-04-21,0.27,1,-1.44
1986-05-15,0.25,1986-06-19,0.26,24,3.85
1986-05-23,0.25,1986-06-19,0.26,18,4.65
1986-08-14,0.23,1986-09-12,0.20,20,-12.61
1986-09-08,0.23,1986-09-12,0.20,4,-11.86
1986-10-03,0.20,1986-10-23,0.20,14,-1.92
1987-01-13,0.19,1987-01-19,0.19,4,-2.04
1987-01-27,0.19,1987-02-24,0.21,19,8.16
1987-04-21,0.28,1987-04-24,0.27,3,-3.50
1987-05-14,0.26,1987-05-20,0.24,4,-9.63
1987-05-29,0.26,1987-06-26,0.28,20,5.19
1987-07-08,0.29,1987-08-19,0.32,30,11.64
1987-11-06,0.28,1988-01-05,0.29,39,3.55
1987-11-12,0.26,1987-11-30,0.24,11,-6.72
1987-11-18,0.26,1987-11-30,0.24,7,-7.41
1987-12-08,0.25,1988-01-05,0.29,18,13.18
1988-02-02,0.31,1988-02-25,0.33,16,5.70
1988-04-08,0.38,1988-04-14,0.37,4,-1.56
1988-06-06,0.38,1988-07-15,0.42,28,10.36
1988-08-09,0.40,1988-08-15,0.37,4,-7.73
1988-08-19,0.40,1988-10-04,0.46,31,15.20
1988-08-31,0.40,1988-10-04,0.46,23,15.76
1989-01-04,0.43,1989-02-10,0.48,27,11.36
1989-01-11,0.41,1989-02-10,0.48,22,15.57
1989-03-06,0.49,1989-05-15,0.59,49,20.32
1989-11-10,0.98,1989-12-01,0.89,14,-9.92
1989-11-27,0.95,1989-12-01,0.89,4,-6.58
1989-12-29,0.83,1990-04-19,1.05,76,25.82
1990-02-14,0.82,1990-04-19,1.05,44,27.32
1990-06-28,1.21,1990-07-27,1.35,20,11.13
1990-09-05,1.11,1990-09-20,1.05,11,-4.59
1990-09-11,1.11,1990-09-20,1.05,7,-4.93
1990-11-02,0.90,1991-01-03,1.19,41,32.03
1991-01-17,1.30,1991-02-15,1.40,21,8.13
1991-04-17,1.44,1991-05-08,1.45,15,0.54
