Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1999-06-09,0.38,1999-06-18,0.34,7,-9.03
1999-06-28,0.36,1999-07-22,0.40,17,11.87
1999-10-06,0.50,1999-10-18,0.42,8,-15.40
1999-10-22,0.45,1999-12-13,0.79,35,75.36
2000-02-10,1.03,2000-03-27,1.81,31,76.78
2000-04-18,1.77,2000-06-28,2.85,49,60.94
2000-07-13,3.10,2000-07-19,2.79,4,-9.92
2000-08-07,2.86,2000-09-08,3.06,23,6.91
2000-09-25,3.15,2000-10-05,3.04,8,-3.55
2000-11-02,2.79,2000-11-09,2.59,5,-7.01
2000-11-14,2.91,2000-11-28,2.14,9,-26.41
2001-01-03,1.63,2001-02-02,1.95,21,19.81
2001-02-15,2.35,2001-02-27,2.08,7,-11.52
2001-03-07,2.17,2001-04-04,2.40,20,10.55
2001-07-27,3.38,2001-08-20,3.47,16,2.70
2001-10-04,2.69,2002-01-10,5.50,67,104.37
2002-01-28,5.67,2002-01-29,5.39,1,-4.90
2002-03-04,4.92,2002-03-20,3.88,12,-21.23
2002-05-08,3.00,2002-06-12,2.33,24,-22.36
2002-05-14,3.10,2002-06-03,2.62,13,-15.28
2002-07-15,1.82,2002-07-25,1.25,8,-31.20
2002-08-19,1.05,2002-10-04,0.68,33,-35.65
2002-09-10,0.88,2002-09-23,0.73,9,-16.65
2002-10-11,0.73,2002-11-08,0.95,20,28.94
2003-01-06,1.11,2003-01-16,0.93,8,-16.08
2003-02-14,1.00,2003-03-31,1.07,30,6.98
2003-08-22,1.52,2003-09-24,1.48,22,-2.63
2003-08-27,1.53,2003-09-24,1.48,19,-3.42
2003-10-16,1.43,2003-12-05,1.70,35,18.78
2003-10-20,1.42,2003-12-05,1.70,33,19.96
2004-02-10,1.95,2004-02-24,1.86,9,-4.52
2004-03-17,1.85,2004-04-15,2.03,20,10.05
2004-05-25,1.84,2004-06-04,1.83,7,-0.63
2004-08-23,1.05,2004-10-08,1.21,33,14.98
2004-08-25,1.06,2004-10-08,1.21,31,14.52
2004-10-26,1.21,2005-01-04,1.87,48,55.07
2005-01-27,1.91,2005-03-08,2.20,27,15.41
2005-05-04,1.87,2005-06-14,2.24,28,20.03
2005-07-28,2.27,2005-10-07,2.75,50,21.23
2005-10-25,2.75,2005-10-26,2.68,1,-2.73
2005-10-31,2.80,2005-12-08,2.99,27,6.80
2006-06-29,3.58,2006-07-10,3.09,6,-13.77
2006-07-24,3.26,2006-10-02,4.81,49,47.44
2007-02-06,5.59,2007-02-21,5.42,10,-2.98
2007-03-22,5.11,2007-05-24,5.52,44,8.19
2007-04-05,5.15,2007-05-24,5.52,34,7.25
2007-08-08,7.60,2007-08-10,7.33,2,-3.51
2007-11-02,9.19,2007-11-07,9.03,3,-1.74
2007-11-29,8.28,2007-12-31,8.51,21,2.72
2008-02-01,6.71,2008-02-15,5.57,10,-17.09
2008-02-12,6.50,2008-02-14,5.65,2,-13.04
2008-03-25,5.08,2008-06-10,5.57,54,9.69
2008-04-09,4.88,2008-04-11,4.63,2,-4.97
2008-04-21,4.97,2008-06-10,5.57,35,12.18
2008-08-06,2.87,2008-09-02,3.08,18,7.22
2008-08-13,3.06,2008-09-02,3.08,13,0.49
2008-09-24,2.81,2008-10-06,1.96,8,-30.22
2008-10-28,2.00,2008-11-20,1.48,17,-26.43
2008-11-07,2.18,2008-11-12,1.83,3,-15.83
2008-11-13,1.99,2008-11-14,1.79,1,-9.70
2008-11-26,1.90,2008-12-24,1.93,19,1.45
2009-01-26,1.99,2009-01-30,1.99,4,-0.25
2009-03-04,2.12,2009-04-27,2.75,37,30.26
2009-05-26,2.59,2009-06-22,2.64,19,1.93
2009-07-15,2.79,2009-08-17,3.21,23,15.34
2009-11-06,3.29,2009-11-27,3.20,14,-2.81
2009-11-30,3.27,2010-01-12,4.42,29,35.30
2010-02-11,4.28,2010-02-19,4.14,5,-3.15
2010-06-17,3.06,2010-06-29,2.62,8,-14.24
2010-07-14,2.76,2010-07-29,2.28,11,-17.23
2010-07-20,2.68,2010-07-29,2.28,7,-14.83
2010-07-26,2.64,2010-07-28,2.53,2,-3.98
2010-08-19,2.47,2010-10-06,2.69,33,9.11
2010-09-02,2.39,2010-10-06,2.69,23,12.64
2011-03-28,4.83,2011-05-13,4.57,33,-5.49
2011-04-14,4.63,2011-05-13,4.57,20,-1.35
2011-05-26,4.71,2011-06-03,4.62,5,-1.91
2011-08-03,3.70,2011-08-04,3.35,1,-9.52
2011-08-23,3.31,2011-09-22,3.38,21,2.12
2011-08-26,3.25,2011-09-22,3.38,18,3.84
2011-10-07,3.54,2011-11-01,3.52,17,-0.64
2012-01-04,3.55,2012-02-27,3.87,36,8.94
2012-01-19,3.59,2012-02-27,3.87,26,7.80
2012-03-27,3.71,2012-04-04,3.66,6,-1.15
2012-05-11,3.30,2012-05-18,3.02,5,-8.55
2012-05-29,3.18,2012-06-04,2.93,4,-7.78
2012-06-12,3.13,2012-07-10,3.21,19,2.48
2012-06-15,3.07,2012-07-10,3.21,16,4.31
2012-07-18,3.27,2012-08-28,3.57,29,9.42
2012-10-04,3.40,2012-10-09,3.22,3,-5.36
2012-11-05,3.25,2012-11-14,2.88,7,-11.37
2012-11-27,3.04,2012-12-24,3.06,19,0.74
2012-12-04,3.02,2012-12-24,3.06,14,1.24
2013-01-25,3.10,2013-01-29,3.08,2,-0.56
2013-04-09,3.16,2013-04-18,3.13,7,-0.71
2013-10-16,3.90,2013-10-23,3.88,5,-0.64
2013-11-08,3.89,2013-11-20,3.80,8,-2.25
2013-12-20,3.92,2014-01-13,3.84,14,-2.10
2014-01-14,3.96,2014-03-13,4.43,40,11.99
2014-02-07,3.97,2014-03-13,4.43,23,11.78
2014-05-12,4.64,2014-06-20,4.73,28,1.88
2014-05-19,4.63,2014-06-20,4.73,23,2.10
2014-07-09,4.78,2014-07-18,4.61,7,-3.51
2014-08-08,4.75,2014-09-12,4.78,24,0.63
2014-09-18,4.86,2014-09-25,4.63,5,-4.78
2014-10-21,4.58,2014-12-10,5.07,35,10.64
2014-12-22,5.20,2014-12-30,5.09,5,-1.97
2015-01-21,5.08,2015-01-27,4.91,4,-3.30
2015-02-03,5.03,2015-03-24,5.60,34,11.39
2015-04-09,5.63,2015-05-05,5.51,18,-2.22
2015-05-27,5.46,2015-06-10,5.37,10,-1.69
2015-06-18,5.49,2015-06-26,5.18,6,-5.47
2015-07-29,4.99,2015-08-21,5.37,17,7.51
2015-08-27,5.66,2015-09-01,5.39,3,-4.73
2016-02-01,7.33,2016-02-05,6.61,4,-9.80
2016-02-17,6.92,2016-04-28,9.05,50,30.87
2016-05-13,10.24,2016-06-24,11.43,29,11.59
2017-03-16,25.95,2017-04-04,25.20,13,-2.92
2017-04-24,25.74,2017-06-27,36.65,45,42.38
2017-07-10,38.42,2017-08-10,41.19,23,7.18
2017-08-14,42.10,2017-09-08,40.92,18,-2.80
2017-12-22,48.82,2018-02-05,53.42,28,9.44
2018-02-09,58.02,2018-03-01,58.05,13,0.06
2018-03-26,61.12,2018-03-27,56.38,1,-7.76
2018-04-12,58.65,2018-06-21,64.28,49,9.60
2018-04-27,56.58,2018-06-21,64.28,38,13.60
2018-07-10,63.31,2018-08-17,61.21,28,-3.33
2018-08-02,62.65,2018-08-17,61.21,11,-2.31
2018-08-21,63.33,2018-09-12,67.05,15,5.87
2019-01-07,35.85,2019-01-28,34.50,14,-3.76
2019-02-04,37.29,2019-03-06,38.01,21,1.92
2019-06-10,37.11,2019-08-01,41.23,37,11.11
2019-06-13,37.06,2019-06-14,36.16,1,-2.44
2019-06-17,36.26,2019-08-01,41.23,32,13.71
2019-08-19,42.70,2019-09-20,43.17,23,1.12
2020-03-24,62.29,2020-09-08,119.13,116,91.24
2020-11-04,137.94,2020-11-10,127.70,4,-7.43
2020-12-14,133.09,2021-01-06,126.14,15,-5.22
2021-01-05,134.05,2021-01-06,126.14,1,-5.90
2021-01-07,133.44,2021-01-14,132.00,5,-1.08
2021-01-20,133.66,2021-01-27,129.18,5,-3.35
2021-03-22,131.86,2021-04-30,150.10,28,13.83
2021-03-29,129.48,2021-04-30,150.10,23,15.92
2021-05-20,146.12,2021-07-15,189.66,38,29.79
2021-07-29,196.62,2021-07-30,194.99,1,-0.83
2021-08-19,197.98,2021-09-17,219.00,20,10.62
2021-09-23,224.82,2021-09-24,220.81,1,-1.78
2021-10-14,217.46,2021-12-03,306.93,35,41.14
2021-12-27,309.45,2022-01-13,265.75,13,-14.12
2022-02-08,251.08,2022-04-06,244.07,40,-2.79
2022-02-14,242.67,2022-02-18,236.42,4,-2.58
2022-03-16,244.96,2022-04-06,244.07,15,-0.36
2022-05-26,178.51,2022-06-29,155.42,22,-12.93
2022-07-15,157.62,2022-08-09,170.86,17,8.40
2022-10-04,131.67,2022-10-10,116.70,4,-11.37
2022-10-21,124.66,2022-12-16,165.71,39,32.93
2023-01-10,159.09,2023-02-21,206.55,28,29.83
2023-08-21,469.67,2023-09-08,455.72,13,-2.97
2023-10-02,447.82,2023-10-17,439.38,11,-1.88
2023-11-02,435.06,2023-11-30,467.70,19,7.50
2023-12-13,480.88,2024-01-03,475.69,13,-1.08
