Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1981-09-28,0.17,1981-11-16,0.19,35,12.03
1982-01-28,0.19,1982-03-01,0.19,21,-1.64
1982-03-23,0.18,1982-04-01,0.19,7,2.36
1982-06-11,0.20,1982-06-21,0.19,6,-6.13
1982-06-30,0.20,1982-07-29,0.20,20,1.24
1982-12-02,0.22,1982-12-15,0.22,9,-0.85
1983-06-22,0.30,1983-07-08,0.31,11,1.03
1983-08-12,0.29,1983-09-26,0.35,30,18.92
1983-11-15,0.33,1983-12-05,0.31,13,-5.68
1984-01-04,0.29,1984-01-13,0.29,7,-2.35
1984-03-02,0.28,1984-03-07,0.26,3,-4.97
1984-03-19,0.26,1984-03-22,0.25,3,-2.64
1984-04-13,0.24,1984-05-09,0.25,17,2.58
1984-06-18,0.22,1984-07-20,0.21,23,-3.39
1984-06-26,0.22,1984-07-23,0.21,18,-6.78
1984-08-02,0.21,1984-08-23,0.19,15,-11.99
1984-10-11,0.17,1984-10-15,0.13,2,-26.01
1984-11-12,0.12,1985-02-20,0.15,68,22.80
1984-12-24,0.12,1985-01-04,0.12,7,-4.15
1985-01-08,0.12,1985-02-20,0.15,30,22.16
1985-03-22,0.14,1985-03-28,0.14,4,-3.48
1985-05-06,0.13,1985-06-14,0.15,28,13.81
1985-10-03,0.13,1985-10-30,0.13,19,2.48
1985-11-18,0.13,1985-11-20,0.13,2,-1.44
1986-08-28,0.15,1986-09-11,0.15,9,-3.70
1986-09-22,0.15,1986-10-30,0.15,28,-0.83
1986-10-31,0.15,1986-11-14,0.15,10,-2.49
1987-05-29,0.18,1987-07-08,0.20,27,9.00
1987-09-08,0.16,1987-09-22,0.15,10,-5.43
1987-10-05,0.15,1987-10-14,0.14,7,-6.15
1987-11-13,0.12,1988-01-08,0.12,37,-1.04
1988-01-04,0.12,1988-01-08,0.12,4,3.24
1989-06-02,0.21,1989-08-07,0.25,45,18.05
1989-09-25,0.22,1989-10-12,0.21,13,-5.08
1989-10-26,0.21,1990-01-02,0.25,45,17.06
1989-11-15,0.22,1990-01-02,0.25,31,13.71
1990-05-07,0.22,1990-05-24,0.23,13,1.67
1990-08-15,0.27,1990-08-21,0.26,4,-6.64
1990-10-01,0.26,1990-11-01,0.27,23,4.77
1991-01-17,0.31,1991-02-26,0.34,27,9.13
1991-03-22,0.32,1991-04-22,0.32,20,-2.33
1991-04-15,0.32,1991-04-22,0.32,5,-2.70
1991-06-24,0.32,1991-07-25,0.35,22,7.78
1992-03-10,0.41,1992-04-21,0.42,29,1.21
1992-09-29,0.47,1992-10-05,0.46,4,-2.28
1992-11-13,0.44,1992-11-20,0.43,5,-3.66
1993-03-31,0.44,1993-05-12,0.46,29,3.82
1993-06-29,0.43,1993-07-02,0.43,3,-1.30
1993-08-18,0.40,1993-10-05,0.44,33,8.74
1994-06-08,0.50,1994-06-21,0.51,9,1.00
1994-09-09,0.48,1994-10-05,0.45,18,-7.22
1994-10-14,0.47,1994-11-03,0.47,14,-2.11
1994-11-16,0.46,1995-01-19,0.47,43,0.54
1995-04-04,0.49,1995-05-12,0.52,27,5.08
1996-02-20,0.67,1996-03-05,0.68,10,0.37
1996-04-10,0.65,1996-05-21,0.66,29,1.94
1997-08-25,1.02,1997-09-11,0.97,12,-4.89
1997-09-18,1.02,1997-10-23,1.12,25,10.43
1998-03-10,1.51,1998-04-24,1.63,32,7.59
1998-05-20,1.61,1998-06-19,1.49,21,-7.89
1998-07-14,1.44,1998-07-23,1.32,7,-8.15
1998-08-17,1.38,1998-09-21,1.36,24,-1.09
1998-11-02,1.20,1998-11-05,1.08,3,-9.89
1998-11-13,1.15,1999-01-13,1.29,40,11.70
1999-03-29,1.05,1999-04-15,1.06,12,0.36
1999-05-07,1.05,1999-06-01,1.02,16,-2.03
2000-02-08,1.35,2000-02-25,1.34,12,-0.74
2000-12-01,1.99,2000-12-11,1.83,6,-7.87
2001-01-08,1.81,2001-03-13,2.01,44,10.97
2001-04-25,1.94,2001-05-02,1.88,5,-3.10
2001-09-07,2.17,2001-09-21,1.90,6,-12.43
2001-09-27,2.16,2001-10-01,2.04,2,-5.50
2001-11-30,1.94,2002-01-03,1.94,22,-0.05
2002-02-05,1.85,2002-03-05,1.88,19,1.54
2002-05-02,1.66,2002-07-10,1.50,47,-9.67
2002-08-06,1.31,2002-09-12,1.48,26,13.19
2002-10-11,1.36,2002-10-31,1.38,14,1.32
2003-02-06,1.40,2003-04-23,1.71,52,21.81
2003-07-24,1.76,2003-08-01,1.65,6,-6.09
2003-08-06,1.76,2003-08-20,1.71,10,-3.40
2004-11-05,2.66,2004-11-15,2.61,6,-1.95
2005-01-28,2.60,2005-03-23,2.82,37,8.39
2005-05-26,2.62,2005-08-23,2.65,61,1.34
2005-06-17,2.59,2005-08-23,2.65,46,2.47
2005-10-06,2.54,2005-10-18,2.47,8,-2.80
2005-10-27,2.54,2005-11-29,2.67,22,5.28
2006-06-26,3.06,2006-07-18,3.08,15,0.65
2007-03-19,4.30,2007-05-16,5.08,41,18.03
2007-08-03,5.53,2007-08-09,5.38,4,-2.68
2008-01-09,6.47,2008-01-15,6.20,4,-4.20
2008-01-31,6.28,2008-03-14,6.75,30,7.57
2008-05-06,6.91,2008-06-02,6.44,18,-6.78
2008-06-24,6.50,2008-07-03,6.35,7,-2.29
2008-07-31,6.35,2008-08-07,6.18,5,-2.66
2008-09-24,5.36,2008-10-06,4.86,8,-9.19
2008-10-13,5.08,2008-11-12,4.96,22,-2.40
2009-03-17,4.76,2009-04-03,4.42,13,-7.22
2009-04-22,4.60,2009-06-08,5.15,32,11.89
2010-06-02,7.93,2010-06-07,7.69,3,-2.96
2010-09-01,8.78,2010-10-18,9.59,32,9.25
2010-10-20,10.04,2010-11-16,10.28,19,2.32
