Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2004-04-06,11.98,2004-05-14,10.51,27,-12.27
2004-05-25,11.25,2004-07-28,10.00,43,-11.11
2004-08-24,8.80,2004-10-05,7.40,29,-15.91
2004-09-02,8.47,2004-10-05,7.40,22,-12.63
2004-09-09,8.43,2004-10-05,7.40,18,-12.22
2004-10-28,7.25,2005-04-13,6.52,114,-10.07
2005-02-08,8.80,2005-02-16,8.26,6,-6.14
2005-05-27,5.50,2005-10-26,4.45,105,-19.09
2005-08-11,5.47,2005-10-26,4.45,53,-18.65
2005-11-22,4.42,2006-02-27,4.02,64,-9.05
2005-12-13,4.66,2006-01-10,4.16,18,-10.73
2006-02-02,4.85,2006-10-02,3.88,167,-20.00
2006-03-02,4.26,2006-09-28,3.97,146,-6.81
2006-06-30,4.80,2006-10-02,3.88,64,-19.17
2006-07-12,4.75,2006-10-02,3.88,57,-18.32
2006-08-04,4.34,2006-10-20,3.69,54,-14.98
2006-10-16,4.00,2006-10-20,3.69,4,-7.75
2006-11-01,3.90,2007-05-10,11.50,129,194.87
2007-08-23,9.16,2008-01-29,7.41,108,-19.10
2007-10-26,9.99,2007-11-21,8.63,18,-13.61
2007-11-06,9.55,2007-11-21,8.63,11,-9.63
2007-11-23,9.51,2007-12-05,8.15,8,-14.30
2007-12-18,8.98,2008-01-17,7.84,20,-12.69
2008-01-10,8.72,2008-01-25,7.69,10,-11.81
2008-02-13,7.99,2008-03-06,6.72,15,-15.89
2008-04-03,6.35,2008-04-11,5.66,6,-10.87
2008-04-24,5.86,2008-06-11,4.61,33,-21.33
2008-05-06,5.79,2008-06-02,5.08,18,-12.26
2008-07-23,3.29,2008-09-30,2.22,48,-32.52
2008-08-01,3.10,2008-09-16,2.75,31,-11.29
2008-09-19,3.37,2008-10-01,1.97,8,-41.54
2008-10-30,1.24,2009-10-02,2.90,232,133.87
2008-12-03,0.93,2009-10-02,2.90,209,211.83
2009-01-02,0.69,2009-10-02,2.90,189,320.29
2009-03-20,0.69,2009-10-02,2.90,136,320.29
2009-05-14,0.82,2009-07-23,0.59,48,-28.05
2009-07-15,0.77,2009-07-23,0.59,6,-23.38
2009-07-28,0.71,2009-10-02,2.90,47,308.45
2009-11-13,2.59,2010-05-05,6.15,117,137.45
2010-05-13,7.14,2010-06-29,4.85,32,-32.07
2010-06-22,5.99,2010-06-29,4.85,5,-19.03
2010-07-22,4.90,2010-08-16,3.94,17,-19.59
2010-09-13,4.14,2011-04-11,7.83,146,89.13
2010-11-26,5.25,2011-04-11,7.83,93,49.14
2011-02-09,5.48,2011-04-11,7.83,42,42.88
2011-04-26,7.88,2011-08-22,6.28,82,-20.30
2011-06-15,7.19,2011-08-22,6.28,47,-12.66
2011-07-20,9.30,2011-08-05,6.87,12,-26.13
2011-09-14,6.42,2012-10-19,11.54,278,79.75
2011-12-20,7.84,2012-05-03,7.17,92,-8.55
2012-02-23,8.51,2012-04-03,8.10,28,-4.82
2012-04-26,7.76,2012-05-02,7.24,4,-6.70
2012-06-04,6.76,2012-06-26,6.27,16,-7.25
2012-06-20,7.03,2012-06-26,6.27,4,-10.81
2012-06-29,6.74,2012-10-19,11.54,78,71.22
2012-07-19,6.50,2012-10-19,11.54,65,77.54
2012-12-12,10.48,2013-02-21,14.30,47,36.45
2013-08-22,33.90,2018-01-03,75.60,1099,123.01
2014-02-20,44.86,2014-03-10,39.77,12,-11.35
2014-03-04,44.40,2014-03-07,40.79,3,-8.13
2014-03-31,37.52,2018-01-03,75.60,948,101.49
2014-04-08,37.34,2018-01-03,75.60,942,102.46
2014-08-07,48.48,2014-08-13,44.41,4,-8.40
2014-08-22,46.47,2014-09-22,43.07,20,-7.32
2014-10-16,40.87,2016-02-09,36.26,330,-11.28
2015-01-21,49.86,2015-08-24,44.63,149,-10.49
2015-05-21,57.31,2015-07-07,53.66,31,-6.37
2015-07-15,55.77,2015-08-20,49.08,26,-12.00
2015-09-17,46.50,2016-02-05,39.91,97,-14.17
2015-09-29,46.99,2016-01-28,43.40,83,-7.64
2016-02-23,40.99,2018-01-03,75.60,470,84.44
2016-07-07,48.76,2018-01-03,75.60,376,55.05
2016-08-11,52.47,2016-10-27,48.40,54,-7.76
2016-11-09,51.00,2018-01-03,75.60,288,48.24
2017-04-19,69.35,2017-05-02,64.75,9,-6.63
2017-06-07,60.15,2018-01-03,75.60,145,25.69
2017-06-28,60.40,2017-09-14,57.05,54,-5.55
2017-08-30,62.70,2017-09-07,59.15,5,-5.66
2017-09-25,60.50,2018-01-03,75.60,69,24.96
2018-04-16,65.60,2018-05-03,61.20,13,-6.71
2018-05-09,63.90,2019-05-02,111.19,246,74.01
2018-10-22,79.39,2018-10-24,72.84,2,-8.25
2018-11-01,77.84,2019-05-02,111.19,123,42.84
2018-11-27,79.32,2019-05-02,111.19,106,40.18
2019-01-08,83.08,2019-05-02,111.19,79,33.83
2019-06-18,101.89,2019-08-05,97.05,33,-4.75
2019-08-30,98.89,2020-03-09,84.20,130,-14.85
2019-10-21,100.03,2020-03-09,84.20,95,-15.83
