Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2014-10-16,16.76,2014-12-11,25.64,39,52.98
2015-01-22,26.28,2016-02-09,22.50,264,-14.38
2015-07-20,35.73,2015-07-27,31.60,5,-11.56
2015-08-05,37.85,2016-01-27,28.78,120,-23.96
2015-10-05,38.34,2016-01-11,32.96,67,-14.03
2016-02-22,29.27,2017-06-09,65.56,328,123.98
2016-09-22,50.24,2016-11-02,43.70,29,-13.02
2016-11-29,43.72,2017-06-09,65.56,132,49.95
2017-02-09,51.32,2017-06-09,65.56,83,27.75
2017-12-15,81.34,2018-03-23,106.79,66,31.29
2018-05-30,105.02,2018-06-27,97.27,20,-7.38
2018-07-11,106.94,2018-09-19,153.63,49,43.66
2018-11-28,130.05,2019-03-06,175.64,65,35.06
2019-01-07,124.11,2019-03-06,175.64,40,41.52
2019-10-04,214.29,2019-10-22,190.60,12,-11.06
2019-10-25,209.67,2019-12-12,254.48,33,21.37
2020-04-08,202.58,2020-10-30,364.09,143,79.73
2020-09-25,283.70,2020-10-30,364.09,25,28.34
2021-02-02,412.07,2021-02-25,368.31,16,-10.62
2021-03-11,389.84,2021-05-06,327.15,39,-16.08
2021-06-08,326.32,2021-09-10,475.63,66,45.76
2021-12-23,423.83,2022-01-05,360.94,8,-14.84
2022-02-01,338.05,2022-03-08,294.58,24,-12.86
2022-02-08,335.01,2022-03-07,301.34,18,-10.05
2022-02-25,335.64,2022-03-07,301.34,6,-10.22
2022-03-16,327.22,2022-04-27,282.31,29,-13.72
2022-05-04,328.20,2022-05-11,266.14,5,-18.91
2022-05-27,294.28,2022-08-26,360.60,62,22.54
2022-06-23,286.14,2022-08-26,360.60,45,26.02
2022-10-04,349.62,2022-10-12,311.37,6,-10.94
2022-10-25,337.16,2022-11-07,296.21,9,-12.15
2022-11-10,329.75,2023-01-06,286.65,38,-13.07
2023-01-13,304.46,2023-03-10,273.28,38,-10.24
2023-03-29,285.87,2023-05-11,265.31,30,-7.19
2023-05-18,282.25,2023-08-02,299.62,51,6.15
2023-08-29,293.04,2023-09-18,276.10,13,-5.78
2023-10-06,270.28,2023-10-25,248.08,13,-8.21
2023-11-28,178.26,2024-05-31,145.32,127,-18.48
2024-03-11,184.50,2024-05-02,166.72,37,-9.64
2024-05-16,181.07,2024-05-30,158.95,9,-12.22
