Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2016-02-17,44.52,2016-08-24,70.74,132,58.89
2016-03-14,46.33,2016-08-24,70.74,114,52.69
2016-05-25,52.39,2016-08-24,70.74,63,35.03
2016-11-17,68.60,2017-11-24,104.90,256,52.92
2016-12-07,65.20,2017-11-24,104.90,243,60.89
2017-08-08,84.10,2017-11-24,104.90,76,24.73
2018-01-22,94.50,2018-03-27,115.75,45,22.49
2018-02-15,98.20,2018-03-27,115.75,27,17.87
2018-07-23,143.05,2018-08-08,124.65,12,-12.86
2018-08-29,134.75,2018-12-19,118.24,77,-12.25
2018-11-01,141.16,2018-11-19,123.35,12,-12.62
2018-11-29,137.73,2018-12-17,118.68,11,-13.83
2019-01-08,123.51,2020-08-26,230.00,412,86.22
2019-03-13,148.71,2019-05-13,124.65,42,-16.18
2019-05-08,135.25,2020-08-26,230.00,329,70.06
2019-05-14,133.79,2020-08-26,230.00,325,71.91
2019-09-03,146.56,2019-09-05,134.00,2,-8.57
2019-09-11,146.43,2020-03-23,124.34,133,-15.09
2019-10-04,146.07,2020-03-23,124.34,116,-14.88
2019-12-26,164.63,2020-03-16,140.88,54,-14.43
2020-01-10,161.95,2020-03-16,140.88,44,-13.01
2020-03-26,159.08,2020-08-26,230.00,106,44.58
2020-10-07,197.90,2020-11-23,254.71,33,28.71
2021-01-06,189.71,2021-03-03,269.29,38,41.95
2021-04-01,274.31,2021-05-12,247.81,28,-9.66
2021-06-02,253.56,2022-01-18,223.73,159,-11.76
2021-07-30,266.23,2021-11-29,245.89,84,-7.64
2021-08-20,261.30,2021-12-01,243.51,71,-6.81
2021-10-14,269.71,2021-11-26,250.16,30,-7.25
2021-12-08,261.58,2022-01-18,223.73,27,-14.47
2022-02-08,225.40,2022-03-11,192.20,22,-14.73
2022-02-25,222.92,2022-03-11,192.20,10,-13.78
2022-03-17,210.56,2022-04-26,179.64,27,-14.68
2022-05-27,149.38,2022-06-13,125.43,10,-16.03
2022-06-02,146.00,2022-06-09,133.74,5,-8.40
2022-07-07,133.68,2022-09-22,180.39,54,34.94
2022-07-21,129.50,2022-09-22,180.39,44,39.30
2022-11-07,178.16,2023-01-05,220.77,40,23.92
2023-03-14,259.36,2023-05-23,305.72,49,17.87
2023-08-29,259.01,2023-09-27,240.69,20,-7.07
2023-11-13,208.80,2024-06-18,176.03,149,-15.69
2024-03-05,256.49,2024-03-15,222.15,8,-13.39
2024-05-06,211.62,2024-05-23,190.69,13,-9.89
2024-07-11,186.29,2024-07-31,167.09,14,-10.31
