Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1972-09-29,1.54,1972-10-02,1.52,1,-1.65
1972-10-23,1.52,1972-12-04,1.62,28,6.55
1973-01-02,1.63,1973-01-10,1.56,6,-4.13
1973-01-17,1.61,1973-01-24,1.59,5,-1.15
1973-02-16,1.56,1973-03-22,1.55,23,-0.89
1973-03-05,1.55,1973-03-22,1.55,13,-0.30
1973-04-10,1.57,1973-05-01,1.55,14,-1.47
1973-04-19,1.56,1973-05-01,1.55,7,-0.89
1973-05-24,1.57,1973-05-30,1.53,3,-2.07
1973-06-08,1.52,1973-07-20,1.50,29,-1.37
1973-06-12,1.56,1973-06-19,1.47,5,-5.51
1973-06-27,1.52,1973-07-20,1.50,16,-1.37
1973-07-12,1.50,1973-07-20,1.50,6,0.00
1973-08-29,1.52,1973-10-10,1.58,29,3.65
1973-09-06,1.50,1973-10-10,1.58,24,5.08
1973-12-26,1.25,1974-02-05,1.14,28,-8.69
1974-02-19,1.16,1974-03-15,1.16,18,0.00
1974-04-16,1.13,1974-04-23,1.10,5,-2.86
1974-04-26,1.11,1974-05-08,1.03,8,-6.68
1974-05-28,1.03,1974-06-21,1.11,18,7.16
1974-09-09,0.78,1974-09-23,0.72,10,-8.28
1974-10-10,0.66,1974-11-13,0.75,24,12.89
1974-12-13,0.72,1975-02-25,0.96,49,33.55
1975-04-09,1.11,1975-05-21,1.22,30,9.81
1975-06-24,1.25,1975-07-02,1.21,6,-3.51
1975-07-10,1.24,1975-07-16,1.22,4,-1.87
1975-08-28,1.11,1975-09-05,1.06,5,-4.80
1975-09-19,1.10,1975-09-23,1.06,2,-4.00
1975-12-16,1.32,1975-12-19,1.28,3,-2.46
1976-03-10,1.35,1976-04-12,1.35,23,0.00
1976-03-24,1.36,1976-04-12,1.35,13,-0.85
1976-06-16,1.35,1976-08-27,1.52,51,12.86
1976-11-01,1.53,1976-11-05,1.45,3,-5.73
1976-11-22,1.49,1976-12-13,1.46,14,-2.17
1976-12-31,1.47,1977-01-26,1.34,18,-8.82
1977-02-16,1.36,1977-03-07,1.33,12,-2.38
1977-02-25,1.36,1977-03-07,1.33,6,-2.21
1977-03-14,1.36,1977-04-22,1.34,28,-1.54
1977-03-29,1.34,1977-03-31,1.32,2,-1.72
1977-04-11,1.35,1977-04-22,1.34,9,-1.20
1977-05-09,1.34,1977-05-17,1.32,6,-1.04
1977-06-02,1.33,1977-06-17,1.29,11,-3.12
1977-07-08,1.31,1977-08-30,1.40,36,7.45
1977-09-30,1.41,1977-10-14,1.39,10,-1.48
1977-10-18,1.40,1977-11-02,1.35,11,-3.96
1977-11-10,1.41,1977-12-06,1.44,17,2.46
1978-02-07,1.44,1978-02-13,1.40,4,-2.88
1978-03-08,1.40,1978-05-23,1.69,53,20.30
1978-07-13,1.63,1978-08-28,1.80,32,10.21
1978-11-22,1.44,1978-12-11,1.44,12,0.00
1979-01-02,1.43,1979-01-19,1.44,13,0.97
1979-03-05,1.34,1979-04-09,1.38,25,2.59
1979-04-24,1.38,1979-04-27,1.36,3,-1.01
1979-05-31,1.29,1979-07-12,1.33,29,3.23
1979-07-26,1.38,1979-08-23,1.51,20,9.05
1979-11-08,1.38,1979-12-18,1.40,27,2.02
1980-01-09,1.40,1980-01-11,1.40,2,-0.50
1980-01-25,1.37,1980-02-15,1.25,15,-8.63
1980-03-21,1.17,1980-04-15,1.21,16,2.96
1980-03-28,1.22,1980-04-15,1.21,11,-0.57
1980-04-23,1.25,1980-05-29,1.39,25,11.11
1980-07-07,1.41,1980-07-17,1.38,8,-2.46
1980-07-24,1.39,1980-08-19,1.49,18,7.50
1980-09-19,1.47,1980-09-23,1.46,2,-0.94
1980-10-20,1.42,1980-10-31,1.41,9,-0.49
1980-11-18,1.40,1980-11-21,1.35,3,-3.96
1980-11-26,1.42,1981-03-27,1.83,83,29.41
1980-12-22,1.42,1981-03-27,1.83,66,29.41
1981-05-19,1.91,1981-06-18,1.94,21,1.82
1981-07-31,1.91,1981-08-17,1.89,11,-1.09
1981-08-19,1.91,1981-09-01,1.83,9,-4.36
1981-09-11,1.84,1981-09-17,1.69,4,-8.30
1981-09-28,1.79,1981-11-05,1.96,28,9.30
1981-12-28,2.03,1982-01-15,1.95,13,-4.10
1982-01-29,2.05,1982-02-09,1.94,7,-5.08
1982-03-18,1.90,1982-04-28,2.11,28,11.36
1982-05-25,2.14,1982-06-01,2.12,4,-0.97
1982-06-10,2.11,1982-07-02,2.12,16,0.33
1982-08-17,2.19,1982-10-18,2.62,43,19.62
1982-11-04,2.51,1982-11-15,2.22,7,-11.63
1982-12-01,2.33,1982-12-14,1.92,9,-17.86
1983-01-06,2.01,1983-03-10,1.94,44,-3.45
1983-02-10,1.93,1983-03-10,1.94,19,0.72
1983-02-24,1.92,1983-03-10,1.94,10,1.45
1983-03-22,2.01,1983-03-28,2.01,4,-0.34
1983-06-22,2.01,1983-07-15,1.92,16,-4.50
1983-07-01,2.00,1983-07-12,1.94,6,-2.78
1983-07-27,1.97,1983-08-15,1.89,13,-3.89
1983-08-02,1.93,1983-08-16,1.88,10,-2.88
1983-08-26,1.90,1983-09-12,1.83,10,-3.30
1983-09-06,1.88,1983-09-12,1.83,4,-2.58
1983-09-20,1.88,1983-09-30,1.88,8,0.37
1983-10-28,1.97,1983-12-01,2.05,23,4.24
1983-12-22,2.08,1984-01-11,2.07,12,-0.67
1984-02-02,2.04,1984-02-06,1.99,2,-2.72
1984-02-23,1.99,1984-03-19,2.03,17,1.74
1984-07-26,2.36,1984-08-15,2.38,14,0.59
1984-09-13,2.46,1984-09-21,2.41,6,-1.98
1984-10-12,2.42,1984-11-16,2.46,25,1.72
1984-11-20,2.47,1984-12-03,2.32,8,-6.18
1984-12-18,2.38,1985-04-16,2.93,81,23.39
1985-01-14,2.33,1985-04-16,2.93,64,25.97
1985-07-12,3.32,1985-07-18,3.29,4,-0.84
1985-08-14,3.22,1985-09-11,3.23,19,0.43
1986-01-28,3.90,1986-02-12,3.88,11,-0.36
1986-05-22,5.13,1986-06-19,5.50,19,7.17
1986-07-24,5.50,1986-07-28,5.35,2,-2.65
1986-08-07,5.27,1986-09-04,4.98,19,-5.53
1986-10-10,4.44,1986-11-04,4.54,17,2.35
1986-11-21,4.67,1986-12-18,4.38,18,-6.25
1987-01-05,4.48,1987-02-09,5.15,25,14.88
1987-05-04,5.40,1987-06-26,6.04,38,11.97
1987-05-21,5.44,1987-06-26,6.04,25,11.11
1987-09-11,6.67,1987-10-06,6.27,17,-5.94
1987-09-22,6.58,1987-10-06,6.27,10,-4.75
1987-11-12,5.44,1988-01-08,5.15,38,-5.36
1987-12-02,5.40,1987-12-10,5.02,6,-6.95
1987-12-14,5.35,1988-01-08,5.15,17,-3.89
1988-01-15,5.69,1988-03-09,5.79,37,1.83
1988-03-29,5.83,1988-04-14,5.83,11,0.00
1988-04-25,5.94,1988-04-29,5.79,4,-2.46
1988-05-13,5.75,1988-06-16,5.98,23,3.99
1988-05-25,5.71,1988-06-16,5.98,15,4.74
1988-07-29,6.02,1988-08-10,5.79,8,-3.81
1988-08-17,5.90,1988-10-12,6.33,39,7.42
1988-08-29,6.00,1988-10-12,6.33,31,5.56
1988-11-29,6.67,1988-12-01,6.48,2,-2.81
1988-12-09,6.62,1989-02-22,6.58,50,-0.63
1989-01-27,6.52,1989-02-22,6.58,17,0.96
1989-03-01,6.71,1989-03-09,6.69,6,-0.31
1989-09-27,9.60,1989-10-13,9.00,12,-6.29
1989-10-17,9.75,1989-10-27,9.96,8,2.14
1989-12-29,10.67,1990-01-04,10.50,3,-1.56
1990-02-06,9.90,1990-04-24,10.83,53,9.47
1990-03-08,9.90,1990-04-24,10.83,32,9.47
1990-08-15,13.15,1990-08-16,12.54,1,-4.60
1990-08-29,12.52,1990-09-24,10.81,17,-13.64
1990-10-01,12.31,1990-10-09,11.50,6,-6.60
1990-10-12,11.88,1990-10-26,11.88,10,0.00
1990-10-18,11.94,1990-10-26,11.88,6,-0.52
1990-10-31,12.00,1990-11-07,11.88,5,-1.04
1991-01-17,13.44,1991-03-11,16.06,36,19.53
1991-05-01,16.44,1991-06-25,14.38,38,-12.55
1991-05-21,16.25,1991-06-03,15.44,8,-5.00
1991-07-09,14.94,1991-08-19,15.38,29,2.93
1991-07-15,14.94,1991-08-19,15.38,25,2.93
1991-07-24,14.81,1991-08-19,15.38,18,3.80
1991-10-14,14.50,1991-10-21,13.94,5,-3.88
1991-10-29,14.25,1991-11-15,14.25,13,0.00
1992-02-20,16.38,1992-04-22,17.19,43,4.96
1992-03-17,16.25,1992-04-22,17.19,25,5.77
1992-05-29,18.25,1992-06-01,18.00,1,-1.37
1992-06-12,18.00,1992-06-22,17.25,6,-4.17
1992-06-29,17.75,1992-07-20,17.81,14,0.35
1992-09-28,18.94,1992-10-06,18.88,6,-0.33
1993-01-15,20.75,1993-02-05,20.25,15,-2.41
1993-03-02,20.25,1993-03-15,20.31,9,0.31
1993-05-05,18.88,1993-06-09,17.44,24,-7.62
1993-05-11,18.62,1993-05-13,18.12,2,-2.68
1993-05-17,18.50,1993-06-07,17.69,14,-4.39
1993-05-19,18.50,1993-06-03,18.00,10,-2.70
1993-06-11,18.25,1993-09-21,19.88,70,8.90
1993-06-17,18.44,1993-09-21,19.88,66,7.80
1993-07-20,18.19,1993-09-21,19.88,44,9.28
1993-10-14,20.25,1993-10-21,19.75,5,-2.47
1993-11-10,19.81,1993-12-31,20.44,35,3.15
1994-01-10,20.44,1994-02-04,19.12,19,-6.42
1994-01-27,20.12,1994-02-04,19.12,6,-4.97
1994-02-16,19.62,1994-03-07,18.75,12,-4.46
1994-02-22,19.81,1994-03-03,19.06,7,-3.79
1994-04-25,18.38,1994-05-05,18.00,7,-2.04
1994-05-17,18.50,1994-05-23,18.06,4,-2.36
1994-07-15,15.62,1994-07-28,14.88,9,-4.80
1994-07-29,15.25,1994-09-09,16.56,29,8.61
1994-10-11,17.38,1994-11-23,17.75,31,2.16
1995-01-25,17.75,1995-03-07,19.19,28,8.10
1995-07-25,22.81,1995-08-16,22.94,16,0.55
1995-09-05,23.12,1995-10-13,25.38,28,9.73
1996-01-12,28.19,1996-02-20,30.38,26,7.76
1996-04-30,31.75,1996-06-04,33.38,24,5.12
1996-08-02,33.50,1996-08-28,30.00,18,-10.45
1996-08-26,31.62,1996-08-29,28.62,3,-9.49
1996-09-13,29.88,1996-11-21,30.38,49,1.67
1996-09-19,30.12,1996-09-27,28.12,6,-6.64
1996-10-16,29.25,1996-11-21,30.38,26,3.85
1996-12-26,29.50,1997-02-05,31.88,28,8.05
1997-03-20,32.62,1997-04-01,31.88,7,-2.30
1997-04-07,32.12,1997-04-11,31.88,4,-0.78
1997-04-29,34.38,1997-05-22,35.50,17,3.27
1997-07-22,38.06,1997-08-08,37.50,13,-1.48
1997-09-03,37.56,1997-10-07,38.75,24,3.16
1997-10-21,40.00,1997-10-22,38.44,1,-3.91
1997-11-17,37.38,1998-01-06,35.19,33,-5.85
1997-12-30,36.69,1998-01-06,35.19,4,-4.09
1998-01-12,35.38,1998-01-27,36.06,10,1.94
1998-02-13,36.50,1998-04-07,42.38,36,16.10
1998-05-20,40.50,1998-06-19,40.44,21,-0.15
1998-09-22,31.38,1998-10-14,30.75,16,-1.99
1998-10-02,30.44,1998-10-14,30.75,8,1.03
1999-01-25,40.25,1999-02-12,37.12,14,-7.76
1999-02-19,39.19,1999-03-02,36.88,7,-5.90
1999-03-05,39.88,1999-03-10,38.06,3,-4.55
1999-04-12,39.50,1999-04-15,37.00,3,-6.33
1999-04-21,38.94,1999-04-23,36.25,2,-6.90
1999-05-13,37.12,1999-07-30,38.94,54,4.88
1999-06-17,36.31,1999-07-30,38.94,30,7.23
1999-06-22,36.06,1999-07-30,38.94,27,7.97
1999-08-10,38.94,1999-08-18,35.75,6,-8.19
1999-10-06,33.19,1999-10-15,32.19,7,-3.01
1999-10-18,32.88,1999-11-01,33.56,10,2.09
1999-11-16,33.75,1999-12-13,35.31,18,4.63
1999-12-27,36.44,1999-12-29,35.56,2,-2.40
2000-02-10,34.62,2000-02-29,32.12,12,-7.22
2000-03-15,33.19,2000-04-19,35.31,25,6.40
2000-07-17,42.88,2000-08-09,44.00,17,2.62
2000-09-12,43.88,2000-09-20,41.62,6,-5.13
2000-09-21,43.38,2000-10-24,46.12,23,6.34
2000-12-07,46.94,2001-01-03,46.50,17,-0.93
2001-02-02,44.99,2001-02-27,46.06,16,2.38
2001-03-08,46.90,2001-03-14,44.27,4,-5.61
2001-04-04,43.90,2001-05-22,43.98,33,0.18
2001-04-24,43.15,2001-05-22,43.98,20,1.92
2001-06-21,45.17,2001-06-29,44.20,6,-2.15
2001-08-10,45.66,2001-09-21,47.00,25,2.93
2001-12-19,49.38,2002-01-07,48.08,11,-2.63
2002-01-15,48.62,2002-01-28,48.63,8,0.02
2002-01-30,48.67,2002-02-07,48.60,6,-0.14
2002-05-31,51.98,2002-06-25,49.03,17,-5.68
2002-07-31,42.94,2002-08-26,42.53,18,-0.95
2002-08-07,41.92,2002-08-26,42.53,13,1.46
2002-09-16,40.95,2002-09-24,36.77,6,-10.21
2002-10-08,41.10,2002-11-04,43.43,19,5.67
2002-12-04,43.37,2002-12-11,43.15,5,-0.51
2002-12-26,42.41,2003-01-07,42.18,7,-0.54
2003-03-13,38.86,2003-04-03,38.17,15,-1.78
2003-04-10,39.79,2003-05-19,42.98,26,8.02
2003-06-30,44.50,2003-07-29,46.00,20,3.37
2003-08-28,44.77,2003-10-27,47.57,41,6.25
2004-01-05,47.25,2004-01-08,46.01,3,-2.62
2004-01-22,46.54,2004-03-11,51.70,34,11.09
2004-06-02,54.26,2004-06-25,54.00,16,-0.48
2004-08-04,51.96,2004-08-25,49.00,15,-5.70
2004-08-11,51.77,2004-08-17,50.32,4,-2.80
2004-09-02,50.62,2004-09-24,48.32,15,-4.54
2004-09-09,50.30,2004-09-15,49.50,4,-1.59
2004-10-01,50.08,2004-11-29,50.45,40,0.74
2004-10-18,48.99,2004-11-29,50.45,29,2.98
2004-10-27,49.65,2004-11-29,50.45,22,1.61
2004-12-02,51.45,2004-12-03,51.09,1,-0.70
2005-03-30,53.36,2005-05-31,56.26,43,5.43
2005-07-12,54.60,2005-08-04,54.70,17,0.18
2005-08-11,54.71,2005-09-20,54.80,27,0.16
2005-09-27,55.11,2005-11-17,58.24,37,5.68
2006-02-10,57.93,2006-03-21,59.53,26,2.76
2006-04-26,57.86,2006-06-09,59.93,31,3.58
2006-06-22,60.02,2006-08-09,62.84,33,4.70
2006-06-30,60.04,2006-08-09,62.84,27,4.66
2006-10-26,63.82,2006-11-13,61.41,12,-3.78
2006-12-04,62.88,2006-12-14,62.50,8,-0.60
2007-02-16,64.62,2007-02-27,62.76,6,-2.88
2007-03-20,63.40,2007-03-27,62.95,5,-0.71
2007-07-05,65.91,2007-07-19,65.47,10,-0.67
2007-07-23,66.59,2007-07-27,65.66,4,-1.40
2007-10-29,73.70,2007-11-01,72.39,3,-1.78
2008-01-07,77.32,2008-01-14,76.92,5,-0.52
2008-02-11,70.96,2008-04-14,70.95,43,-0.01
2008-03-19,70.18,2008-04-14,70.95,17,1.10
2008-05-22,68.38,2008-06-04,66.67,8,-2.50
2008-06-10,67.58,2008-06-23,64.63,9,-4.37
2008-07-02,65.76,2008-08-26,68.70,38,4.47
2008-07-15,65.57,2008-08-26,68.70,30,4.77
2008-07-22,66.19,2008-08-26,68.70,25,3.79
2008-10-31,57.01,2008-11-20,50.29,14,-11.79
2008-11-07,55.36,2008-11-12,53.10,3,-4.08
2008-11-11,55.08,2008-11-12,53.10,1,-3.59
2008-11-13,55.59,2008-11-19,52.10,4,-6.28
2008-11-24,55.66,2009-01-07,53.89,29,-3.18
2008-12-16,54.21,2009-01-07,53.89,14,-0.59
2009-02-04,51.49,2009-02-10,49.53,4,-3.81
2009-02-12,52.00,2009-02-27,48.14,10,-7.42
2009-02-24,51.68,2009-02-26,49.42,2,-4.37
2009-03-17,49.25,2009-04-14,50.56,19,2.66
2009-05-14,50.87,2009-05-27,50.01,8,-1.69
2010-01-05,61.98,2010-01-21,60.94,11,-1.68
2010-02-02,61.15,2010-02-08,58.96,4,-3.58
2010-02-11,61.19,2010-04-07,65.99,37,7.84
2010-05-03,65.69,2010-05-20,63.86,13,-2.79
2010-05-10,66.41,2010-05-20,63.86,8,-3.84
2010-06-10,63.84,2010-06-25,60.77,11,-4.81
