Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-09-04,0.09,1980-09-09,0.09,3,-1.33
1980-09-15,0.09,1980-09-26,0.09,9,-1.69
1980-10-30,0.09,1980-11-03,0.09,2,-2.02
1980-12-18,0.09,1981-01-21,0.10,22,12.87
1981-02-06,0.11,1981-05-05,0.16,60,50.44
1981-06-10,0.17,1981-07-20,0.20,27,23.14
1981-08-17,0.18,1981-09-16,0.18,21,2.34
1981-10-26,0.18,1981-10-27,0.18,1,-2.27
1982-02-04,0.15,1982-06-01,0.18,80,26.41
1982-07-26,0.18,1982-09-27,0.21,44,14.18
1982-08-17,0.18,1982-09-27,0.21,28,15.91
1982-11-23,0.19,1983-01-26,0.21,44,8.70
1983-04-19,0.23,1983-08-04,0.29,75,24.11
1983-08-23,0.29,1983-10-27,0.33,46,14.39
1983-12-07,0.30,1984-01-16,0.30,26,-2.04
1984-01-23,0.30,1984-01-24,0.29,1,-3.42
1984-02-24,0.27,1984-03-06,0.26,7,-2.66
1984-02-28,0.27,1984-03-05,0.27,4,-2.27
1984-03-01,0.27,1984-03-05,0.27,2,-2.27
1984-04-27,0.25,1984-05-18,0.26,15,2.44
1984-07-27,0.25,1984-09-10,0.29,30,14.75
1984-11-13,0.28,1984-11-21,0.26,6,-8.76
1984-12-10,0.26,1985-01-16,0.29,25,9.38
1985-06-27,0.44,1985-07-26,0.48,20,9.86
1985-08-15,0.48,1985-08-29,0.48,10,-1.27
1985-10-22,0.44,1986-01-09,0.58,54,29.86
1986-04-17,0.80,1986-05-01,0.80,10,0.00
1986-05-22,0.78,1986-06-09,0.82,11,4.53
1986-06-13,0.85,1986-06-18,0.83,3,-1.64
1986-07-23,0.90,1986-09-05,1.01,31,13.18
1986-10-02,0.95,1986-10-31,0.91,21,-4.38
1986-11-26,0.83,1986-12-15,0.83,12,0.84
1986-12-18,0.86,1987-01-29,0.93,28,7.66
1987-03-05,0.88,1987-03-23,0.80,12,-8.73
1987-04-06,0.83,1987-04-21,0.76,10,-8.40
1987-04-27,0.79,1987-05-18,0.77,15,-2.20
1987-06-03,0.80,1987-07-01,0.83,20,3.46
1987-07-20,0.83,1987-09-03,0.91,33,9.66
1987-11-02,0.83,1987-11-30,0.82,19,-1.26
1987-11-11,0.82,1987-11-30,0.82,12,-0.42
1987-12-10,0.83,1987-12-23,0.83,9,-0.83
1988-02-01,0.79,1988-02-18,0.77,12,-2.63
1988-02-26,0.78,1988-03-15,0.78,12,0.00
1988-04-13,0.76,1988-04-21,0.71,6,-6.39
1988-04-26,0.75,1988-05-17,0.76,15,0.46
1988-05-27,0.76,1988-07-05,0.86,25,13.24
1988-08-17,0.84,1988-09-02,0.84,12,-0.82
1988-09-08,0.85,1988-09-21,0.82,9,-3.28
1988-11-23,0.70,1988-12-06,0.67,8,-4.95
1988-12-01,0.69,1988-12-06,0.67,3,-3.52
1988-12-28,0.65,1989-05-04,0.82,88,26.88
1989-01-04,0.63,1989-01-05,0.62,1,-1.10
1989-01-06,0.63,1989-05-04,0.82,82,29.67
1989-06-05,0.78,1989-07-06,0.82,22,4.89
1989-11-29,1.16,1989-11-30,1.14,1,-2.10
1990-01-03,1.08,1990-01-22,1.05,13,-2.90
1990-02-23,0.97,1990-04-06,0.93,30,-4.29
1990-04-18,0.95,1990-07-18,1.23,63,28.73
1990-08-29,1.37,1990-09-24,1.37,17,-0.25
1990-10-22,1.24,1990-10-30,1.22,6,-2.23
1990-11-05,1.25,1991-01-14,1.41,47,12.78
1991-01-31,1.41,1991-03-12,1.64,27,16.26
1991-03-26,1.65,1991-04-11,1.62,11,-1.27
1991-05-23,1.60,1991-06-11,1.58,12,-1.73
1991-07-15,1.51,1991-07-22,1.49,5,-1.83
1991-08-14,1.44,1991-08-23,1.38,7,-4.81
1991-09-19,1.39,1991-10-03,1.28,10,-7.77
1991-09-30,1.34,1991-10-03,1.28,3,-4.91
1991-10-15,1.31,1991-11-18,1.40,24,6.61
1991-12-17,1.39,1992-01-22,1.43,24,2.74
1991-12-19,1.39,1992-01-22,1.43,22,2.74
1992-02-27,1.32,1992-04-08,1.33,29,1.32
1992-03-06,1.30,1992-03-06,1.30,0,0.00
1992-03-12,1.30,1992-04-08,1.33,19,2.95
1992-04-13,1.35,1992-05-14,1.44,22,6.15
1992-06-02,1.49,1992-08-25,1.69,59,13.52
1992-09-16,1.72,1992-11-18,2.22,45,28.63
1993-02-26,2.69,1993-03-16,2.67,12,-0.78
1993-06-01,2.54,1993-08-17,3.20,54,25.82
1993-06-16,2.52,1993-08-17,3.20,43,26.86
1993-09-03,3.19,1993-09-07,3.17,1,-0.65
1993-12-07,3.42,1993-12-27,3.23,13,-5.49
1993-12-30,3.32,1994-01-03,3.30,2,-0.63
1994-02-10,2.96,1994-03-14,2.66,21,-10.21
1994-02-14,2.96,1994-02-17,2.89,3,-2.46
1994-02-18,2.91,1994-02-25,2.84,4,-2.15
1994-02-23,2.92,1994-02-25,2.84,2,-2.50
1994-04-08,2.55,1994-05-04,2.62,17,2.86
1994-05-17,2.68,1994-06-20,2.79,23,4.28
