Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1996-07-15,1.65,1999-05-18,3.46,717,110.00
1996-07-18,1.59,1999-05-18,3.46,714,117.24
1996-11-07,1.69,1999-05-18,3.46,635,104.55
1996-11-13,1.67,1999-05-18,3.46,631,107.24
1996-12-10,1.71,1999-05-18,3.46,613,101.92
1997-04-15,1.89,1997-06-12,1.72,41,-8.72
1997-04-17,1.89,1997-06-12,1.72,39,-8.72
1997-04-30,1.89,1997-06-12,1.72,30,-8.72
1997-07-07,1.95,1999-05-18,3.46,470,76.97
1997-07-17,1.91,1998-10-08,1.79,310,-6.25
1997-07-23,1.87,1998-10-08,1.79,306,-4.04
1997-12-31,2.53,1998-10-08,1.79,194,-29.38
1998-06-08,3.26,1998-07-31,2.94,38,-9.85
1998-07-15,3.19,1998-07-31,2.94,12,-7.99
1998-07-28,3.16,1998-07-31,2.94,3,-7.03
1998-08-18,3.01,1998-08-26,2.67,6,-11.48
1998-09-22,2.54,1998-10-08,1.79,12,-29.61
1998-09-30,2.57,1998-10-05,2.37,3,-7.69
1998-10-21,2.59,1999-05-18,3.46,143,33.33
1998-12-22,3.02,1999-02-17,2.74,37,-9.39
1999-01-12,2.98,1999-02-17,2.74,24,-7.88
1999-02-26,2.84,1999-03-16,2.54,12,-10.43
1999-03-12,2.77,1999-03-16,2.54,2,-8.04
1999-03-26,2.67,1999-05-18,3.46,36,29.63
1999-08-31,4.54,1999-11-17,4.52,55,-0.54
1999-09-22,4.59,1999-11-17,4.52,40,-1.61
1999-11-04,4.57,1999-11-17,4.52,9,-1.08
2000-01-25,4.90,2000-05-22,6.89,82,40.55
2000-03-02,5.14,2000-05-22,6.89,56,34.13
2000-06-28,6.63,2002-03-28,13.96,436,110.50
2000-09-28,8.70,2000-10-17,6.87,13,-21.06
2000-10-31,7.67,2002-03-28,13.96,349,82.03
2001-04-10,9.68,2002-03-28,13.96,239,44.17
2001-04-27,9.36,2002-03-28,13.96,227,49.05
2001-06-29,10.20,2001-09-19,8.91,52,-12.67
2001-10-02,9.95,2002-03-28,13.96,122,40.30
2001-10-05,9.98,2002-03-28,13.96,119,39.87
2001-10-10,9.64,2002-03-28,13.96,116,44.77
2002-01-23,11.93,2002-03-28,13.96,45,16.95
2002-04-09,14.12,2002-06-05,12.46,40,-11.74
2002-06-19,12.71,2002-07-19,10.72,21,-15.63
2002-06-27,12.56,2002-07-10,11.64,8,-7.26
2002-07-05,12.67,2002-07-10,11.64,3,-8.07
2002-07-29,12.00,2003-09-25,18.75,293,56.22
2002-08-08,11.33,2003-09-25,18.75,285,65.48
2002-09-26,12.33,2003-09-25,18.75,251,52.00
2002-10-14,11.97,2003-09-25,18.75,239,56.63
2003-01-10,13.55,2003-01-21,12.66,6,-6.53
2003-02-25,12.20,2003-09-25,18.75,148,53.72
2003-03-13,11.96,2003-09-25,18.75,136,56.80
2004-01-05,22.31,2004-02-04,20.81,21,-6.72
2004-01-26,22.76,2004-01-28,21.26,2,-6.59
2004-02-10,22.17,2004-12-06,31.64,207,42.74
2004-02-17,21.79,2004-12-06,31.64,203,45.18
2004-03-25,24.01,2004-12-06,31.64,176,31.76
2004-08-16,27.73,2004-10-11,25.98,39,-6.30
2004-10-18,27.01,2004-12-06,31.64,34,17.14
2005-02-01,30.25,2005-12-01,38.70,211,27.93
2005-04-19,32.34,2005-12-01,38.70,158,19.67
