Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2012-11-16,28.50,2012-12-07,27.89,14,-2.14
2012-11-20,28.39,2012-12-07,27.89,12,-1.76
2012-12-19,29.37,2012-12-28,28.41,6,-3.27
2013-06-26,45.99,2013-08-15,49.91,35,8.52
2013-08-30,55.21,2013-10-07,60.04,25,8.75
2013-11-22,73.56,2013-12-11,66.99,12,-8.93
2014-05-27,48.89,2014-06-03,40.50,5,-17.16
2014-06-11,44.81,2014-07-08,48.01,18,7.14
2014-07-30,50.39,2014-07-31,47.02,1,-6.69
2014-08-22,43.95,2014-09-22,54.59,20,24.21
2014-10-17,56.58,2014-11-19,63.90,23,12.94
2014-12-23,61.60,2015-01-28,53.41,23,-13.30
2015-02-04,56.19,2015-03-04,63.67,19,13.31
2015-04-07,62.09,2015-05-18,67.03,29,7.96
2015-07-10,71.84,2015-07-27,70.60,11,-1.73
2015-08-17,70.73,2015-08-20,64.39,3,-8.96
2015-10-09,58.21,2015-12-03,58.27,38,0.10
2015-10-16,57.68,2015-10-27,54.64,7,-5.27
2015-10-22,57.06,2015-10-27,54.64,3,-4.24
2015-10-28,57.24,2015-12-03,58.27,25,1.80
2015-12-24,56.78,2016-01-06,55.19,7,-2.80
2016-02-25,38.53,2016-04-12,47.79,32,24.03
2016-05-18,50.21,2016-06-24,54.82,26,9.18
2016-07-08,56.63,2016-08-26,58.52,35,3.34
2016-10-03,61.18,2016-10-12,57.38,7,-6.21
2016-10-20,58.90,2016-11-02,58.82,9,-0.14
2017-01-04,54.84,2017-01-17,53.30,8,-2.81
2017-04-18,61.10,2017-05-18,65.31,22,6.89
2017-07-10,57.62,2017-08-02,58.57,17,1.65
2017-08-16,60.76,2017-08-17,59.16,1,-2.63
2017-10-24,65.41,2018-02-05,89.59,70,36.97
2018-02-14,92.35,2018-03-23,102.45,26,10.94
2018-04-12,106.39,2018-04-24,100.36,8,-5.67
2018-04-27,102.15,2018-05-25,110.26,20,7.94
2018-07-12,105.94,2018-09-17,119.49,46,12.79
2018-07-25,104.04,2018-07-27,101.10,2,-2.83
2018-08-07,103.40,2018-09-17,119.49,28,15.56
2018-11-01,103.02,2018-12-17,100.57,30,-2.38
2018-11-07,101.74,2018-11-19,89.27,8,-12.26
2018-11-28,99.14,2018-12-17,100.57,12,1.44
2018-12-31,104.85,2019-03-04,127.91,42,21.99
2019-03-19,129.55,2019-03-22,125.68,3,-2.99
2019-04-01,126.84,2019-04-18,128.08,13,0.98
2019-05-15,135.00,2019-05-20,134.33,3,-0.50
2019-06-18,120.08,2019-07-31,135.31,30,12.68
2019-09-16,114.82,2019-10-02,115.59,12,0.67
2019-10-24,119.69,2019-11-14,116.99,15,-2.26
2019-11-18,122.79,2020-01-27,153.59,46,25.08
2020-03-26,129.14,2020-06-11,173.74,53,34.54
2020-04-06,118.40,2020-06-11,173.74,46,46.74
2020-08-25,203.62,2020-09-04,200.14,8,-1.71
2020-10-01,192.56,2020-10-28,205.72,19,6.83
2020-11-05,208.98,2020-11-10,187.88,3,-10.10
2020-11-20,198.94,2020-12-03,158.03,8,-20.56
2020-12-22,177.00,2021-02-05,170.24,30,-3.82
2021-01-05,166.72,2021-01-06,161.60,1,-3.07
2021-01-13,170.65,2021-02-05,170.24,16,-0.24
2021-02-01,171.63,2021-02-05,170.24,4,-0.81
2021-03-22,141.17,2021-04-16,134.25,18,-4.90
2021-04-01,138.27,2021-04-16,134.25,10,-2.91
2021-05-24,119.69,2021-07-13,135.53,34,13.23
2021-06-10,120.54,2021-07-13,135.53,22,12.44
2021-10-07,150.08,2021-11-10,164.41,24,9.55
2021-12-23,115.92,2022-01-21,115.28,19,-0.55
2021-12-29,115.50,2022-01-05,112.24,5,-2.82
2022-01-06,114.58,2022-01-21,115.28,10,0.61
2022-01-31,123.92,2022-02-03,114.94,3,-7.25
2022-03-17,122.20,2022-04-08,132.61,16,8.52
2022-05-27,108.50,2022-08-22,106.20,58,-2.12
2022-07-06,94.48,2022-08-22,106.20,33,12.40
2022-07-15,95.42,2022-08-22,106.20,26,11.30
2022-09-12,99.64,2022-09-22,83.28,8,-16.42
2022-10-19,77.08,2022-11-02,76.76,10,-0.42
2022-11-10,81.55,2022-11-17,78.25,5,-4.05
2023-03-31,95.88,2023-04-25,84.72,16,-11.64
2023-04-17,93.19,2023-04-25,84.72,6,-9.09
2023-05-15,88.75,2023-06-23,100.98,27,13.78
2023-08-24,112.83,2023-09-20,119.59,18,5.99
