Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2016-05-20,22.69,2016-08-17,29.63,61,30.59
2016-10-21,29.04,2016-10-28,27.20,5,-6.34
2016-11-15,27.91,2016-11-22,27.34,5,-2.04
2017-01-04,25.15,2017-02-28,28.44,37,13.08
2017-01-09,25.03,2017-02-28,28.44,34,13.62
2017-06-23,36.00,2017-06-29,35.18,4,-2.28
2017-07-07,35.31,2017-07-31,35.82,16,1.44
2017-08-15,36.37,2017-08-21,36.17,4,-0.55
2017-09-14,36.55,2017-09-25,34.23,7,-6.35
2017-09-29,35.15,2017-11-28,51.19,41,45.63
2017-12-26,46.49,2018-02-02,52.72,26,13.40
2018-01-02,47.06,2018-02-02,52.72,22,12.03
2018-02-15,52.92,2018-02-22,52.41,4,-0.96
2018-04-10,56.99,2018-04-24,57.21,10,0.39
2018-05-03,58.49,2018-06-22,64.19,35,9.75
2018-07-06,65.23,2018-07-24,64.49,12,-1.13
2018-11-01,76.75,2018-12-17,79.85,30,4.04
2018-11-07,77.61,2018-11-12,70.80,3,-8.77
2018-11-15,75.75,2018-11-19,69.31,2,-8.50
2018-11-26,76.17,2018-12-17,79.85,14,4.83
2019-05-03,110.41,2019-06-03,117.30,20,6.24
2019-09-18,134.25,2019-10-18,116.86,22,-12.95
2019-10-04,131.87,2019-10-18,116.86,10,-11.38
2019-10-30,124.82,2019-12-02,120.84,22,-3.19
2019-11-08,118.95,2019-12-02,120.84,15,1.59
2019-12-26,121.70,2020-02-21,145.93,38,19.91
2020-03-24,138.20,2020-04-02,129.01,7,-6.65
2020-04-06,136.86,2020-06-04,172.10,41,25.75
2020-07-20,190.32,2020-07-24,184.34,4,-3.14
2020-08-25,172.59,2020-09-08,168.92,9,-2.13
2020-09-22,180.26,2020-10-30,191.62,28,6.30
2020-11-19,199.45,2020-12-28,231.80,25,16.22
2021-01-21,234.18,2021-01-27,217.30,4,-7.21
2021-01-29,231.13,2021-02-22,241.01,15,4.27
2021-03-01,251.50,2021-03-02,244.40,1,-2.82
2021-04-01,223.06,2021-04-29,228.12,19,2.27
2021-05-20,224.66,2021-06-03,221.37,9,-1.46
2021-12-21,380.63,2022-01-05,311.64,10,-18.13
2022-01-28,319.17,2022-02-17,304.00,14,-4.75
2022-03-16,280.96,2022-04-08,272.02,17,-3.18
2022-06-02,196.62,2022-06-30,187.40,19,-4.69
2022-06-21,183.00,2022-06-30,187.40,7,2.40
2022-09-12,264.79,2022-09-13,248.90,1,-6.00
2022-10-04,236.21,2022-10-12,203.37,6,-13.90
2022-11-30,131.55,2023-02-17,168.56,54,28.13
2022-12-08,135.71,2023-01-05,119.97,18,-11.60
2023-01-11,141.78,2023-02-17,168.56,26,18.89
2023-03-31,171.17,2023-04-05,156.99,3,-8.28
2023-05-18,148.08,2023-06-21,168.38,22,13.71
2023-07-05,172.76,2023-07-27,170.56,16,-1.27
2023-10-09,202.58,2023-10-12,186.40,3,-7.99
2023-10-16,196.27,2023-10-25,178.59,7,-9.01
2023-11-14,186.20,2024-01-03,220.05,33,18.18
