Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-11-13,3.12,1980-11-24,2.92,7,-6.34
1980-12-29,2.66,1981-01-13,2.63,10,-0.83
1981-01-19,2.74,1981-02-02,2.74,10,0.00
1981-02-25,2.73,1981-03-30,2.95,23,8.03
1981-07-14,2.53,1981-08-11,2.26,20,-10.82
1981-10-02,1.87,1981-10-26,1.92,16,2.94
1982-01-04,1.94,1982-01-27,1.73,17,-10.73
1982-01-08,1.89,1982-01-12,1.83,2,-2.91
1982-01-28,1.84,1982-02-01,1.80,2,-2.38
1982-03-22,1.53,1982-03-31,1.46,7,-4.32
1982-04-02,1.47,1982-04-23,1.39,14,-5.22
1982-05-12,1.36,1982-07-08,1.25,39,-8.06
1982-05-25,1.33,1982-05-27,1.29,2,-2.48
1982-05-28,1.34,1982-06-11,1.28,9,-4.10
1982-06-23,1.32,1982-07-08,1.25,10,-5.00
1982-07-16,1.27,1982-07-23,1.22,5,-4.31
1982-08-17,1.13,1982-09-13,1.20,18,5.83
1983-01-04,1.43,1983-03-04,2.05,42,43.85
1983-04-12,2.09,1983-04-13,2.00,1,-4.21
1983-08-17,2.75,1983-08-25,2.67,6,-3.19
1983-10-17,2.33,1983-11-02,1.99,12,-14.62
1983-11-09,2.17,1983-12-15,2.52,25,16.16
1984-02-27,2.37,1984-03-20,2.12,16,-10.42
1984-03-13,2.32,1984-03-15,2.19,2,-5.67
1984-04-12,2.02,1984-05-15,2.29,22,13.01
1984-06-19,2.09,1984-07-03,2.07,10,-0.79
1984-07-09,2.11,1984-07-16,2.01,5,-4.69
1984-08-01,2.14,1984-08-30,2.57,21,20.00
1984-10-11,2.55,1984-10-19,2.50,6,-1.94
1984-12-11,2.30,1985-01-09,2.37,19,2.86
1985-03-29,3.06,1985-04-25,3.13,18,2.15
1985-05-10,3.19,1985-05-15,3.09,3,-3.09
1985-10-07,4.12,1985-11-18,4.00,30,-2.99
1985-10-11,4.07,1985-10-22,3.88,7,-4.85
1985-10-29,4.05,1985-11-18,4.00,14,-1.22
1985-12-16,4.35,1985-12-19,4.20,3,-3.41
1986-01-07,4.17,1986-02-25,4.74,34,13.61
1986-04-03,4.72,1986-04-30,5.58,19,18.32
1986-08-12,6.40,1986-08-27,6.05,11,-5.41
1986-09-26,5.68,1987-01-30,6.11,87,7.61
1986-10-23,5.46,1986-11-19,5.04,19,-7.69
1986-12-03,5.33,1987-01-30,6.11,40,14.58
1987-01-05,5.63,1987-01-30,6.11,19,8.55
1987-05-06,7.04,1987-05-15,6.59,7,-6.32
1987-05-22,6.74,1987-07-01,6.93,27,2.75
1987-11-13,4.19,1988-01-08,4.00,37,-4.42
1987-12-16,4.07,1988-01-08,4.00,15,-1.82
1988-02-10,4.00,1988-03-17,4.93,25,23.15
1988-04-26,4.89,1988-05-02,4.78,4,-2.27
1988-06-09,4.59,1988-07-19,5.04,27,9.68
1988-08-01,5.11,1988-09-21,5.63,36,10.14
1988-11-02,5.67,1988-11-04,5.52,2,-2.61
1988-11-30,5.30,1989-01-17,5.70,32,7.69
1988-12-09,5.26,1989-01-17,5.70,25,8.45
1989-04-03,6.63,1989-05-08,7.07,25,6.70
1989-10-19,10.56,1989-10-23,10.22,2,-3.16
1989-11-15,9.81,1989-12-20,8.85,24,-9.81
1990-01-03,9.74,1990-01-22,9.37,13,-3.80
1990-02-07,9.30,1990-03-22,9.63,30,3.59
1990-04-06,9.81,1990-04-18,9.48,7,-3.40
1990-04-24,9.56,1990-05-08,9.48,10,-0.78
1990-05-16,9.59,1990-06-05,9.85,13,2.70
1990-07-13,9.30,1990-07-23,8.74,6,-5.98
1990-08-29,7.48,1990-10-09,6.67,28,-10.89
1990-09-10,7.22,1990-09-28,6.81,14,-5.64
1990-10-18,6.81,1990-11-01,6.70,10,-1.63
1990-11-05,6.89,1990-12-18,8.52,30,23.66
1991-01-16,8.41,1991-02-15,9.07,22,7.93
1991-07-15,11.26,1991-08-06,10.41,16,-7.57
1991-07-26,10.93,1991-08-06,10.41,7,-4.75
1991-08-14,10.85,1991-09-24,11.67,28,7.51
1991-12-02,12.59,1992-01-10,13.52,27,7.35
