Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2008-07-29,18.99,2008-09-16,16.59,34,-12.66
2008-08-11,18.70,2008-09-09,16.87,20,-9.76
2008-10-30,13.56,2009-01-20,10.60,54,-21.81
2008-12-03,13.11,2009-01-20,10.60,31,-19.11
2009-02-02,12.49,2010-03-19,22.21,284,77.79
2009-03-17,13.82,2010-03-19,22.21,254,60.68
2009-07-15,15.66,2010-03-19,22.21,171,41.80
2009-10-08,17.93,2010-03-19,22.21,111,23.85
2010-02-11,21.28,2010-03-19,22.21,25,4.35
2010-06-10,19.36,2010-09-09,16.69,63,-13.78
2010-07-09,19.34,2010-08-20,17.52,30,-9.41
2010-07-22,18.61,2010-08-20,17.52,21,-5.86
2010-08-09,18.68,2010-08-20,17.52,9,-6.21
2010-09-02,18.00,2010-09-09,16.69,4,-7.22
2010-09-20,17.58,2012-03-20,29.13,378,65.72
2010-12-02,19.25,2010-12-16,16.80,10,-12.74
2011-01-06,18.29,2012-03-20,29.13,302,59.25
2011-01-24,17.95,2012-03-20,29.13,291,62.31
2011-02-02,18.02,2012-03-20,29.13,284,61.63
2011-03-28,18.19,2012-03-20,29.13,247,60.16
2011-05-26,19.82,2011-06-09,19.11,9,-3.61
2011-06-29,21.64,2012-03-20,29.13,182,34.60
2011-08-15,21.47,2012-03-20,29.13,150,35.69
2011-08-23,20.94,2012-03-20,29.13,144,39.10
2011-10-10,22.31,2012-03-20,29.13,111,30.55
2011-11-28,23.37,2012-03-20,29.13,77,24.66
2012-05-23,29.79,2012-06-01,28.06,6,-5.81
2012-06-07,29.20,2013-01-28,39.09,159,33.85
2013-03-20,39.83,2013-10-03,47.16,137,18.40
2013-09-06,44.17,2013-10-03,47.16,19,6.78
2013-10-11,48.05,2014-01-24,55.31,71,15.11
2014-02-07,55.44,2014-04-04,51.92,39,-6.35
2014-04-22,52.49,2014-12-12,64.19,164,22.29
2014-05-01,51.52,2014-12-12,64.19,157,24.60
2014-07-01,53.56,2014-10-10,51.24,71,-4.33
2014-08-18,53.58,2014-10-07,52.01,35,-2.93
2014-10-21,53.33,2014-12-12,64.19,37,20.38
2015-02-03,64.95,2017-03-21,88.06,536,35.59
2015-04-08,66.50,2017-03-21,88.06,492,32.42
2015-04-22,68.01,2017-03-21,88.06,482,29.48
2015-07-10,68.42,2017-03-21,88.06,427,28.71
2015-09-16,70.99,2017-03-21,88.06,380,24.05
2015-10-02,70.67,2017-03-21,88.06,368,24.61
2015-12-16,79.86,2016-01-06,75.27,13,-5.75
2015-12-23,78.56,2016-01-04,75.70,6,-3.64
2016-01-29,74.49,2016-02-08,67.77,6,-9.02
2016-02-17,72.03,2017-03-21,88.06,275,22.25
2016-03-16,72.37,2017-03-21,88.06,255,21.68
2016-07-11,76.52,2017-03-21,88.06,175,15.08
2016-11-07,82.51,2016-11-14,78.38,5,-5.01
2016-11-21,81.69,2016-12-01,75.43,7,-7.66
2016-12-08,79.28,2017-03-21,88.06,69,11.07
2016-12-27,78.35,2017-03-21,88.06,57,12.39
2017-12-07,111.40,2018-02-02,120.91,38,8.54
2018-02-15,122.28,2019-05-07,160.21,306,31.02
2018-04-10,120.72,2019-05-07,160.21,270,32.71
2018-07-06,134.09,2018-12-20,128.76,116,-3.97
2018-11-01,140.83,2018-12-20,128.76,33,-8.57
2018-11-28,141.38,2018-12-20,128.76,15,-8.93
2019-01-04,133.65,2019-05-07,160.21,84,19.87
2019-05-15,162.79,2020-01-31,198.97,180,22.22
2019-06-04,162.33,2020-01-31,198.97,167,22.57
2019-08-08,179.90,2020-01-31,198.97,121,10.60
2019-10-04,175.98,2020-01-31,198.97,81,13.06
2019-10-24,176.16,2020-01-31,198.97,67,12.95
2020-03-26,168.88,2020-09-04,204.66,113,21.19
2020-04-06,169.44,2020-09-04,204.66,106,20.79
2020-08-05,196.10,2020-09-04,204.66,22,4.37
2020-10-01,203.35,2020-10-26,193.07,17,-5.06
2020-11-05,197.64,2022-09-27,177.87,475,-10.00
2021-02-04,209.25,2021-12-01,190.16,208,-9.12
2021-04-01,216.86,2021-11-17,205.06,160,-5.44
2021-05-24,229.32,2021-09-20,220.05,82,-4.04
2021-09-23,228.31,2021-10-27,215.78,24,-5.49
2021-10-01,230.46,2021-10-13,222.46,8,-3.47
2021-10-15,230.99,2021-10-27,215.78,8,-6.58
2021-12-07,207.37,2022-06-16,189.05,132,-8.83
2022-01-28,228.00,2022-03-07,190.70,25,-16.36
2022-03-16,211.87,2022-09-22,185.79,131,-12.31
2022-04-28,220.66,2022-05-09,193.00,7,-12.54
2022-05-23,207.56,2022-06-16,189.05,17,-8.92
2022-06-24,205.51,2022-09-22,185.79,62,-9.60
2022-09-12,206.63,2022-09-15,195.37,3,-5.45
2022-10-13,184.66,2024-01-03,257.98,306,39.71
2022-10-17,185.25,2024-01-03,257.98,304,39.26
2023-03-06,226.75,2023-03-10,216.14,4,-4.68
2023-03-21,221.95,2024-01-03,257.98,198,16.23
2023-05-05,231.78,2023-05-24,222.25,13,-4.11
2023-06-15,226.17,2024-01-03,257.98,138,14.06
2023-10-10,236.60,2024-01-03,257.98,58,9.04
2023-10-24,234.65,2023-10-27,229.27,3,-2.29
2023-10-31,235.10,2024-01-03,257.98,43,9.73
2024-04-25,275.16,2024-05-01,267.32,4,-2.85
2024-05-06,272.67,2024-06-28,262.47,37,-3.74
2024-06-06,277.04,2024-06-27,266.59,14,-3.77
2024-06-18,273.62,2024-06-27,266.59,6,-2.57
2024-07-16,269.25,2024-07-24,254.17,6,-5.60
