Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
2011-03-21,31.91,2011-04-28,33.00,27,3.42
2011-08-22,32.83,2011-09-12,33.26,14,1.31
2013-06-17,59.66,2013-06-20,57.70,3,-3.29
2013-11-26,64.89,2013-12-11,64.60,10,-0.45
2014-01-30,64.55,2014-02-05,62.28,4,-3.52
2014-04-30,60.09,2014-05-30,59.19,21,-1.50
2014-10-21,61.09,2014-11-19,62.21,21,1.83
2015-09-08,74.78,2015-10-28,72.66,36,-2.83
2015-11-18,73.33,2015-12-18,75.10,21,2.41
2016-02-24,71.65,2016-04-08,77.58,31,8.28
2017-05-24,80.41,2017-06-09,80.07,11,-0.42
2017-08-31,81.05,2017-09-14,80.69,9,-0.44
2018-02-15,98.23,2018-02-20,97.04,2,-1.21
2018-05-10,105.90,2018-06-21,107.57,29,1.58
2018-10-30,116.91,2018-11-01,115.64,2,-1.09
2019-01-08,111.07,2019-05-13,138.48,86,24.68
2019-11-19,143.98,2019-12-30,147.55,27,2.48
2020-03-04,169.18,2020-03-05,164.97,1,-2.49
2020-03-30,146.87,2020-06-11,162.69,51,10.77
2021-02-09,190.51,2021-02-24,167.53,10,-12.06
2021-03-19,171.87,2021-05-05,172.63,32,0.44
2021-06-14,173.27,2021-09-17,201.10,67,16.06
2022-02-02,200.11,2022-02-23,177.62,14,-11.24
2022-03-09,187.27,2022-04-14,213.30,26,13.90
2022-05-27,178.65,2022-06-10,164.10,9,-8.14
2022-06-23,170.97,2022-08-23,194.46,42,13.74
2022-10-18,173.86,2022-11-02,169.33,11,-2.61
2023-11-08,236.01,2023-12-06,234.86,19,-0.49
