Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1980-11-05,5.42,1980-12-05,6.25,21,15.38
1980-12-31,5.75,1981-01-09,4.54,6,-21.01
1981-03-02,4.08,1981-04-02,4.12,23,1.02
1981-08-14,3.48,1981-08-24,3.15,6,-9.58
1981-10-02,2.98,1981-10-23,2.98,15,0.00
1981-12-02,3.08,1982-01-11,2.71,26,-12.16
1982-01-21,2.83,1982-02-09,2.96,13,4.41
1982-06-11,4.02,1982-07-02,3.90,15,-3.11
1982-08-23,4.27,1982-09-17,4.65,18,8.78
1983-04-13,8.97,1983-07-14,14.75,64,64.46
1983-08-26,14.62,1983-09-12,14.62,10,0.00
1983-11-10,15.38,1983-12-09,16.38,20,6.50
1984-02-24,14.88,1984-03-21,14.44,18,-2.94
1984-04-10,14.56,1984-05-16,16.44,25,12.88
1984-06-01,16.19,1984-06-11,15.62,6,-3.47
1984-06-20,16.00,1984-07-19,13.31,20,-16.80
1984-07-27,14.75,1984-09-07,19.06,29,29.24
1984-10-15,17.81,1984-10-26,15.56,9,-12.63
1984-12-18,14.19,1985-02-14,17.19,40,21.15
1985-01-09,14.19,1985-02-14,17.19,26,21.15
1985-03-19,16.69,1985-04-03,15.94,11,-4.49
1985-05-09,14.69,1985-06-03,13.06,16,-11.06
1985-06-24,13.00,1985-08-09,14.44,33,11.06
1985-09-18,13.56,1985-10-02,12.12,9,-10.60
1985-10-24,12.50,1985-12-23,14.12,41,13.00
1985-11-06,12.38,1985-12-23,14.12,32,14.14
1986-01-16,14.19,1986-01-22,14.00,4,-1.32
1986-04-10,15.00,1986-04-29,14.75,13,-1.67
1986-05-29,13.44,1986-06-06,12.00,6,-10.70
1986-08-08,7.81,1986-09-11,9.00,23,15.20
1986-10-24,7.19,1986-11-18,7.44,17,3.48
1986-10-30,7.06,1986-10-31,6.88,1,-2.65
1986-11-03,7.19,1986-11-18,7.44,11,3.48
1987-01-07,7.25,1987-03-02,10.56,37,45.69
1987-04-03,10.38,1987-05-13,10.88,27,4.82
1987-05-29,10.81,1987-06-16,9.94,12,-8.09
1987-07-31,9.06,1987-09-02,10.31,23,13.79
1987-12-14,5.00,1988-01-11,5.00,18,0.00
1988-02-02,4.88,1988-03-21,6.06,33,24.36
1988-09-09,5.81,1988-09-30,4.62,15,-20.43
1988-10-13,5.25,1988-11-10,4.12,20,-21.43
1988-12-01,4.00,1989-01-16,4.38,30,9.38
1988-12-15,4.12,1989-01-16,4.38,20,6.06
1989-03-09,4.31,1989-04-27,4.44,34,2.90
1989-03-27,4.25,1989-04-27,4.44,23,4.41
1989-08-23,4.31,1989-09-19,4.25,18,-1.45
1989-08-31,4.31,1989-09-19,4.25,12,-1.45
1989-09-12,4.25,1989-09-19,4.25,5,0.00
