Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1997-09-16,29.48,1998-04-22,44.34,150,50.41
1997-11-14,29.70,1998-04-22,44.34,107,49.29
1998-08-18,48.06,1998-08-27,45.06,7,-6.24
1998-09-24,40.58,1999-09-28,37.40,254,-7.84
1998-10-06,40.38,1999-09-27,38.10,245,-5.65
1998-12-24,45.06,1999-09-14,38.86,180,-13.76
1999-06-08,47.88,1999-06-18,45.50,8,-4.97
1999-07-06,45.98,1999-07-26,43.96,14,-4.39
1999-09-17,40.16,1999-09-27,38.10,6,-5.13
1999-10-11,38.90,1999-10-21,36.00,8,-7.46
1999-10-28,39.06,1999-12-09,35.70,29,-8.60
1999-12-31,36.60,2000-01-18,34.00,11,-7.10
2000-01-06,36.08,2000-01-28,33.20,15,-7.98
2000-02-16,33.28,2000-03-09,28.00,15,-15.87
2000-03-15,32.52,2003-12-15,55.26,942,69.93
2000-07-12,35.80,2003-12-15,55.26,860,54.36
2000-07-25,35.68,2003-12-15,55.26,851,54.88
2000-09-26,38.08,2000-10-12,35.68,12,-6.30
2000-10-19,39.16,2003-12-15,55.26,790,41.11
2001-04-05,45.30,2001-09-19,40.96,111,-9.58
2001-06-27,45.04,2001-09-17,42.66,52,-5.28
2001-09-26,45.24,2003-12-15,55.26,559,22.15
2001-11-29,46.68,2002-07-02,43.62,147,-6.56
2001-12-12,46.00,2002-06-28,44.68,136,-2.87
2002-03-15,48.68,2002-06-26,45.04,71,-7.48
2002-04-02,48.14,2002-04-22,46.60,14,-3.20
2002-04-23,47.74,2002-06-25,46.24,44,-3.14
2002-07-29,45.84,2003-12-15,55.26,349,20.55
2002-09-30,49.30,2002-10-09,45.28,7,-8.15
2002-10-15,48.74,2003-01-27,44.70,70,-8.29
2002-12-17,48.00,2003-01-21,45.20,22,-5.83
2003-03-04,42.66,2003-12-15,55.26,199,29.54
2003-04-02,46.40,2003-12-15,55.26,178,19.09
2003-07-14,49.46,2003-12-15,55.26,108,11.73
2003-07-29,48.28,2003-12-15,55.26,97,14.46
2004-05-28,59.44,2004-08-09,55.80,48,-6.12
2004-06-30,59.10,2004-08-03,57.46,23,-2.77
2004-08-18,57.66,2004-10-21,54.34,45,-5.76
2004-11-01,56.18,2005-09-21,53.50,224,-4.77
2005-04-05,58.42,2005-04-20,55.21,11,-5.49
2005-05-04,56.66,2005-09-16,54.50,94,-3.81
2005-05-19,55.86,2005-09-15,54.94,82,-1.65
2005-10-04,54.92,2006-11-28,70.64,290,28.62
2006-02-14,58.54,2006-04-18,57.00,43,-2.63
2006-03-03,58.23,2006-04-18,57.00,31,-2.11
2006-04-26,58.70,2006-11-28,70.64,150,20.34
2006-07-24,60.60,2006-11-28,70.64,89,16.57
2006-10-03,64.79,2006-11-28,70.64,39,9.03
2007-01-30,72.72,2007-02-27,69.58,19,-4.32
2007-02-16,72.40,2007-02-27,69.58,6,-3.90
2007-03-07,71.88,2007-09-17,78.95,134,9.84
2007-07-02,72.49,2007-09-17,78.95,53,8.91
2007-08-06,73.40,2007-09-17,78.95,29,7.56
2007-12-31,94.72,2008-01-09,86.30,6,-8.89
2008-01-22,91.38,2008-05-12,81.90,77,-10.37
2008-03-28,89.04,2008-04-24,84.50,19,-5.10
2008-04-29,87.66,2008-05-09,83.58,8,-4.65
2008-05-27,85.90,2008-06-27,80.33,23,-6.48
2008-08-01,77.74,2008-10-27,70.40,60,-9.44
2008-11-03,77.20,2008-11-19,55.66,12,-27.90
2008-11-28,69.98,2009-02-20,47.74,56,-31.78
2009-01-02,66.46,2009-01-20,57.66,11,-13.24
2009-03-10,55.10,2009-08-17,64.60,111,17.24
2009-06-30,57.92,2009-08-17,64.60,33,11.53
2009-07-14,57.40,2009-08-17,64.60,24,12.54
2010-01-04,66.22,2010-01-15,64.94,9,-1.93
2010-01-19,66.64,2010-03-24,81.44,45,22.21
2010-05-10,78.23,2010-05-24,70.78,10,-9.52
2010-06-10,74.10,2011-08-08,66.65,293,-10.05
2010-11-04,82.96,2011-05-23,77.89,137,-6.11
