Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1992-10-16,4.50,1993-03-16,3.84,103,-14.58
1992-12-21,4.75,1993-02-19,4.50,41,-5.26
1993-03-31,4.00,1993-04-01,3.38,1,-15.62
1993-04-23,3.44,1993-09-15,2.81,100,-18.18
1993-06-28,3.75,1993-07-22,3.28,17,-12.50
1993-07-29,3.66,1993-09-15,2.81,33,-23.08
1993-08-17,3.50,1993-08-31,3.31,10,-5.36
1993-09-08,3.56,1993-09-15,2.81,5,-21.05
1993-10-12,2.62,1995-04-20,6.59,384,151.19
1993-12-27,3.06,1995-04-20,6.59,332,115.31
1994-05-02,3.53,1994-06-23,3.22,37,-8.85
1994-07-12,3.50,1995-04-20,6.59,196,88.39
1994-12-15,4.00,1995-04-20,6.59,86,64.84
1995-12-07,10.34,1997-02-03,16.66,292,61.03
1996-01-18,11.62,1996-04-10,9.94,57,-14.52
1996-02-28,11.88,1996-04-10,9.94,29,-16.32
1996-04-29,10.94,1997-02-03,16.66,194,52.29
1996-06-25,10.62,1997-02-03,16.66,154,56.76
1997-05-02,12.53,1999-04-15,19.75,491,57.61
1997-10-16,14.69,1997-10-22,12.75,4,-13.19
1997-11-05,13.34,1997-12-19,10.39,31,-22.13
1997-12-30,11.30,1999-04-15,19.75,324,74.83
1998-06-17,16.28,1998-09-21,14.55,66,-10.65
1998-10-20,13.52,1998-11-04,10.88,11,-19.54
1998-11-19,12.67,1999-04-15,19.75,99,55.86
1998-12-24,12.94,1999-04-15,19.75,75,52.66
1999-02-03,12.75,1999-04-15,19.75,49,54.90
1999-06-04,20.72,1999-08-06,15.00,44,-27.60
1999-08-26,18.06,1999-09-15,13.50,13,-25.26
1999-09-03,17.59,1999-09-15,13.50,7,-23.27
1999-11-01,10.44,2000-07-21,8.75,182,-16.17
1999-12-23,10.62,2000-02-25,8.94,43,-15.88
2000-03-08,9.56,2000-07-21,8.75,94,-8.50
2000-06-14,12.34,2000-06-23,10.84,7,-12.15
2000-07-07,11.69,2000-07-19,9.44,8,-19.25
2000-08-21,8.91,2000-10-06,7.62,33,-14.39
2000-10-23,8.00,2000-11-22,7.09,22,-11.33
2000-12-18,6.72,2001-12-07,12.57,241,87.16
2001-05-01,8.15,2001-12-07,12.57,150,54.29
2001-09-24,10.30,2001-12-07,12.57,53,22.09
2002-01-31,11.23,2003-07-09,30.69,361,173.16
2002-02-08,11.73,2003-07-09,30.69,355,161.53
2002-07-25,14.14,2003-07-09,30.69,240,117.12
2003-02-18,20.92,2003-07-09,30.69,98,46.67
2003-04-23,21.82,2003-07-09,30.69,53,40.68
2003-09-15,33.01,2005-05-27,27.95,429,-15.33
2004-03-23,41.66,2004-05-10,38.99,33,-6.41
2004-05-25,40.36,2004-07-19,36.15,36,-10.43
2004-08-19,35.00,2005-03-03,30.90,135,-11.71
2004-11-04,36.34,2004-11-16,33.73,8,-7.18
2004-12-01,35.52,2005-01-14,33.14,31,-6.70
2005-02-01,34.81,2005-03-03,30.90,21,-11.23
2005-02-25,33.31,2005-03-02,31.56,3,-5.25
2005-04-05,30.71,2005-05-26,28.16,37,-8.30
2005-05-03,29.84,2005-05-26,28.16,17,-5.63
2005-06-14,28.89,2005-08-23,25.92,49,-10.28
2005-07-05,28.60,2005-08-23,25.92,35,-9.37
2005-07-19,28.32,2005-08-22,27.15,24,-4.13
2005-10-13,24.30,2006-01-27,21.63,72,-10.99
2005-10-19,23.73,2006-01-27,21.63,68,-8.85
