Entry Date,Entry Price,Exit Date,Exit Price,Trade Length in Days,ROI %
1986-12-16,8.69,1987-02-03,9.44,33,8.63
1987-05-08,10.69,1987-06-30,11.22,36,4.97
1987-06-05,10.88,1987-06-30,11.22,17,3.16
1987-09-25,11.81,1987-10-09,10.19,10,-13.76
1987-12-09,7.03,1988-01-14,8.00,24,13.78
1988-04-11,9.44,1988-05-16,9.44,25,0.00
1988-04-22,9.34,1988-05-16,9.44,16,1.00
1988-06-01,9.50,1988-06-07,9.12,4,-3.95
1988-08-03,8.94,1988-10-12,9.62,49,7.69
1988-08-16,8.81,1988-10-12,9.62,40,9.22
1988-11-29,9.75,1988-12-20,9.75,15,0.00
1989-01-09,9.81,1989-01-23,9.06,10,-7.64
1989-01-27,9.50,1989-05-31,11.12,85,17.11
1989-02-23,9.25,1989-03-23,8.81,20,-4.73
1989-04-03,9.06,1989-05-31,11.12,41,22.76
1989-07-12,10.69,1989-08-04,10.50,17,-1.75
1989-10-06,10.88,1989-10-16,10.44,6,-4.02
1989-10-17,11.00,1989-10-30,11.19,9,1.70
1989-11-15,11.38,1989-12-06,11.50,14,1.10
1989-12-26,11.38,1990-01-11,11.00,11,-3.30
1990-02-27,9.69,1990-03-23,10.00,18,3.23
1990-05-16,8.91,1990-06-12,9.28,18,4.21
1990-09-05,8.44,1990-09-24,7.53,13,-10.74
1990-10-18,7.66,1990-12-17,9.22,41,20.41
1991-03-04,11.00,1991-04-26,13.06,38,18.75
1991-07-30,13.56,1991-09-06,15.25,27,12.44
1991-10-14,14.75,1991-10-23,14.44,7,-2.12
1991-12-31,12.56,1992-03-06,12.62,46,0.50
1992-01-09,12.50,1992-01-20,11.69,7,-6.50
1992-01-16,12.25,1992-01-21,11.19,3,-8.67
1992-02-04,12.06,1992-03-06,12.62,22,4.66
1992-05-06,8.31,1992-07-10,8.22,45,-1.13
1992-06-29,8.31,1992-07-10,8.22,8,-1.13
1992-07-28,8.38,1992-08-19,8.38,16,0.00
1992-09-29,7.94,1992-11-30,9.75,43,22.83
1993-01-07,9.38,1993-01-22,9.19,11,-2.00
1993-03-03,8.75,1993-03-24,8.16,15,-6.79
1993-03-25,8.50,1993-04-01,7.94,5,-6.62
1993-05-03,7.50,1993-07-06,8.25,44,10.00
1993-11-10,9.50,1993-12-14,9.56,23,0.66
1994-01-19,9.44,1994-03-16,9.94,39,5.30
1994-02-03,9.00,1994-03-16,9.94,28,10.42
1994-02-16,9.44,1994-03-16,9.94,19,5.30
1994-06-03,7.00,1994-06-23,7.19,14,2.68
1994-09-28,7.81,1994-10-20,7.94,16,1.60
1994-11-30,7.69,1994-12-08,6.94,6,-9.76
1995-01-17,6.62,1995-02-09,6.81,17,2.83
1995-03-16,6.62,1995-04-18,7.25,22,9.43
1995-05-31,7.06,1995-08-03,8.84,45,25.22
1995-10-11,8.75,1995-11-15,8.06,25,-7.86
1995-11-10,8.56,1995-11-15,8.06,3,-5.84
1995-11-29,8.31,1995-12-14,8.12,11,-2.26
1996-01-04,8.00,1996-03-08,8.75,45,9.38
1996-01-31,7.81,1996-03-08,8.75,26,12.00
1996-09-04,10.56,1996-09-16,10.31,8,-2.37
1996-10-07,10.25,1996-10-18,10.25,9,0.00
1996-11-05,10.31,1996-11-18,10.31,9,0.00
1997-10-31,19.25,1997-12-09,21.28,26,10.55
1998-08-18,29.69,1998-08-31,23.53,9,-20.74
1998-09-08,27.69,1998-10-01,22.25,17,-19.64
1998-10-15,25.16,1998-11-12,28.47,20,13.17
1999-04-26,44.50,1999-05-21,37.50,19,-15.73
1999-05-13,41.66,1999-05-19,38.38,4,-7.88
1999-06-16,38.23,1999-07-21,40.00,24,4.62
1999-08-16,37.84,1999-08-30,38.03,10,0.50
1999-09-24,36.16,1999-10-15,37.25,15,3.03
2000-01-07,46.53,2000-01-28,46.00,14,-1.14
2000-02-29,49.62,2000-04-14,50.88,33,2.52
2000-03-15,49.81,2000-04-14,50.88,22,2.13
2000-06-21,32.38,2000-07-19,32.94,19,1.74
2000-06-27,33.00,2000-07-19,32.94,15,-0.19
2000-06-30,33.00,2000-07-19,32.94,12,-0.19
2000-08-03,34.56,2000-08-16,33.06,9,-4.34
2000-10-19,34.94,2000-11-09,34.06,15,-2.50
2001-03-30,39.25,2001-04-03,34.06,2,-13.22
2001-04-18,38.36,2001-06-26,40.34,48,5.16
2001-09-28,35.56,2001-10-30,37.53,22,5.54
2002-03-18,42.21,2002-04-23,40.48,25,-4.10
2002-04-09,40.76,2002-04-23,40.48,10,-0.69
2002-05-08,41.75,2002-05-24,38.91,12,-6.80
2002-06-10,40.13,2002-07-02,36.52,16,-9.00
2002-07-05,39.30,2002-07-16,34.47,7,-12.29
2002-07-29,36.26,2002-10-03,30.89,47,-14.81
2002-08-07,34.53,2002-10-03,30.89,40,-10.54
2002-10-11,33.81,2002-11-04,33.85,16,0.12
2002-12-02,32.60,2002-12-06,30.44,4,-6.63
2003-01-02,29.01,2003-01-22,29.05,13,0.14
2003-03-13,29.99,2003-05-19,34.20,46,14.04
2003-08-26,31.62,2003-11-13,34.29,56,8.44
2003-09-11,31.63,2003-11-13,34.29,45,8.41
2004-03-31,37.61,2004-04-29,37.66,20,0.13
2004-05-24,36.81,2004-07-01,40.87,26,11.03
2004-09-14,41.42,2004-11-18,48.35,47,16.73
2005-02-15,47.00,2005-02-22,45.40,4,-3.40
2005-02-24,46.54,2005-03-02,45.02,4,-3.27
2005-03-08,46.06,2005-03-17,44.15,7,-4.15
2005-03-30,44.99,2005-04-15,44.86,12,-0.29
2005-05-09,43.34,2005-06-22,45.47,31,4.91
2005-08-22,44.23,2005-09-19,42.25,19,-4.48
2005-08-31,43.40,2005-09-19,42.25,12,-2.65
2005-09-22,43.05,2005-12-01,48.79,49,13.33
2006-02-13,50.11,2006-03-28,54.27,30,8.30
2006-06-15,53.87,2006-07-13,55.05,19,2.19
2006-08-18,52.55,2006-08-25,48.59,5,-7.54
2006-09-12,49.58,2006-10-02,48.75,14,-1.67
2007-03-23,54.56,2007-04-24,54.25,21,-0.57
2007-05-08,54.61,2007-06-05,55.45,19,1.54
2007-08-22,61.26,2007-09-07,57.00,11,-6.95
2007-09-13,59.95,2007-10-25,64.82,30,8.12
2008-01-10,69.86,2008-01-14,64.71,2,-7.37
2008-01-23,68.61,2008-02-29,61.92,26,-9.75
2008-02-13,65.68,2008-02-19,62.83,3,-4.34
2008-03-20,63.42,2008-05-20,71.39,42,12.57
2008-06-25,70.89,2008-07-11,69.83,11,-1.50
2008-08-08,66.99,2008-09-17,65.37,27,-2.42
2008-09-18,68.23,2008-09-22,64.32,2,-5.73
2008-10-28,57.48,2008-11-14,48.06,13,-16.39
2008-11-26,51.45,2008-12-23,51.47,18,0.04
2009-03-13,42.20,2009-04-13,46.41,20,9.98
2009-07-08,46.02,2009-08-13,48.88,26,6.21
2009-12-22,59.57,2009-12-31,59.17,6,-0.67
2010-02-02,58.77,2010-03-09,60.13,24,2.31
2010-04-22,60.22,2010-05-06,58.03,10,-3.64
2010-05-04,59.88,2010-05-06,58.03,2,-3.09
2010-05-27,58.74,2010-06-30,54.83,23,-6.66
2010-06-10,57.65,2010-06-30,54.83,14,-4.89
2010-07-13,56.51,2010-10-12,63.34,64,12.09
2010-07-23,55.95,2010-10-12,63.34,56,13.21
2011-03-29,71.90,2011-05-24,81.35,39,13.14
2011-06-20,81.25,2011-07-14,80.33,17,-1.13
2011-08-23,76.22,2011-09-30,82.13,27,7.75
2011-10-17,82.36,2011-11-09,83.41,17,1.27
2011-11-29,83.51,2011-12-13,83.63,10,0.14
2012-01-25,82.72,2012-04-04,89.04,49,7.64
2012-04-27,88.69,2012-05-03,84.24,4,-5.02
2012-05-25,84.48,2012-07-24,94.08,40,11.36
2012-10-31,98.43,2012-12-06,98.47,25,0.04
2012-11-19,96.57,2012-12-06,98.47,12,1.97
2013-03-04,103.43,2013-03-15,101.75,9,-1.62
2013-06-26,111.18,2013-08-08,117.39,30,5.59
2013-09-05,114.62,2013-09-25,115.41,14,0.69
2013-10-14,116.26,2013-12-04,122.97,36,5.77
2014-01-09,118.51,2014-01-22,113.75,8,-4.02
2014-02-06,114.26,2014-03-06,113.26,19,-0.88
2014-04-09,113.05,2014-05-06,112.83,18,-0.19
2014-05-08,114.73,2014-05-15,114.35,5,-0.33
2015-05-27,145.42,2015-06-02,141.40,4,-2.76
2015-07-07,140.50,2015-08-13,145.27,27,3.40
2015-09-08,141.43,2015-11-09,155.16,44,9.71
2016-02-16,149.11,2016-03-07,148.17,14,-0.63
2016-05-04,151.51,2016-05-06,146.44,2,-3.35
2016-05-26,149.71,2016-06-27,154.26,21,3.04
2016-09-30,152.51,2016-11-01,146.66,22,-3.84
2016-10-24,152.12,2016-10-31,147.87,5,-2.79
2016-11-11,149.36,2017-01-04,159.76,35,6.96
2017-03-29,167.43,2017-05-08,172.64,27,3.11
2017-05-25,174.73,2017-06-16,167.11,15,-4.36
2017-07-31,158.51,2017-08-24,151.33,18,-4.53
2017-08-31,156.74,2017-10-06,157.09,25,0.22
2017-10-23,162.04,2017-12-26,186.55,44,15.13
2018-02-15,191.48,2018-05-07,193.06,55,0.83
2018-03-29,188.43,2018-05-07,193.06,26,2.46
2018-10-19,229.67,2018-11-15,229.94,19,0.12
2018-10-30,227.92,2018-11-15,229.94,12,0.89
2018-11-28,230.34,2018-12-14,207.06,11,-10.11
2019-01-08,208.55,2019-04-26,243.82,75,16.91
2019-08-19,275.61,2019-09-16,288.69,19,4.75
2019-12-26,295.73,2020-02-03,302.00,25,2.12
2020-03-04,320.74,2020-04-30,303.00,40,-5.53
2020-03-17,306.99,2020-04-30,303.00,31,-1.30
2020-06-30,303.21,2020-09-08,338.86,48,11.76
2020-12-29,372.72,2021-01-06,370.02,5,-0.72
2021-02-08,359.83,2021-02-23,342.15,10,-4.91
2021-02-17,358.04,2021-02-23,342.15,4,-4.44
2021-03-19,328.91,2021-05-12,372.20,37,13.16
2021-10-15,452.39,2021-12-02,525.51,33,16.16
2022-02-01,508.41,2022-04-22,571.70,56,12.45
2022-02-25,517.49,2022-04-22,571.70,39,10.48
2022-06-02,487.61,2022-08-11,532.20,48,9.14
2022-06-15,458.79,2022-06-17,446.69,2,-2.64
2022-06-21,463.11,2022-08-11,532.20,36,14.92
2022-10-21,478.18,2022-12-01,503.86,28,5.37
2023-01-06,482.87,2023-02-16,504.10,28,4.40
2023-03-16,487.26,2023-04-26,494.66,28,1.52
2023-05-26,507.26,2023-07-07,525.05,27,3.51
2023-08-31,549.28,2023-09-26,552.96,17,0.67
2023-11-03,560.90,2024-01-03,644.69,40,14.94
2024-04-11,732.35,2024-07-01,845.67,55,15.47
